"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"0_a",4447,FALSE,"all_pixels",8.53603237660035,8.10231085122425,4.12808808506114,179.802255851583,"squared_euclidean_pc1_pc3",506.509390608393,"all_pixels",4430,1,1088.61900183921,9662.29630632562,2855.25043506913,"all_pixels",4430,4447,9885681,"bootstrap_mean",3.02560440689825,NA,3.02560440689825,0.113606797214914,0.0375484636907242,3.04484195681446,2.36733157308543,3.0626667319257,"10m"
"0_b",3350,FALSE,"all_pixels",7.77160775838731,7.32842003319471,3.68039318561862,147.878275559261,"squared_euclidean_pc1_pc3",423.451847446917,"all_pixels",3331,1,680.977059974412,4248.79811463894,1687.73279746925,"all_pixels",3331,3350,5609575,"bootstrap_mean",2.9493690301664,NA,2.9493690301664,0.00703979803226579,0.00238688274009191,2.9492768765307,2.92738688873948,2.96391946128823,"10m"
"0_c",6145,FALSE,"all_pixels",8.32866670040126,7.98698827549152,3.83778357050336,168.185749800493,"squared_euclidean_pc1_pc3",580.371401041329,"all_pixels",6130,1,996.269458230373,8118.52096212824,2552.95669424913,"all_pixels",6130,6145,18877440,"bootstrap_mean",2.87333740952765,NA,2.87333740952765,0.00736203277839273,0.0025621887474757,2.87143025087522,2.85755413133249,2.89565871088406,"10m"
"0_d",7842,FALSE,"all_pixels",7.74974062544128,6.93430632311877,4.46632456855903,160.007982334908,"squared_euclidean_pc1_pc3",672.96396854064,"all_pixels",7836,1,1217.78277227517,9977.59848212308,3099.86568275786,"all_pixels",7836,7842,30744561,"bootstrap_mean",2.86599322516298,NA,2.86599322516298,0.0103257935436796,0.00360286739445884,2.86627893641695,2.83795777457413,2.88722366825428,"10m"
"1_a",9428,FALSE,"all_pixels",7.3090157819624,6.20548921316713,4.7495885012286,151.955819818278,"squared_euclidean_pc1_pc3",740.697902695791,"all_pixels",9428,1,1227.17222413226,10610.8901225756,3129.50863961963,"all_pixels",9428,9428,44438878,"bootstrap_mean",2.72941276815474,NA,2.72941276815474,0.0123812707021637,0.00453623975333503,2.7297557076887,2.69660384615601,2.75667745964485,"10m"
"1_b",9385,FALSE,"all_pixels",8.26082257783609,7.02310370135183,5.10682626626684,188.636170616994,"squared_euclidean_pc1_pc3",782.782324613778,"all_pixels",9379,1,1749.17819174476,16178.9552735716,4431.59464964808,"all_pixels",9379,9385,44034420,"bootstrap_mean",2.77564472288952,NA,2.77564472288952,0.0815946451820419,0.0293966459428928,2.76578744677754,2.74372329361029,3.44225521136272,"10m"
"1_c",4712,FALSE,"all_pixels",9.34907731673371,8.61406377612066,5.25456051927649,230.019586662296,"squared_euclidean_pc1_pc3",555.921824501246,"all_pixels",4705,1,967.952553109996,7589.00364778158,2544.47860005675,"all_pixels",4705,4712,11099116,"bootstrap_mean",2.81737734954891,NA,2.81737734954891,0.115143105422075,0.0408688972531531,2.79874232577295,2.78476251703526,3.48960860827774,"10m"
"1_d",7184,FALSE,"all_pixels",9.41342347703121,8.16901765675033,5.28903729924883,233.16512638313,"squared_euclidean_pc1_pc3",705.714875098205,"all_pixels",7165,1,1299.12880990492,10936.8853107534,3285.98143268254,"all_pixels",7165,7184,25801336,"bootstrap_mean",2.74143484971684,NA,2.74143484971684,0.0101619128305846,0.00370678618593989,2.74206490382925,2.72173463151829,2.76081529650954,"10m"
"10_a",9159,FALSE,"all_pixels",8.75924913260344,8.23897394611234,4.18874621076577,188.53624903627,"squared_euclidean_pc1_pc3",701.589526419312,"all_pixels",9129,1,1264.16623161869,10637.7973585306,3265.96659097689,"all_pixels",9129,9159,41939061,"bootstrap_mean",2.81255312163456,NA,2.81255312163456,0.0101261433370882,0.00360033851776752,2.81200723454911,2.79070184885151,2.84037757373131,"10m"
"10_b",7511,FALSE,"all_pixels",7.30202939568151,6.57607081236723,4.15606548589308,141.180427881159,"squared_euclidean_pc1_pc3",568.699405623214,"all_pixels",7419,1,1572.27355746767,10465.6790317293,3578.56986330998,"all_pixels",7419,7511,28203805,"bootstrap_mean",2.89471004861514,NA,2.89471004861514,0.138329681483175,0.0477870595534615,2.92420357305461,2.24144941217482,2.95595798352028,"10m"
"10_c",7047,FALSE,"all_pixels",5.8650983746195,5.13864073791571,3.45591474323034,92.6820616870237,"squared_euclidean_pc1_pc3",428.879193526933,"all_pixels",6979,1,889.074724977536,5534.70754527271,2147.65060839084,"all_pixels",6979,7047,24826581,"bootstrap_mean",2.80667211175505,NA,2.80667211175505,0.0091248127473781,0.0032511146240279,2.80564523766799,2.78564305602324,2.8320612813696,"10m"
"10_d",7086,FALSE,"all_pixels",6.49679474813457,5.81491351442208,3.67666467307638,111.448594863239,"squared_euclidean_pc1_pc3",405.078449525982,"all_pixels",7047,1,936.708858143855,5679.11955794216,2221.79036958725,"all_pixels",7047,7086,25102155,"bootstrap_mean",2.79935898522427,NA,2.79935898522427,0.0100531402586438,0.00359122938919477,2.79952134918962,2.77586414105926,2.8306193098028,"10m"
"100_a",7809,FALSE,"all_pixels",8.55075386378876,7.90683129650215,4.44939152795399,185.819882890997,"squared_euclidean_pc1_pc3",695.440835391985,"all_pixels",7809,1,1080.82317871983,8264.72056706388,2702.85441418028,"all_pixels",7809,7809,30486336,"bootstrap_mean",2.86670711222497,NA,2.86670711222497,0.267898109431075,0.0934515103718246,2.7428109338243,2.71713029328375,3.44525843681355,"10m"
"100_b",7035,FALSE,"all_pixels",7.61164405869636,7.02754377783486,3.89923390162801,146.277978196613,"squared_euclidean_pc1_pc3",514.269202120588,"all_pixels",7026,1,852.560591329874,7061.451586039,2278.55155596681,"all_pixels",7026,7035,24742095,"bootstrap_mean",2.80547975441096,NA,2.80547975441096,0.00927687330467943,0.0033066976477352,2.80517811208926,2.77910073918822,2.82117366211249,"10m"
"100_c",8911,FALSE,"all_pixels",7.98474341558437,7.19882366045898,4.31138843030626,164.684223281295,"squared_euclidean_pc1_pc3",634.396561963608,"all_pixels",8911,1,1086.27938190873,9523.20752646515,2829.43663598294,"all_pixels",8911,8911,39698505,"bootstrap_mean",2.7119673023501,NA,2.7119673023501,0.010159943608257,0.00374633705924579,2.71116244561087,2.6899229381875,2.73712157769369,"10m"
"100_d",7619,FALSE,"all_pixels",9.06813500927635,8.34495161172014,4.7499443614807,209.580165412733,"squared_euclidean_pc1_pc3",685.280192668975,"all_pixels",7565,1,1471.84057691606,13812.0769349261,3759.67952790574,"all_pixels",7565,7619,29020771,"bootstrap_mean",2.87140268822607,NA,2.87140268822607,0.010946261884586,0.00381216536763378,2.87174498464416,2.8497722564922,2.89604773210521,"10m"
"1000_a",7586,FALSE,"all_pixels",6.37253027258903,6.06367606300572,3.36303816503638,103.835353733739,"squared_euclidean_pc1_pc3",406.003882315189,"all_pixels",7341,1,769.739815064841,4395.21573966088,1862.65797729932,"all_pixels",7341,7586,28769905,"bootstrap_mean",2.75452741927128,NA,2.75452741927128,0.113854329235838,0.0413335254676673,2.73477589252727,2.71635120336618,3.41397554917035,"10m"
