"quad_id","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points"
"sub50_1",175140,FALSE,"all_pixels",7.32612832570273,6.41919179788318,4.43776928734269,146.731680092648,"squared_euclidean_pc1_pc3",748.713336785807,"sampled_pixels",10000,1,2621.97577632116,39290.1443533046,6748.82284916304,"sampled_pixels",10000
"sub50_10",190670,FALSE,"all_pixels",6.98219124036181,6.11593665976419,4.23182239440795,133.318442743361,"squared_euclidean_pc1_pc3",651.028426233409,"sampled_pixels",10000,1,2753.8296109451,37895.1175367291,6698.95403718927,"sampled_pixels",10000
"sub50_11",176363,FALSE,"all_pixels",6.44814617275558,5.91009454273122,3.33831620441557,105.445761912032,"squared_euclidean_pc1_pc3",563.745965638832,"sampled_pixels",10000,1,1894.46737250446,22365.6292271188,4570.1266695206,"sampled_pixels",10000
"sub50_12",169495,FALSE,"all_pixels",9.30138517745539,7.52302810421332,9.89614679342539,368.897819558599,"squared_euclidean_pc1_pc3",817.380315371005,"sampled_pixels",10000,1,7744.28210207835,132442.909465245,18281.5255891386,"sampled_pixels",10000
"sub50_13",203330,FALSE,"all_pixels",8.72050184462044,7.06012779617267,7.31895528609759,259.227990905639,"squared_euclidean_pc1_pc3",909.462187020793,"sampled_pixels",10000,1,4778.39882012142,110429.132077085,15172.3367796364,"sampled_pixels",10000
"sub50_14",178478,FALSE,"all_pixels",6.31630238567498,5.53655277493296,3.97043311437437,111.319853232985,"squared_euclidean_pc1_pc3",634.343316139819,"sampled_pixels",10000,1,2930.21894492042,39964.1645273183,7245.96368376868,"sampled_pixels",10000
"sub50_15",172782,FALSE,"all_pixels",6.79336049035095,6.02479444245195,4.07849827615707,125.567597336035,"squared_euclidean_pc1_pc3",650.050187629565,"sampled_pixels",10000,1,2394.80222752736,47745.0575211304,7570.75686332931,"sampled_pixels",10000
"sub50_16",157562,FALSE,"all_pixels",6.73064751994651,6.09448517602805,3.80787993739936,119.60294725693,"squared_euclidean_pc1_pc3",632.459667349762,"sampled_pixels",10000,1,2285.40251491549,36119.0775740868,6423.07021212006,"sampled_pixels",10000
"sub50_17",170415,FALSE,"all_pixels",8.8379004230835,7.94051121545608,4.93642340716664,204.953233898869,"squared_euclidean_pc1_pc3",894.209432815716,"sampled_pixels",10000,1,2782.09001145233,52547.1496112677,8283.22682152364,"sampled_pixels",10000
"sub50_18",175121,FALSE,"all_pixels",8.255780706098,7.31942973083018,4.8004159334482,182.403553224614,"squared_euclidean_pc1_pc3",839.576652195317,"sampled_pixels",10000,1,2716.72657255171,60113.9290302696,9246.42661462839,"sampled_pixels",10000
"sub50_19",200918,FALSE,"all_pixels",10.010302254184,8.78174839537281,6.00292211862218,272.482091660444,"squared_euclidean_pc1_pc3",1052.81082719872,"sampled_pixels",10000,1,3581.36243614419,67275.4391976077,10643.6233055029,"sampled_pixels",10000
"sub50_2",164543,FALSE,"all_pixels",6.84083818531104,6.13388805704254,4.06166963672917,126.588254110114,"squared_euclidean_pc1_pc3",617.02959126377,"sampled_pixels",10000,1,2582.43995344391,44416.5135514978,7117.34504179066,"sampled_pixels",10000
"sub50_20",181089,FALSE,"all_pixels",8.31540586483368,7.1457255335638,6.6675257357602,227.203257283885,"squared_euclidean_pc1_pc3",833.9838893848,"sampled_pixels",10000,1,5329.91323027528,89208.4176268448,14927.9566137251,"sampled_pixels",10000
"sub50_21",185088,FALSE,"all_pixels",7.10577359820847,6.21722551828387,4.53030215035498,142.031090233343,"squared_euclidean_pc1_pc3",705.270176658633,"sampled_pixels",10000,1,3522.94592771487,60561.2811515231,9454.49878864502,"sampled_pixels",10000
"sub50_22",159220,FALSE,"all_pixels",6.97772172680723,6.2459704484245,4.11633909206245,131.265483194506,"squared_euclidean_pc1_pc3",665.709895907039,"sampled_pixels",10000,1,2356.40370784987,59134.3179511588,9021.00705148636,"sampled_pixels",10000
"sub50_23",173628,FALSE,"all_pixels",7.13081556230308,6.21887627742231,4.65602314426384,145.053914494387,"squared_euclidean_pc1_pc3",741.710219906701,"sampled_pixels",10000,1,3073.1896289117,64046.4247578802,9604.70835532806,"sampled_pixels",10000
"sub50_24",166816,FALSE,"all_pixels",7.06743490705676,6.27098396500223,4.4816710673419,140.067782633926,"squared_euclidean_pc1_pc3",639.11815676347,"sampled_pixels",10000,1,3264.89836853528,44787.6282519689,7899.29245202558,"sampled_pixels",10000
"sub50_25",200712,FALSE,"all_pixels",6.70937261292127,5.95700727725841,4.13908102065099,124.295174396881,"squared_euclidean_pc1_pc3",641.004602779434,"sampled_pixels",10000,1,2811.57192383342,38872.9389948268,6789.28823883436,"sampled_pixels",10000
"sub50_26",168753,FALSE,"all_pixels",6.99973233724005,6.26722382104905,3.89515206825954,128.336745040157,"squared_euclidean_pc1_pc3",648.216208724741,"sampled_pixels",10000,1,2674.89697842507,29647.3882889686,5324.41264553038,"sampled_pixels",10000
"sub50_27",167394,FALSE,"all_pixels",7.8700113593205,6.83788501918072,4.8145483189518,170.233631672814,"squared_euclidean_pc1_pc3",839.735701425613,"sampled_pixels",10000,1,1834.98700730783,30212.430769136,5624.57302903155,"sampled_pixels",10000
"sub50_28",178528,FALSE,"all_pixels",7.36850196830415,6.71136891434602,4.012927795867,140.796641099412,"squared_euclidean_pc1_pc3",684.645445727802,"sampled_pixels",10000,1,2043.38701685221,46270.736540096,7694.3582268678,"sampled_pixels",10000
"sub50_29",172241,FALSE,"all_pixels",8.74600777636104,7.49010585525553,6.66128359801942,241.730187155137,"squared_euclidean_pc1_pc3",825.88901386789,"sampled_pixels",10000,1,4749.05770173708,74485.4462003188,11213.8575293555,"sampled_pixels",10000
