quad_id,scale,Name,sub_id,ACNE2,ACRU,ACSA3C,AEFL,ALJU,CACA18,CACA38,CACO15,CAGL8,CALA21,CAOV2,CAOV3,CAPA24,CARYA,CATO6,CELA,DIVI5,FAGR,FRAMCO,FRQU,GLTR,JUNI,JUVI,LIBE3,LIST2,LITU,MAAC,NYSY,OSVI,OXAR,PATO2,PIEC2,PIVI2,PLOC,PRSES,QUAL,QUFA,QUMO4,QUMU,QUNI,QUPA5,QURU,QUSH,QUVE,SAAL5,TIAM,ULAL,ULAM,ULRU,ULSE,richness,shannon,simpson,evenness,faith_pd,rao_pd,afaith_pd
0_a,10m,0,0_a,0,0,0,0,0,0,0,0,0.0038802744724700843,0,0,0,0,0,0,0,0,0.7526765447377729,0,0,0,0,0,0,0.6016780378217781,0.27226482981243444,0,0,0,0.499437647991541,0,0,0,0,0,0,0,0,0,0,0,0.017200425602411782,0,0,0,0,0,0,0,0,6,1.3751371412082225,0.7283381843748872,0.767478651473612,656.0746730000001,184.09245747749497,299.4839126608217
0_b,10m,0,0_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41323198708646763,0,0,0,0,0.15130923007087624,0,0,0,0,0,0,0,0,0,0,0,0.7249897514906423,0,0,0,0,0,0,0,0,3,0.9398643361673285,0.5674607180834876,0.855501386487095,369.87356600000004,139.47079436410687,159.37541376080844
0_c,10m,0,0_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9540988115958999,0,0,0,0,0.8774409052079847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6922710312972382,0.4991241066463772,0.998735983803614,247.46847400000001,123.51748100839221,226.62416939392477
0_d,10m,0,0_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2049605878342276,0,0,0,0,0,0,0.8270070260278738,0.5553892207424823,0,0,0,0.27953071482574754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.248226529680057,0.6807867537056236,0.9004051121377293,517.9637020000001,178.39504830019263,249.89686885521542
1_a,10m,1,1_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4936381556752432,0,0,0,0,0,0.4648650356250263,0,0.21433321965924493,0.9856120796695695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.1821300567898796,0.6527170322399396,0.852726585308274,909.7464799999999,270.82279916495867,697.7114120724987
1_b,10m,1,1_b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5063618442818106,0,0,0,0,0,0.04879523512011085,0,1.6550339462739,0.49344106858111325,0,0,0,0.9999999999928258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.3111095254745582,0.6907896374058656,0.8146381512112183,1004.629773,182.69782430532888,660.8052171141654
1_c,10m,1,1_c,0,0.37033579397332533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044715954670755356,0,1.0152929449627526,1.446348932312501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.04191960110471,0.6058309651442206,0.751586120759386,908.417335,173.80199061982287,583.3643181407973
1_d,10m,1,1_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19403561045298168,0,0,0,0,0.4416237746027941,0,1.0707213053777531,0.4939557823532663,0,0,0,0.03536047430009909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.2842725311884167,0.6750185270425412,0.797963389122662,1032.151571,300.72866617122577,572.517354714375
100_a,10m,100,100_a,0,0,0.4433822911345014,0,0,0,0,0,0,0,0.6869380796292579,0,0,0,0,0,0,0.2543963309031619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.023688425881904,0.6176208157633927,0.9318013610815887,335.03677000000005,138.92722815505954,165.4120946064303
100_b,10m,100,100_b,0,0,0,0,0,0,0,0,0.8913860968948268,0,0,0,0,0,0,0,0,0.7132383236205638,0,0,0,0,0,0,0,0.7079325293391575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0926374802580672,0.662589069124013,0.9945614950135993,369.70393600000006,162.02229959818135,291.3092186568629
