"quad_id","n_pixels","manual_excluded","metric_method","pca_euclidean_mean","pca_euclidean_median","pca_euclidean_sd","rao_q_pca","rao_q_distance","alpha_hull_area","alpha_hull_method","alpha_hull_n_points","alpha_hull_alpha","pca_convex_hull_area","pca_hull_volume_3d","pca_hull_area_3d","pca_hull_3d_method","pca_hull_3d_n_points","standardized_PCA_n_pixels","standardized_PCA_manual_excluded","standardized_PCA_metric_method","standardized_PCA_pca_euclidean_mean","standardized_PCA_pca_euclidean_median","standardized_PCA_pca_euclidean_sd","standardized_PCA_rao_q_pca","standardized_PCA_rao_q_distance","standardized_PCA_alpha_hull_area","standardized_PCA_alpha_hull_method","standardized_PCA_alpha_hull_n_points","standardized_PCA_alpha_hull_alpha","standardized_PCA_pca_convex_hull_area","standardized_PCA_pca_hull_volume_3d","standardized_PCA_pca_hull_area_3d","standardized_PCA_pca_hull_3d_method","standardized_PCA_pca_hull_3d_n_points","sa_n_pixels","sa_n_pairs","sa_method","sa_entropy","sa_exact_entropy","sa_boot_mean","sa_boot_sd","sa_boot_cv","sa_boot_median","sa_boot_min","sa_boot_max","scale"
"0_a",4447,FALSE,"all_pixels",8.47252449331256,8.04136013218115,4.10024349678561,177.183774994502,"squared_euclidean_pc1_pc3",499.378404646183,"all_pixels",4430,1,1067.78957449128,9386.89094763867,2797.77271934471,"all_pixels",4430,4447,FALSE,"all_pixels",7.24448332808458,6.25690935128485,4.82827980046946,151.579164544997,"squared_euclidean_pc1_pc3",519.590123973146,"all_pixels",4430,1,2417.79078320823,43053.8693584889,6951.69165636831,"all_pixels",4430,4447,9885681,"bootstrap_mean",3.02560440689825,NA,3.02560440689825,0.113606797214914,0.0375484636907242,3.04484195681446,2.36733157308543,3.0626667319257,"10m"
"0_b",3350,FALSE,"all_pixels",7.70641369841934,7.26044738767371,3.65308587422507,145.459729805383,"squared_euclidean_pc1_pc3",416.193717133695,"all_pixels",3331,1,668.588346262698,4122.17382553314,1657.11467681275,"all_pixels",3331,3350,FALSE,"all_pixels",6.99679980320841,6.41694791532754,3.68553974045068,125.068711954205,"squared_euclidean_pc1_pc3",444.978692201073,"all_pixels",3331,1,1226.15999495504,17648.9344500237,3804.53551465708,"all_pixels",3331,3350,5609575,"bootstrap_mean",2.9493690301664,NA,2.9493690301664,0.00703979803226579,0.00238688274009191,2.9492768765307,2.92738688873948,2.96391946128823,"10m"
"0_c",6145,FALSE,"all_pixels",8.25042454588505,7.90986339622946,3.8006753301838,165.024574879106,"squared_euclidean_pc1_pc3",572.045970591876,"all_pixels",6130,1,978.39912915129,7905.26331939086,2504.11801356547,"all_pixels",6130,6145,FALSE,"all_pixels",7.41725736729784,6.8135901059566,4.01885439577511,142.328538320891,"squared_euclidean_pc1_pc3",600.940844853767,"all_pixels",6130,1,1534.31023135157,23464.9261241472,4517.3303350697,"all_pixels",6130,6145,18877440,"bootstrap_mean",2.87333740952765,NA,2.87333740952765,0.00736203277839273,0.0025621887474757,2.87143025087522,2.85755413133249,2.89565871088406,"10m"
"0_d",7842,FALSE,"all_pixels",7.69119317414123,6.88615141054727,4.43291756821637,157.605409547091,"squared_euclidean_pc1_pc3",665.595460684029,"all_pixels",7836,1,1196.62028843394,9720.12212082722,3041.48216543965,"all_pixels",7836,7842,FALSE,"all_pixels",7.1105702388288,6.03880939481146,4.52029206347199,141.981287739904,"squared_euclidean_pc1_pc3",698.861019227282,"all_pixels",7836,1,2127.65628808513,34634.5532417433,6027.73130816484,"all_pixels",7836,7842,30744561,"bootstrap_mean",2.86599322516298,NA,2.86599322516298,0.0103257935436796,0.00360286739445884,2.86627893641695,2.83795777457413,2.88722366825428,"10m"
"1_a",9428,FALSE,"all_pixels",7.24997064770883,6.15544298292961,4.71728462477156,149.624976675953,"squared_euclidean_pc1_pc3",733.224235569461,"all_pixels",9428,1,1205.5109692387,10337.0597403199,3075.14565962074,"all_pixels",9428,9428,FALSE,"all_pixels",5.97795818385586,5.1307213669369,3.8419387512399,100.989823628901,"squared_euclidean_pc1_pc3",602.136883683985,"all_pixels",9428,1,2194.88470292168,31160.753679156,5874.88826471109,"all_pixels",9428,9428,44438878,"bootstrap_mean",2.72941276815474,NA,2.72941276815474,0.0123812707021637,0.00453623975333503,2.7297557076887,2.69660384615601,2.75667745964485,"10m"
"1_b",9385,FALSE,"all_pixels",8.1813260110423,6.97011162326193,5.03907156469358,184.647263826434,"squared_euclidean_pc1_pc3",773.41169382727,"all_pixels",9379,1,1717.55612569203,15672.3232416453,4334.66666834246,"all_pixels",9379,9385,FALSE,"all_pixels",7.67022972168634,6.51963790318917,4.86630086308944,165.021569608127,"squared_euclidean_pc1_pc3",758.283722300319,"all_pixels",9379,1,2269.82162739386,34845.9180435772,6324.25793074529,"all_pixels",9379,9385,44034420,"bootstrap_mean",2.77564472288952,NA,2.77564472288952,0.0815946451820419,0.0293966459428928,2.76578744677754,2.74372329361029,3.44225521136272,"10m"
"1_c",4712,FALSE,"all_pixels",9.26131927597693,8.53538874191089,5.19578626007744,225.5250006972,"squared_euclidean_pc1_pc3",547.077988318259,"all_pixels",4705,1,950.482165309524,7418.8059302984,2500.07055992665,"all_pixels",4705,4712,FALSE,"all_pixels",6.92103517481755,6.28141014749289,3.50009234578964,120.297548875196,"squared_euclidean_pc1_pc3",496.545142327923,"all_pixels",4705,1,1042.02106284588,14003.4804261848,3180.24962255542,"all_pixels",4705,4712,11099116,"bootstrap_mean",2.81737734954891,NA,2.81737734954891,0.115143105422075,0.0408688972531531,2.79874232577295,2.78476251703526,3.48960860827774,"10m"
"1_d",7184,FALSE,"all_pixels",9.30952402331619,8.08962380617578,5.2254795834388,227.93814704327,"squared_euclidean_pc1_pc3",695.790924916234,"all_pixels",7165,1,1276.30730032947,10687.9189435659,3225.48466304232,"all_pixels",7165,7184,FALSE,"all_pixels",7.06597730018703,6.42597609826859,3.81112034494411,128.901303373271,"squared_euclidean_pc1_pc3",618.109597044281,"all_pixels",7165,1,1454.01056111784,20240.3039136167,4133.15372148199,"all_pixels",7165,7184,25801336,"bootstrap_mean",2.74143484971684,NA,2.74143484971684,0.0101619128305846,0.00370678618593989,2.74206490382925,2.72173463151829,2.76081529650954,"10m"
"10_a",9159,FALSE,"all_pixels",8.67273662656094,8.17293521420012,4.13973505165653,184.703791582905,"squared_euclidean_pc1_pc3",695.474617792857,"all_pixels",9129,1,1240.5609422762,10331.9204371088,3198.17737134777,"all_pixels",9129,9159,FALSE,"all_pixels",8.31333553737919,7.67945003024833,4.2949230492491,175.111795481912,"squared_euclidean_pc1_pc3",788.221779885768,"all_pixels",9129,1,1968.16073556483,31076.2701607609,5526.67655429195,"all_pixels",9129,9159,41939061,"bootstrap_mean",2.81255312163456,NA,2.81255312163456,0.0101261433370882,0.00360033851776752,2.81200723454911,2.79070184885151,2.84037757373131,"10m"
"10_b",7511,FALSE,"all_pixels",7.24029583226657,6.52865739446937,4.11746405308118,138.746273619239,"squared_euclidean_pc1_pc3",561.625408790896,"all_pixels",7419,1,1541.00733936057,10201.5294206862,3508.36012112486,"all_pixels",7419,7511,FALSE,"all_pixels",7.68975589544094,6.14841913316704,6.45316469490845,201.54027199626,"squared_euclidean_pc1_pc3",631.499286755339,"all_pixels",7419,1,5328.27158559597,110233.054620543,14550.0471631998,"all_pixels",7419,7511,28203805,"bootstrap_mean",2.89471004861514,NA,2.89471004861514,0.138329681483175,0.0477870595534615,2.92420357305461,2.24144941217482,2.95595798352028,"10m"
