"source","scale","metric_id","metric_label","statistic","statistic_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"final_sa_entropy","10m","sa_entropy","Spectral angle entropy","metric_sd","Bootstrap SD",1866,-0.00192468147820516,3.70439879254612e-06,0.00690502492827196,0.933783747304385,-0.0018488676242086,0.0732731889466725
"final_sa_entropy","10m","sa_entropy","Spectral angle entropy","metric_cv","Bootstrap CV",1866,-0.0394781699591268,0.00155852590332171,2.90962701286021,0.0882188319263614,-0.0132730005328903,0.0617091419233529
"final_sa_entropy","10m","sa_entropy","Spectral angle entropy","metric_se","Bootstrap SE",1866,-0.00192468147820516,3.70439879254602e-06,0.00690502492827178,0.933783747304386,-0.000220981947932621,0.00875782117262276
"final_sa_entropy","20m","sa_entropy","Spectral angle entropy","metric_sd","Bootstrap SD",477,-0.120257972723921,0.0144619800036673,6.97024403154689,0.0085603540386647,-0.104264581504889,0.348552094148965
"final_sa_entropy","20m","sa_entropy","Spectral angle entropy","metric_cv","Bootstrap CV",477,-0.150783794687144,0.0227357527402548,11.0507291982724,0.00095508672189583,-0.0466195632632819,0.150987397062547
"final_sa_entropy","20m","sa_entropy","Spectral angle entropy","metric_se","Bootstrap SE",477,-0.120257972723921,0.0144619800036673,6.97024403154689,0.00856035403866468,-0.0124620010754921,0.0416599434770258
"final_sa_entropy","50m","sa_entropy","Spectral angle entropy","metric_sd","Bootstrap SD",79,0.171270036305123,0.0293334253359577,2.32693059576147,0.131249517313848,0.155184880564341,-0.388037589054172
"final_sa_entropy","50m","sa_entropy","Spectral angle entropy","metric_cv","Bootstrap CV",79,0.134344781123835,0.0180485202152109,1.41527976196525,0.23783727246797,0.0423386858219056,-0.101742619386199
"final_sa_entropy","50m","sa_entropy","Spectral angle entropy","metric_se","Bootstrap SE",79,0.171270036305123,0.0293334253359577,2.32693059576147,0.131249517313848,0.0185481408986642,-0.0463793627934689
"sample_size_fixed4000","10m","sa_entropy","Spectral angle entropy","metric_sd","Bootstrap SD",32,0.0103127373902248,0.000106352552479752,0.00319091593644716,0.95532745586007,0.00872728840569211,0.0297663961564062
"sample_size_fixed4000","10m","sa_entropy","Spectral angle entropy","metric_cv","Bootstrap CV",32,-0.0046142270504421,2.12910912730252e-05,0.000638746337797335,0.980004233853553,-0.00136508768474734,0.0230775338613412
"sample_size_fixed4000","10m","sa_entropy","Spectral angle entropy","metric_se","Bootstrap SE",32,0.0103127373902248,0.000106352552479753,0.00319091593644717,0.95532745586007,0.00123422496260713,0.00420960411473598
