"source","scale","quad_id","metric_id","metric_label","sample_rule","n_boot","metric_value","metric_sd","metric_cv","metric_se"
"sample_size_fixed4000","10m","1104_b","sa_entropy","Spectral angle entropy","fixed_4000",50,2.85542232362686,0.011457541970497,0.0040125559976515,0.00162034112461357
"sample_size_fixed4000","10m","1110_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.64644352979916,0.0114351388618264,0.0043209457269977,0.00161717284660145
"sample_size_fixed4000","10m","1124_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.96500976138052,0.348253414692529,0.117454390615692,0.0492504702200916
"sample_size_fixed4000","10m","112_b","sa_entropy","Spectral angle entropy","fixed_4000",50,3.0629209433344,0.0137989740024811,0.00450516819002814,0.00195146961811426
"sample_size_fixed4000","10m","114_b","sa_entropy","Spectral angle entropy","fixed_4000",50,3.01763672040082,0.0132451433930228,0.00438924384220228,0.00187314614219892
"sample_size_fixed4000","10m","11_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.72089697373818,0.00888965944026861,0.00326717973009294,0.00125718769453059
"sample_size_fixed4000","10m","120_d","sa_entropy","Spectral angle entropy","fixed_4000",50,2.81478767380636,0.010478006260481,0.00372248548549023,0.00148181385602024
"sample_size_fixed4000","10m","1305_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.94394136846566,0.0111779661957971,0.00379693913592541,0.00158080313938442
"sample_size_fixed4000","10m","1315_b","sa_entropy","Spectral angle entropy","fixed_4000",50,2.8296013857476,0.0117871445723927,0.00416565549895589,0.00166695397159301
"sample_size_fixed4000","10m","1400_b","sa_entropy","Spectral angle entropy","fixed_4000",50,2.91170175043486,0.0102741156219649,0.00352856044422491,0.0014529793653972
"sample_size_fixed4000","10m","1414_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.81070351776802,0.332240990186245,0.118205633602394,0.0469859714297654
"sample_size_fixed4000","10m","1417_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.98642601135683,0.00764369054376582,0.00255947762130998,0.00108098108335766
"sample_size_fixed4000","10m","1514_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.91560135034691,0.0110429572191126,0.00378754016484409,0.00156170998679749
"sample_size_fixed4000","10m","1516_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.79556184876496,0.0118532627461801,0.00424002879829566,0.00167630449340196
"sample_size_fixed4000","10m","1604_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.89672505774219,0.00936501514830615,0.00323296652655243,0.0013244131434564
"sample_size_fixed4000","10m","1606_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.91507162231162,0.00954439905736067,0.0032741559364473,0.00134978185916204
"sample_size_fixed4000","10m","1701_b","sa_entropy","Spectral angle entropy","fixed_4000",50,2.74781729975106,0.0138342280611785,0.00503462441350518,0.00195645529490811
"sample_size_fixed4000","10m","1803_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.85681331904927,0.00709565073607933,0.00248376423085311,0.0010034765504826
"sample_size_fixed4000","10m","1816_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.86858909055919,0.00715167229807274,0.00249309750274433,0.00101139919575824
"sample_size_fixed4000","10m","1912_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.88711819346577,0.00925593759629594,0.00320594342734022,0.00130898724811607
"sample_size_fixed4000","10m","1917_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.95509117097082,0.00949375518620025,0.00321267759162954,0.00134261973421743
"sample_size_fixed4000","10m","204_d","sa_entropy","Spectral angle entropy","fixed_4000",50,2.7907024868711,0.16571887759673,0.0593824954026295,0.0234361884238542
"sample_size_fixed4000","10m","217_d","sa_entropy","Spectral angle entropy","fixed_4000",50,2.71554848200819,0.0975666589532494,0.0359288959853508,0.0137980092327116
"sample_size_fixed4000","10m","22_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.91551636206001,0.0132972498862342,0.00456085586048257,0.00188051511313765
"sample_size_fixed4000","10m","319_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.73870428850478,0.0110084804161446,0.00401959439810668,0.00155683423056302
"sample_size_fixed4000","10m","409_d","sa_entropy","Spectral angle entropy","fixed_4000",50,2.87298009210115,0.00845494780325734,0.00294291903605703,0.00119571018525231
"sample_size_fixed4000","10m","503_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.77916232575933,0.224439497354778,0.0807579662672118,0.0317405381091328
"sample_size_fixed4000","10m","614_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.83013796052709,0.00782085651370483,0.00276341882367044,0.00110603613510553
"sample_size_fixed4000","10m","700_c","sa_entropy","Spectral angle entropy","fixed_4000",50,2.76669235119442,0.162499774048651,0.058734312826107,0.0229809384342165
"sample_size_fixed4000","10m","722_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.77491087913085,0.0118577483172847,0.00427319969317311,0.00167693884895107
"sample_size_fixed4000","10m","800_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.52253935611254,0,0,0
"sample_size_fixed4000","10m","914_a","sa_entropy","Spectral angle entropy","fixed_4000",50,2.95686255657636,0.165315464044439,0.055909079600863,0.0233791371321647
"sample_size_fixed4000","20m","100","sa_entropy","Spectral angle entropy","fixed_4000",50,2.78333749342279,0.0131007846208324,0.00470686169097008,0.00185273072885101
"sample_size_fixed4000","20m","1201","sa_entropy","Spectral angle entropy","fixed_4000",50,2.7584287205122,0.0114280647115368,0.0041429617617289,0.00161617241067328
"sample_size_fixed4000","20m","1402","sa_entropy","Spectral angle entropy","fixed_4000",50,2.90029416940796,0.0104510116749196,0.00360343160537159,0.00147799624511908
"sample_size_fixed4000","20m","1512","sa_entropy","Spectral angle entropy","fixed_4000",50,2.77752289141427,0.0938273956874874,0.0337809621578715,0.0132691975503391
"sample_size_fixed4000","20m","1518","sa_entropy","Spectral angle entropy","fixed_4000",50,2.93381717956091,0.0158798119064759,0.00541267943248343,0.0022457445366072
"sample_size_fixed4000","20m","1800","sa_entropy","Spectral angle entropy","fixed_4000",50,2.81051838440427,0.206346203297891,0.0734192682897639,0.0291817599248073
"sample_size_fixed4000","20m","1805","sa_entropy","Spectral angle entropy","fixed_4000",50,2.8410539798193,0.0122251618585774,0.00430303751544874,0.00172889897026064
"sample_size_fixed4000","20m","1910","sa_entropy","Spectral angle entropy","fixed_4000",50,2.80295053015431,0.0128671266742804,0.00459056502633746,0.001819686505154
"sample_size_fixed4000","20m","206","sa_entropy","Spectral angle entropy","fixed_4000",50,2.95506425137682,0.0120125832096633,0.00406508359473619,0.00169883580942411
"sample_size_fixed4000","20m","219","sa_entropy","Spectral angle entropy","fixed_4000",50,2.88169989581573,0.099917368852863,0.034673065366017,0.0141304498148354
"sample_size_fixed4000","20m","302","sa_entropy","Spectral angle entropy","fixed_4000",50,2.8438695863845,0.0144618772015629,0.00508528143161048,0.00204521828758245
"sample_size_fixed4000","20m","317","sa_entropy","Spectral angle entropy","fixed_4000",50,2.79157685451339,0.0150123802335306,0.00537774204899956,0.00212307117297607
"sample_size_fixed4000","20m","405","sa_entropy","Spectral angle entropy","fixed_4000",50,2.84211586376466,0.0131354453140697,0.00462171352038778,0.00185763249109675
"sample_size_fixed4000","20m","821","sa_entropy","Spectral angle entropy","fixed_4000",50,2.80187271371182,0.0138303118775998,0.00493609570838709,0.00195590146291513
"sample_size_fixed4000","20m","905","sa_entropy","Spectral angle entropy","fixed_4000",50,3.02259285449653,0.139890098506056,0.0462814891850056,0.0197834474548973
"sample_size_fixed4000","20m","912","sa_entropy","Spectral angle entropy","fixed_4000",50,2.93534252895794,0.100005630858004,0.0340694926985257,0.0141429319473067
"sample_size_fixed4000","50m","sub50_15","sa_entropy","Spectral angle entropy","fixed_4000",50,2.82735324489443,0.0131938530340797,0.0046665032244927,0.0018658925900753
"sample_size_fixed4000","50m","sub50_24","sa_entropy","Spectral angle entropy","fixed_4000",50,2.83035723049827,0.0106788821180506,0.00377298031604677,0.00151022199223307
"sample_size_fixed4000","50m","sub50_36","sa_entropy","Spectral angle entropy","fixed_4000",50,2.88934444875412,0.0148052187530313,0.00512407537959529,0.00209377411544373
"sample_size_fixed4000","50m","sub50_49","sa_entropy","Spectral angle entropy","fixed_4000",50,2.81857670704221,0.0177780662482212,0.00630746227477247,0.00251419824010017
"sample_size_fixed4000","50m","sub50_51","sa_entropy","Spectral angle entropy","fixed_4000",50,2.81558977732199,0.0178441540249663,0.00633762566148344,0.00252354446311818
"sample_size_fixed4000","50m","sub50_56","sa_entropy","Spectral angle entropy","fixed_4000",50,2.82592549302359,0.0130195979328749,0.00460719787730307,0.00184124919733164
"sample_size_fixed4000","50m","sub50_60","sa_entropy","Spectral angle entropy","fixed_4000",50,2.90795180386607,0.135082918217304,0.0464529425961302,0.0191036094987847
"sample_size_fixed4000","50m","sub50_8","sa_entropy","Spectral angle entropy","fixed_4000",50,2.76456680997302,0.0143894533613322,0.00520495772047289,0.00203497600987311
"sample_size_fixed4000","10m","1104_b","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,6.29456620624639,0.0610893212606604,0.00970508836654044,0.0086393346642993
"sample_size_fixed4000","10m","1110_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,6.53138982804806,0.0348592505872642,0.00533718726105836,0.00492984249546714
"sample_size_fixed4000","10m","1124_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.08971137801586,0.0560367914040486,0.00790395947256898,0.00792479903954776
"sample_size_fixed4000","10m","112_b","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.55241477280837,0.119056087129578,0.0139207569198007,0.0168370733101722
"sample_size_fixed4000","10m","114_b","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,9.38666861090531,0.0718490186864123,0.00765436830303554,0.0101609856669522
"sample_size_fixed4000","10m","11_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.00260651432448,0.0374030363033996,0.00534130201759705,0.00528958812142009
"sample_size_fixed4000","10m","120_d","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.95174506404976,0.0542313336349462,0.00605818566624952,0.00766946875321211
"sample_size_fixed4000","10m","1305_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.27178411784414,0.0377117400964287,0.00518603680820066,0.00533324543050587
"sample_size_fixed4000","10m","1315_b","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.99789201513344,0.0749529338173686,0.00937158612238628,0.0105999455544176
"sample_size_fixed4000","10m","1400_b","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.92710589325252,0.039306975351022,0.00495855308107839,0.00555884576372802
"sample_size_fixed4000","10m","1414_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.81197872457018,0.046307860658509,0.00525510354778662,0.00654892045877469
"sample_size_fixed4000","10m","1417_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,9.21738522599688,0.0582567378457698,0.0063203106322888,0.00823874687611016
"sample_size_fixed4000","10m","1514_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,5.92275521800841,0.0375116681796004,0.00633348277935654,0.00530495098868301
"sample_size_fixed4000","10m","1516_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.58807747858881,0.0565975879797851,0.00659025120824658,0.00800410765186166
"sample_size_fixed4000","10m","1604_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.24803623927731,0.0424094858905389,0.00585116912919401,0.00599760701196705
"sample_size_fixed4000","10m","1606_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.52098228082333,0.0351848483310732,0.00467822513301035,0.00497588896998441
"sample_size_fixed4000","10m","1701_b","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.10145994329286,0.0493628834431283,0.00695108947136288,0.00698096592431143
"sample_size_fixed4000","10m","1803_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,6.78900391498844,0.025276308644458,0.00372312477072729,0.00357460984917208
"sample_size_fixed4000","10m","1816_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.08930833822493,0.0279063595394703,0.00393640087411655,0.00394655521371787
"sample_size_fixed4000","10m","1912_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.20426388613878,0.0287172732634228,0.0039861495521667,0.00406123573235068
"sample_size_fixed4000","10m","1917_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.09008822564008,0.0357477775458819,0.00504193691364886,0.00505549918300826
"sample_size_fixed4000","10m","204_d","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.20332068412469,0.0429238721290702,0.00523249959155416,0.00607035221144996
"sample_size_fixed4000","10m","217_d","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.64276673572147,0.0514901511784003,0.00673710881921084,0.00728180701251347
"sample_size_fixed4000","10m","22_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.74362525986731,0.0580809114847224,0.00664265790887793,0.00821388127366857
"sample_size_fixed4000","10m","319_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.22550321330227,0.0568836404566303,0.00691552103032896,0.00804456158109214
"sample_size_fixed4000","10m","409_d","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,9.07065451510821,0.0461779100892246,0.00509091268026028,0.00653054267302268
"sample_size_fixed4000","10m","503_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.79761222236376,0.0452810741456999,0.00580704359929987,0.00640371091756705
"sample_size_fixed4000","10m","614_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,6.16296405060204,0.0364841772812679,0.00591990752853797,0.00515964183231934
"sample_size_fixed4000","10m","700_c","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,7.02591930515522,0.0482082904623765,0.00686149219320012,0.00681768181907144
"sample_size_fixed4000","10m","722_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.20372076211811,0.0516319541151805,0.00629372398358543,0.00730186097615136
"sample_size_fixed4000","10m","800_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,9.74889941965345,0,0,0
"sample_size_fixed4000","10m","914_a","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,6.7038014392083,0.0402685084060444,0.00600681699349377,0.0056948270724363
"sample_size_fixed4000","20m","100","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.7699892303697,0.0655208838579311,0.00747103355965798,0.00926605225705585
"sample_size_fixed4000","20m","1201","pca_mean_distance","Raw PCA mean distance","fixed_4000",50,8.05086487297662,0.0688925502588702,0.00855716141629871,0.00974287789225643
