"scale","quad_id","sa_entropy","boot_sd","boot_cv","boot_se","env_elev","crown_equivalent_individuals","present_species_count","composition_cluster","composition_type","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"10m","0_a",3.02560440689825,0.113606797214914,0.0375484636907242,0.0135786094246116,220.029150704029,2.14713776043841,6,"10m_C2","FAGR+LIST2+LITU",4447,0.0524950272160513,0.0525491572916508,0.0133852343590283,4447,0.0177225202249265,4447,0.0424505839333869,4447,0.100285531096738,4447,0.437154806809534
"10m","0_b",2.9493690301664,0.00703979803226579,0.00238688274009191,0.000841416801210004,219.058978743319,1.28953096864799,3,"10m_C5","LITU+LIST2+ACNE2",3350,0.0502304372002385,0.0495001301169395,0.0125279118354219,3350,0.0175737793146514,3350,0.0407711656823425,3350,0.0964588226686124,3350,0.419864854968083
"10m","0_c",2.87333740952765,0.00736203277839273,0.0025621887474757,0.000879931219959256,217.453190586994,1.83153971680388,2,"10m_C5","LITU+LIST2+ACNE2",6145,0.0559994655189182,0.055648248642683,0.0144461159342466,6145,0.0167106545681817,6145,0.0449308141338687,6145,0.10576930644515,6145,0.457804371188468
"10m","0_d",2.86599322516298,0.0103257935436796,0.00360286739445884,0.00123416838574862,218.097654637548,1.86688754943033,4,"10m_C2","FAGR+LIST2+LITU",7842,0.0600125745874211,0.0607486646622419,0.0133837058312741,7842,0.0201448218092525,7842,0.0484391449543354,7842,0.113456472831502,7842,0.485689203915293
"10m","1_a",2.72941276815474,0.0123812707021637,0.00453623975333503,0.00147984489631398,215.943502462355,3.15844849062908,4,"10m_C5","LITU+LIST2+ACNE2",9428,0.0777125718456519,0.0791711919009686,0.0145854570551329,9428,0.0238520257916365,9428,0.0620162163720429,9428,0.138547966227504,9428,0.566417652453736
"10m","1_b",2.77564472288952,0.0815946451820419,0.0293966459428928,0.00975242542900652,215.582437127839,3.70363209424976,5,"10m_C5","LITU+LIST2+ACNE2",9385,0.0777191851780287,0.0791550204157829,0.0155811083228808,9385,0.0253327382066117,9385,0.0628075498179924,9385,0.132208155879034,9385,0.521140200523315
"10m","1_c",2.81737734954891,0.115143105422075,0.0408688972531531,0.013762233376807,213.955264137366,2.87669362591933,4,"10m_C5","LITU+LIST2+ACNE2",4712,0.0578037983795599,0.0553578492254019,0.0187299706422001,4712,0.0192075823938032,4712,0.0470978759968871,4712,0.10823082488735,4712,0.47103364320358
"10m","1_d",2.74143484971684,0.0101619128305846,0.00370678618593989,0.0012145808940677,213.752148792933,2.23569694708689,5,"10m_C2","FAGR+LIST2+LITU",7184,0.069654269442626,0.0720139741897583,0.0171751767907647,7184,0.0220715518751456,7184,0.0563324723834366,7184,0.122984845184515,7184,0.515353408063685
"10m","10_a",2.81255312163456,0.0101261433370882,0.00360033851776752,0.00121030562187087,237.892741113514,1.34490606967807,6,"10m_C6","CACA38+FRAMCO+ACSA3C",9159,0.0660964424187751,0.0670597925782204,0.0179816924073021,9159,0.0242085030819615,9159,0.0542432705666229,9159,0.119001145189425,9159,0.48760631957534
"10m","10_b",2.89471004861514,0.138329681483175,0.0477870595534615,0.0165335592828805,239.478790274977,2.17203983585446,4,"10m_C6","CACA38+FRAMCO+ACSA3C",7511,0.0517039202253374,0.0513612665235996,0.011164879383508,7511,0.0199946308018379,7511,0.0421982575645383,7511,0.104337934975721,7511,0.449059267291045
"10m","10_c",2.80667211175505,0.0091248127473781,0.0032511146240279,0.00109062372504855,240.954185385713,0.715562384726905,3,"10m_C6","CACA38+FRAMCO+ACSA3C",7047,0.0473291185540846,0.0477327667176723,0.00849946980101882,7047,0.0182794916176845,7047,0.0391607115466644,7047,0.0942923589337469,7047,0.413331222883565
"10m","10_d",2.79935898522427,0.0100531402586438,0.00359122938919477,0.00120158008507824,239.557978781736,2.66947371679167,4,"10m_C6","CACA38+FRAMCO+ACSA3C",7086,0.0489387801311323,0.048752024769783,0.010144154371357,7086,0.0188511321232195,7086,0.0399347829455329,7086,0.103650811812838,7086,0.476309340627574
"10m","100_a",2.86670711222497,0.267898109431075,0.0934515103718246,0.0320199484778617,220.80899560423,1.38471670166692,3,"10m_C2","FAGR+LIST2+LITU",7809,0.0593347344585674,0.0588329397141933,0.0153950702277113,7809,0.0193797283281893,7809,0.0476435684887462,7809,0.118305721316859,7809,0.512287014097926
"10m","100_b",2.80547975441096,0.00927687330467943,0.0033066976477352,0.00110879843789234,220.650647752135,2.31255694985455,3,"10m_C2","FAGR+LIST2+LITU",7035,0.0589186247631473,0.0586320236325264,0.01515877234822,7035,0.0177357339319558,7035,0.047549850940797,7035,0.107089475576454,7035,0.45744125410351
"10m","100_c",2.7119673023501,0.010159943608257,0.00374633705924579,0.00121434552698129,218.486398802217,2.67999094977308,3,"10m_C2","FAGR+LIST2+LITU",8911,0.0669636104120883,0.066836915910244,0.0158318747505417,8911,0.0211497641844832,8911,0.0532626645922069,8911,0.129885651564567,8911,0.554379639527775
"10m","100_d",2.87140268822607,0.010946261884586,0.00381216536763378,0.00130832853697238,218.182677894064,2.41343695689137,5,"10m_C5","LITU+LIST2+ACNE2",7619,0.0597849195146615,0.0596313588321209,0.0147602481816486,7619,0.0201597334411497,7619,0.0482224198121898,7619,0.118842273304254,7619,0.505043058343303
"10m","1000_a",2.75452741927128,0.113854329235838,0.0413335254676673,0.0136081951599251,208.178064613711,1.83517776471047,5,"10m_C4","FRAMCO+AEFL+QUMU",7586,0.0504098585407789,0.0497235618531704,0.0116031060409209,7586,0.0162810974825367,7586,0.0399649307388582,7586,0.0939705243643187,7586,0.406850557653285
"10m","1000_b",2.81547794935047,0.00998494200454869,0.00354644653027817,0.00119342883463813,206.896774351034,1.64827489146395,5,"10m_C4","FRAMCO+AEFL+QUMU",8134,0.0595924043217282,0.058834258466959,0.016546318331109,8134,0.020129527089499,8134,0.0473067129105558,8134,0.110939153137035,8134,0.467273577052064
"10m","1000_c",2.88646562090943,0.00834199886036717,0.0028900392230339,0.000997059569694575,208.197983887112,2.15776086241168,6,"10m_C3","QUAL+ACSA3C+CACA38",7126,0.0514964620351955,0.0504429452121258,0.0129370809327571,7126,0.0193755563055299,7126,0.0422221901306307,7126,0.0966616935081923,7126,0.416952347711822
"10m","1000_d",2.83119656767579,0.11621778391248,0.0410489985892739,0.0138906820245639,209.355319138501,1.95281446124196,2,"10m_C5","LITU+LIST2+ACNE2",7424,0.0458906581943979,0.0442945752292871,0.0100211911886309,7424,0.0176947127558546,7424,0.0377951892047896,7424,0.0911006260984243,7424,0.410554528575158
"10m","1001_a",2.79682679332404,0.0104675821029022,0.00374266369583133,0.00125111535999454,210.508347400562,1.76260372743342,5,"10m_C3","QUAL+ACSA3C+CACA38",6928,0.0517198654681048,0.0515213664621115,0.0111849213920528,6928,0.0179374776740053,6928,0.0416832343563601,6928,0.0984724075749337,6928,0.441473082214912
"10m","1001_b",2.87798981203083,0.00983045271907761,0.00341573576041981,0.00117496383325506,209.656178119261,2.54509374132536,4,"10m_C3","QUAL+ACSA3C+CACA38",7555,0.0605999141423652,0.0597971677780151,0.0154927588813205,7555,0.0180214371800045,7555,0.0477263481309008,7555,0.108220531440684,7555,0.453482086243326
"10m","1001_c",2.91120599007606,0.0113424461590152,0.00389613314814556,0.001355681614909,210.184904993391,1.01673192912284,3,"10m_C3","QUAL+ACSA3C+CACA38",8660,0.0656487381847158,0.0656689256429672,0.0169537923860715,8660,0.0235296483392451,8660,0.0531546355780298,8660,0.114037724784998,8660,0.470593842876993
"10m","1001_d",2.85367248172176,0.0102462456696373,0.00359054717570647,0.00122466059626191,211.284965914783,3.78699906678492,4,"10m_C3","QUAL+ACSA3C+CACA38",8740,0.0549033577498517,0.0551071129739285,0.01112582828621,8740,0.0179646180457517,8740,0.0438466717222972,8740,0.102065492090159,8740,0.448459749410419
"10m","1002_a",2.77518747844706,0.0832363061897824,0.0299930389698788,0.00994864144933454,212.340229313934,1.96058385630703,6,"10m_C3","QUAL+ACSA3C+CACA38",9024,0.0648965538235411,0.0628884322941303,0.0169040201583259,9024,0.0215917797689283,9024,0.0519549103743599,9024,0.120655335029535,9024,0.5160498538576
"10m","1002_b",2.75123454046596,0.0112061924981955,0.00407315055600369,0.00133939618755517,210.592661060241,3.04266042430928,3,"10m_C3","QUAL+ACSA3C+CACA38",8827,0.0804426365554032,0.0814315900206566,0.0195976007155638,8827,0.0258613489228965,8827,0.0638259070161745,8827,0.134001275747315,8827,0.53108462763463
"10m","1002_c",2.95626842070185,0.162933939960066,0.0551147314022939,0.0194743306471843,211.432869935069,1.27361709125481,5,"10m_C2","FAGR+LIST2+LITU",7501,0.0702875317607625,0.0700144395232201,0.0192387372807365,7501,0.0222446023540343,7501,0.0560323004340124,7501,0.119188310312227,7501,0.479615946797146
"10m","1002_d",2.86247437923713,0.0114827701112247,0.00401148397851685,0.00137245353513456,213.178325193517,4.30831421843613,6,"10m_C3","QUAL+ACSA3C+CACA38",8618,0.0602205479837458,0.0594923663884401,0.0152954420739856,8618,0.0210736306934304,8618,0.0491461062792934,8618,0.113237361862393,8618,0.494388679057536
"10m","1003_a",2.86382297942568,0.010233308452129,0.00357330342191096,0.0012231143030128,213.878990961442,1.4864267393739,5,"10m_C3","QUAL+ACSA3C+CACA38",9162,0.0649738040191801,0.0635394267737865,0.0175528835656177,9162,0.0239889342682329,9162,0.0541759395850669,9162,0.108068126443147,9162,0.445347816368748
"10m","1003_b",2.80129208964044,0.0819755530542893,0.0292634792913763,0.0097979526276496,212.300698061268,0.59716746442028,3,"10m_C2","FAGR+LIST2+LITU",8560,0.0618049627531181,0.0615604650229216,0.0167058268789809,8560,0.0200886924110396,8560,0.0499930199848374,8560,0.109024968263607,8560,0.464159110479544
"10m","1003_c",2.83243877999138,0.00849250373979953,0.00299830089878425,0.00101504834346877,213.210444708048,3.94163445862535,5,"10m_C1","QUAL+FRAMCO+QURU",7175,0.0570658325793332,0.0571763888001442,0.0139616882305667,7175,0.0209304484741296,7175,0.0463092643319782,7175,0.106719961887469,7175,0.467343955870663
"10m","1003_d",2.85110823143384,0.0101882989530643,0.00357345218983166,0.00121773463891541,215.14559041415,3.3230254975313,7,"10m_C3","QUAL+ACSA3C+CACA38",9306,0.0675886719636323,0.0661980248987675,0.0169235772320495,9306,0.0218564691210796,9306,0.0542938807467086,9306,0.119625039330462,9306,0.494792545245632
"10m","1004_a",2.83609365992005,0.00772015587040438,0.00272210892732717,0.000922735116482818,216.459250235804,5.10498442198611,10,"10m_C3","QUAL+ACSA3C+CACA38",9158,0.0653764157911726,0.0662573836743832,0.0110226060327357,9158,0.0216530849521774,9158,0.0527300660836097,9158,0.115880185944035,9158,0.479057055839752
"10m","1004_b",2.87904644764019,0.00708329991183749,0.00246029372594642,0.000846616270312396,214.166466640653,2.38347420845223,6,"10m_C2","FAGR+LIST2+LITU",5435,0.0543480114995912,0.0531829781830311,0.0149563044600655,5435,0.0173441718883,5435,0.0435593270059621,5435,0.0993073091865829,5435,0.428944766032642
"10m","1004_c",2.83064045208284,0.0101457895606866,0.00358427350009115,0.00121265379472189,214.82471421069,1.28253257144596,3,"10m_C2","FAGR+LIST2+LITU",6893,0.0590027499515398,0.0585617087781429,0.0160899897111874,6893,0.0181336651637501,6893,0.0464587675262805,6893,0.110065014794645,6893,0.454335593484806
