"relationship_type","scale","boot_stat","boot_stat_label","predictor","predictor_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","n_groups","eta_squared"
"continuous","10m","boot_sd","SA bootstrap SD","env_elev","Elevation",1866,0.086628724144144,0.00750453584684223,14.094225438551,0.000179206372280711,0.000483270888101032,-0.0411584872750512,NA,NA
"continuous","10m","boot_sd","SA bootstrap SD","present_species_count","Species count",1866,-0.0130850976032579,0.000171219779286767,0.319208323369207,0.572151790256564,-0.000847917904208564,0.0715404422474097,NA,NA
"continuous","10m","boot_sd","SA bootstrap SD","crown_equivalent_individuals","Individual count",1866,-0.0361568457572096,0.00130731749511065,2.44002970440741,0.118443736312592,-0.00348398858000025,0.075009242630123,NA,NA
"continuous","10m","boot_sd","SA bootstrap SD","mean_pixel_brightness","Overall brightness",1866,0.0599651102948166,0.00359581445266953,6.7267864155892,0.00957191527950551,0.818183465861709,0.0218657463854427,NA,NA
"continuous","10m","boot_sd","SA bootstrap SD","mean_blue_pixel_brightness","Blue brightness",1866,0.0518168958981087,0.00268499070051542,5.01829674585579,0.0251982526177632,1.62883453286313,0.0362491780265277,NA,NA
"continuous","10m","boot_sd","SA bootstrap SD","mean_green_pixel_brightness","Green brightness",1866,0.0495327266861716,0.00245349101296698,4.58455541367635,0.0323906843816784,0.844750159768373,0.0295871307369575,NA,NA
"continuous","10m","boot_sd","SA bootstrap SD","mean_red_pixel_brightness","Red brightness",1866,0.201923001481508,0.040772898527301,79.231167195136,1.27921261658645e-18,1.75461099522277,-0.121493250134022,NA,NA
"continuous","10m","boot_sd","SA bootstrap SD","mean_nir_pixel_brightness","NIR brightness",1866,0.261799474117513,0.0685389646482062,137.157245719898,1.27960484730597e-30,0.520377822156741,-0.175657763360912,NA,NA
"composition","10m","boot_sd","SA bootstrap SD","composition_type","Species composition type",1866,NA,NA,2.17917313076762,0.0539605080221206,NA,NA,6,0.00582387606593498
"continuous","10m","boot_cv","SA bootstrap CV","env_elev","Elevation",1866,0.0914306432954004,0.00835956253341077,15.7135832440301,7.64739186547636e-05,0.000178519491215725,-0.0163573700289886,NA,NA
"continuous","10m","boot_cv","SA bootstrap CV","present_species_count","Species count",1866,-0.0124234200812897,0.000154341366516178,0.287736716864234,0.591738567996162,-0.000281762478388712,0.0251427000186875,NA,NA
"continuous","10m","boot_cv","SA bootstrap CV","crown_equivalent_individuals","Individual count",1866,-0.0367920191684766,0.00135365267449356,2.52662876303853,0.112108727093586,-0.00124080906579382,0.0264621340011897,NA,NA
"continuous","10m","boot_cv","SA bootstrap CV","mean_pixel_brightness","Overall brightness",1866,0.0608921969467912,0.00370785964900682,6.93717244754516,0.00851208054429242,0.290789589454,0.00756931261887818,NA,NA
"continuous","10m","boot_cv","SA bootstrap CV","mean_blue_pixel_brightness","Blue brightness",1866,0.0520791619770481,0.00271223911223161,5.06936302988347,0.0244683543896637,0.572973730987869,0.01279693222425,NA,NA
"continuous","10m","boot_cv","SA bootstrap CV","mean_green_pixel_brightness","Green brightness",1866,0.050214012524717,0.00252144705383243,4.71185800883811,0.0300811127120132,0.299727176307573,0.0103365088665704,NA,NA
"continuous","10m","boot_cv","SA bootstrap CV","mean_red_pixel_brightness","Red brightness",1866,0.205894899534747,0.0423927096544234,82.5181800436469,2.59778753263967e-19,0.626189513710369,-0.0436609696472698,NA,NA
"continuous","10m","boot_cv","SA bootstrap CV","mean_nir_pixel_brightness","NIR brightness",1866,0.268573275158634,0.0721316041294353,144.905582187782,3.40377241736428e-32,0.186843482580764,-0.0635204034628746,NA,NA
"composition","10m","boot_cv","SA bootstrap CV","composition_type","Species composition type",1866,NA,NA,2.34765984896908,0.0389720555475931,NA,NA,6,0.00627133571481719
"continuous","10m","boot_se","SA bootstrap SE","env_elev","Elevation",1866,0.0866287241441439,0.00750453584684221,14.094225438551,0.000179206372280714,5.77619191516794e-05,-0.00491938015080668,NA,NA
"continuous","10m","boot_se","SA bootstrap SE","present_species_count","Species count",1866,-0.013085097603258,0.000171219779286769,0.319208323369211,0.572151790256561,-0.000101345573747694,0.0085507183298539,NA,NA
"continuous","10m","boot_se","SA bootstrap SE","crown_equivalent_individuals","Individual count",1866,-0.0361568457572096,0.00130731749511065,2.44002970440742,0.118443736312592,-0.000416416282541062,0.0089653192756028,NA,NA
"continuous","10m","boot_se","SA bootstrap SE","mean_pixel_brightness","Overall brightness",1866,0.0599651102948166,0.00359581445266953,6.7267864155892,0.00957191527950554,0.0977916286082285,0.00261345656443311,NA,NA
"continuous","10m","boot_se","SA bootstrap SE","mean_blue_pixel_brightness","Blue brightness",1866,0.0518168958981087,0.00268499070051544,5.01829674585583,0.0251982526177626,0.194682963354984,0.00433260546421614,NA,NA
"continuous","10m","boot_se","SA bootstrap SE","mean_green_pixel_brightness","Green brightness",1866,0.0495327266861716,0.00245349101296698,4.58455541367636,0.0323906843816781,0.100966955869496,0.00353633851249285,NA,NA
"continuous","10m","boot_se","SA bootstrap SE","mean_red_pixel_brightness","Red brightness",1866,0.201923001481508,0.0407728985273011,79.2311671951361,1.27921261658643e-18,0.209716125974296,-0.0145212208401203,NA,NA
"continuous","10m","boot_se","SA bootstrap SE","mean_nir_pixel_brightness","NIR brightness",1866,0.261799474117513,0.0685389646482062,137.157245719898,1.27960484730595e-30,0.0621970460704862,-0.0209951184220653,NA,NA
"composition","10m","boot_se","SA bootstrap SE","composition_type","Species composition type",1866,NA,NA,2.17917313076762,0.0539605080221198,NA,NA,6,0.005823876065935
"continuous","20m","boot_sd","SA bootstrap SD","env_elev","Elevation",477,0.107173390633083,0.0114861356597913,5.51930998159792,0.019216314752824,0.000473000897325438,-0.0539886401501121,NA,NA
"continuous","20m","boot_sd","SA bootstrap SD","present_species_count","Species count",477,-0.118518159567863,0.0140465541473534,6.76716862044419,0.00957471531479892,-0.00408785774597317,0.0833234737958471,NA,NA
"continuous","20m","boot_sd","SA bootstrap SD","crown_equivalent_individuals","Individual count",477,-0.0729911607748909,0.00532770955126597,2.54421688545245,0.111363887864119,-0.00232696727359281,0.0713507142251663,NA,NA
"continuous","20m","boot_sd","SA bootstrap SD","mean_pixel_brightness","Overall brightness",477,0.0371645008673386,0.00138120012471842,0.656977476613884,0.418034943566136,0.474737661251018,0.0259113740615204,NA,NA
"continuous","20m","boot_sd","SA bootstrap SD","mean_blue_pixel_brightness","Blue brightness",477,0.0571724889753676,0.00326869349563852,1.55772112333215,0.212614075850625,1.70153017219016,0.0194949391243752,NA,NA
