quad_id,n_pixels,n_pairs,method,spectral_entropy,exact_entropy,boot_mean,boot_sd,boot_cv,boot_median,boot_min,boot_max,scale,boot_se,valid_entropy,boot_range,outlier_reps
0_a,4447,9885681,bootstrap_mean,3.02560440689825,NA,3.02560440689825,0.113606797214914,0.0375484636907242,3.04484195681446,2.36733157308543,3.0626667319257,10 m,0.013578609424611612,TRUE,0.6953351588402703,5
0_b,3350,5609575,bootstrap_mean,2.9493690301664,NA,2.9493690301664,0.00703979803226579,0.00238688274009191,2.9492768765307,2.92738688873948,2.96391946128823,10 m,8.41416801210004e-4,TRUE,0.036532572548749975,1
0_c,6145,18877440,bootstrap_mean,2.87333740952765,NA,2.87333740952765,0.00736203277839273,0.0025621887474757,2.87143025087522,2.85755413133249,2.89565871088406,10 m,8.799312199592565e-4,TRUE,0.038104579551569984,1
0_d,7842,30744561,bootstrap_mean,2.86599322516298,NA,2.86599322516298,0.0103257935436796,0.00360286739445884,2.86627893641695,2.83795777457413,2.88722366825428,10 m,0.0012341683857486228,TRUE,0.04926589368015,0
1_a,9428,44438878,bootstrap_mean,2.72941276815474,NA,2.72941276815474,0.0123812707021637,0.00453623975333503,2.7297557076887,2.69660384615601,2.75667745964485,10 m,0.0014798448963139791,TRUE,0.060073613488840216,0
1_b,9385,44034420,bootstrap_mean,2.77564472288952,NA,2.77564472288952,0.0815946451820419,0.0293966459428928,2.76578744677754,2.74372329361029,3.44225521136272,10 m,0.009752425429006522,TRUE,0.6985319177524301,2
1_c,4712,11099116,bootstrap_mean,2.81737734954891,NA,2.81737734954891,0.115143105422075,0.0408688972531531,2.79874232577295,2.78476251703526,3.48960860827774,10 m,0.013762233376807017,TRUE,0.7048460912424801,3
1_d,7184,25801336,bootstrap_mean,2.74143484971684,NA,2.74143484971684,0.0101619128305846,0.00370678618593989,2.74206490382925,2.72173463151829,2.76081529650954,10 m,0.0012145808940676962,TRUE,0.03908066499124985,0
10_a,9159,41939061,bootstrap_mean,2.81255312163456,NA,2.81255312163456,0.0101261433370882,0.00360033851776752,2.81200723454911,2.79070184885151,2.84037757373131,10 m,0.0012103056218708665,TRUE,0.04967572487980032,1
10_b,7511,28203805,bootstrap_mean,2.89471004861514,NA,2.89471004861514,0.138329681483175,0.0477870595534615,2.92420357305461,2.24144941217482,2.95595798352028,10 m,0.01653355928288049,TRUE,0.7145085713454602,3
10_c,7047,24826581,bootstrap_mean,2.80667211175505,NA,2.80667211175505,0.0091248127473781,0.0032511146240279,2.80564523766799,2.78564305602324,2.8320612813696,10 m,0.0010906237250485474,TRUE,0.046418225346359865,3
10_d,7086,25102155,bootstrap_mean,2.79935898522427,NA,2.79935898522427,0.0100531402586438,0.00359122938919477,2.79952134918962,2.77586414105926,2.8306193098028,10 m,0.0012015800850782435,TRUE,0.054755168743539695,1
100_a,7809,30486336,bootstrap_mean,2.86670711222497,NA,2.86670711222497,0.267898109431075,0.0934515103718246,2.7428109338243,2.71713029328375,3.44525843681355,10 m,0.0320199484778617,TRUE,0.7281281435297999,13
100_b,7035,24742095,bootstrap_mean,2.80547975441096,NA,2.80547975441096,0.00927687330467943,0.0033066976477352,2.80517811208926,2.77910073918822,2.82117366211249,10 m,0.0011087984378923357,TRUE,0.042072922924270006,2
100_c,8911,39698505,bootstrap_mean,2.7119673023501,NA,2.7119673023501,0.010159943608257,0.00374633705924579,2.71116244561087,2.6899229381875,2.73712157769369,10 m,0.0012143455269812875,TRUE,0.047198639506190077,0
100_d,7619,29020771,bootstrap_mean,2.87140268822607,NA,2.87140268822607,0.010946261884586,0.00381216536763378,2.87174498464416,2.8497722564922,2.89604773210521,10 m,0.0013083285369723805,TRUE,0.04627547561300993,0
1000_a,7586,28769905,bootstrap_mean,2.75452741927128,NA,2.75452741927128,0.113854329235838,0.0413335254676673,2.73477589252727,2.71635120336618,3.41397554917035,10 m,0.013608195159925085,TRUE,0.69762434580417,2
1000_b,8134,33076911,bootstrap_mean,2.81547794935047,NA,2.81547794935047,0.00998494200454869,0.00354644653027817,2.8159696780854,2.78645058136402,2.83686522256179,10 m,0.0011934288346381304,TRUE,0.05041464119776995,1
1000_c,7126,25386375,bootstrap_mean,2.88646562090943,NA,2.88646562090943,0.00834199886036717,0.0028900392230339,2.88606942084228,2.86534759288329,2.90437546373568,10 m,9.97059569694575e-4,TRUE,0.03902787085239012,1
1000_d,7424,27554176,bootstrap_mean,2.83119656767579,NA,2.83119656767579,0.11621778391248,0.0410489985892739,2.81193302305423,2.79533393659301,3.50468377063018,10 m,0.013890682024563854,TRUE,0.70934983403717,2
1001_a,6928,23995128,bootstrap_mean,2.79682679332404,NA,2.79682679332404,0.0104675821029022,0.00374266369583133,2.79527802576206,2.76639153620766,2.8249934205551,10 m,0.0012511153599945384,TRUE,0.05860188434744007,2
1001_b,7555,28535235,bootstrap_mean,2.87798981203083,NA,2.87798981203083,0.00983045271907761,0.00341573576041981,2.87735602716019,2.86096565033404,2.90857196659839,10 m,0.001174963833255064,TRUE,0.04760631626434986,1
