quad_id,n_pixels,n_pairs,method,spectral_entropy,exact_entropy,boot_mean,boot_sd,boot_cv,boot_median,boot_min,boot_max,scale,boot_se,valid_entropy,boot_range,outlier_reps
420_a,7179,25765431,bootstrap_mean,2.36017383841713,NA,2.36017383841713,0.317725145190167,0.134619382699053,2.1545009173593,2.11780304084141,2.84489580670109,10 m,0.037975418343621156,TRUE,0.72709276585968,0
316_c,7837,30705366,bootstrap_mean,2.55878426375909,NA,2.55878426375909,0.342770833520971,0.133958473317093,2.26024897379512,2.23098031003501,2.94830137281226,10 m,0.04096895066696611,TRUE,0.7173210627772502,0
511_c,7120,25343640,bootstrap_mean,2.64740856880832,NA,2.64740856880832,0.342517642633125,0.129378459626012,2.95740634171764,2.2805832414142,3.00392945981692,10 m,0.04093868856768848,TRUE,0.7233462184027197,0
1414_a,6227,19384651,bootstrap_mean,2.70719015152057,NA,2.70719015152057,0.34490878821178,0.127404714448319,2.39410204965384,2.35011548021243,3.07583400152105,10 m,0.04122448512815767,TRUE,0.7257185213086199,0
1711_d,8185,33493020,bootstrap_mean,2.62793604086551,NA,2.62793604086551,0.333910830396152,0.127062008056398,2.37645487322453,2.34246271154497,3.06839627058723,10 m,0.03990997774560853,TRUE,0.72593355904226,0
1208_b,5509,15171786,bootstrap_mean,2.64089950629277,NA,2.64089950629277,0.333150698589028,0.126150464186612,2.88731287236172,2.19179004952241,2.91279095230154,10 m,0.03981912461733457,TRUE,0.7210009027791302,0
1024_c,6205,19247910,bootstrap_mean,2.63532749390031,NA,2.63532749390031,0.331409597352898,0.125756513420049,2.8793551592971798,2.17980955416801,2.90726976788007,10 m,0.03961102321641756,TRUE,0.7274602137120603,0
1316_d,6691,22381395,bootstrap_mean,2.73472372370243,NA,2.73472372370243,0.341857827257757,0.125006348646777,2.43628618775148,2.40264329746948,3.11777813857425,10 m,0.040859825546336624,TRUE,0.7151348411047698,0
519_b,7268,26408278,bootstrap_mean,2.73954799125751,NA,2.73954799125751,0.341314300230916,0.124587815698109,3.03490286665027,2.35126184406572,3.07542772932455,10 m,0.040794861641093944,TRUE,0.72416588525883,0
1811_d,7738,29934453,bootstrap_mean,2.62343842182911,NA,2.62343842182911,0.321772392762796,0.122652923768057,2.40986163260535,2.37119944586989,3.11277355893268,10 m,0.038459156952407696,TRUE,0.7415741130627898,0
