"scale","bootstrap_subset","diversity_measure","diversity_label","n","mean_boot_sd","mean_boot_cv","pearson_r","r_squared","f_p_value"
"10m","non_edge_all_bootstrap","phy_faith","Faith's PD",1554,0.0668262175265271,0.0235575537722205,0.0988165651517449,0.00976471354838905,9.54614713004835e-05
"10m","boot_cv_le_5pct","phy_faith","Faith's PD",1254,0.0241305140557515,0.00855402957958322,0.119527186702894,0.0142867483611084,2.198829274507e-05
"10m","boot_cv_le_10pct","phy_faith","Faith's PD",1451,0.0485927360120001,0.0172511397446306,0.108842165082551,0.0118466168998573,3.25585668429826e-05
"10m","boot_cv_gt_5pct","phy_faith","Faith's PD",300,0.245294258034369,0.0862722848974441,0.015820905676936,0.000250301056438505,0.784930673950854
"10m","boot_cv_gt_10pct","phy_faith","Faith's PD",103,0.323688175561271,0.112398396044385,0.0166852768733631,0.000278398464340784,0.867148112278839
"10m","low_boot_sd","phy_faith","Faith's PD",528,0.00818907063753795,0.0028524687541071,0.174222039055653,0.0303533188927095,5.70601414689479e-05
"10m","mid_boot_sd","phy_faith","Faith's PD",514,0.0104368079701222,0.00368574968818107,0.0398436545280737,0.00158751680615249,0.367334820772047
"10m","high_boot_sd","phy_faith","Faith's PD",512,0.183905455943282,0.0648591010158925,0.0118779164416591,0.000141084898995035,0.78860762850861
"10m","non_edge_all_bootstrap","phy_rao","Phylogenetic Rao's Q",1554,0.0668262175265271,0.0235575537722205,0.118135422307267,0.0139559780037163,3.01777644134589e-06
"10m","boot_cv_le_5pct","phy_rao","Phylogenetic Rao's Q",1254,0.0241305140557515,0.00855402957958322,0.146986294285767,0.0216049707078621,1.71086140710956e-07
"10m","boot_cv_le_10pct","phy_rao","Phylogenetic Rao's Q",1451,0.0485927360120001,0.0172511397446306,0.12533399165591,0.0157086094644036,1.67612582944631e-06
"10m","boot_cv_gt_5pct","phy_rao","Phylogenetic Rao's Q",300,0.245294258034369,0.0862722848974441,0.00921453970920022,8.49077420524276e-05,0.873718034229205
"10m","boot_cv_gt_10pct","phy_rao","Phylogenetic Rao's Q",103,0.323688175561271,0.112398396044385,0.0765334831152425,0.00585737403775111,0.442262312542496
"10m","low_boot_sd","phy_rao","Phylogenetic Rao's Q",528,0.00818907063753795,0.0028524687541071,0.206688816231601,0.0427202667552206,1.6685730568455e-06
"10m","mid_boot_sd","phy_rao","Phylogenetic Rao's Q",514,0.0104368079701222,0.00368574968818107,0.081772548938312,0.00668674975986862,0.0639538153966185
"10m","high_boot_sd","phy_rao","Phylogenetic Rao's Q",512,0.183905455943282,0.0648591010158925,0.00126645290439134,1.60390295904127e-06,0.977194356465479
"10m","non_edge_all_bootstrap","phy_afaith","Abundance-weighted Faith's PD",1554,0.0668262175265271,0.0235575537722205,0.115647169576349,0.0133742678310208,4.86378081065233e-06
"10m","boot_cv_le_5pct","phy_afaith","Abundance-weighted Faith's PD",1254,0.0241305140557515,0.00855402957958322,0.137454203678521,0.0188936581088963,1.02976725352873e-06
"10m","boot_cv_le_10pct","phy_afaith","Abundance-weighted Faith's PD",1451,0.0485927360120001,0.0172511397446306,0.120524738199082,0.0145262125179573,4.14726335942834e-06
"10m","boot_cv_gt_5pct","phy_afaith","Abundance-weighted Faith's PD",300,0.245294258034369,0.0862722848974441,0.0353982503994151,0.00125303613133969,0.541366711053732
