"scale","sv_measure","sv_label","diversity_measure","diversity_label","analysis_set_all","n_all","edge_n_all","pearson_r_all","r_squared_all","slope_all","intercept_all","f_statistic_all","f_p_value_all","spearman_r_all","spearman_p_value_all","analysis_set_non_edge","n_non_edge","edge_n_non_edge","pearson_r_non_edge","r_squared_non_edge","slope_non_edge","intercept_non_edge","f_statistic_non_edge","f_p_value_non_edge","spearman_r_non_edge","spearman_p_value_non_edge","analysis_set_edge_only","n_edge_only","edge_n_edge_only","pearson_r_edge_only","r_squared_edge_only","slope_edge_only","intercept_edge_only","f_statistic_edge_only","f_p_value_edge_only","spearman_r_edge_only","spearman_p_value_edge_only","delta_r_non_edge_minus_all","delta_r2_non_edge_minus_all","delta_r_edge_only_minus_non_edge","delta_r_edge_only_minus_all"
"10m","spec_sa","SA entropy","phy_faith","Faith's PD","all_quads",1903,316,0.0984630163355496,0.0096949655858947,4.71118184298528e-05,2.82195929357693,18.610558301049,1.68556074363552e-05,0.10993924288962,1.52944524665134e-06,"non_edge",1587,0,0.0875995444186255,0.00767368018235074,4.24779635554608e-05,2.82580300154111,12.2568381449975,0.000476401134187001,0.105513155562563,2.53349619824489e-05,"edge_only",316,316,0.135505161055084,0.0183616486725642,6.19210805721915e-05,2.80764423207565,5.87340304643617,0.0159361749661048,0.128667973767804,0.0221547125548665,-0.0108634719169241,-0.00202128540354396,0.0479056166364581,0.037042144719534
"10m","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q","all_quads",1903,316,0.114930106581778,0.0132089293988989,0.000176967149048412,2.82001219374461,25.4462930760116,4.98181405718525e-07,0.110663370336387,1.30357011051382e-06,"non_edge",1587,0,0.105989646078021,0.0112338050757441,0.000163317080901104,2.82354349410813,18.007878036747,2.32734738026838e-05,0.108476313469592,1.48589468640758e-05,"edge_only",316,316,0.147666929601723,0.0218055220980002,0.000232894396169863,2.8050084046298,6.99956306588149,0.00856338544078894,0.119558092992576,0.033627131129141,-0.00894046050375728,-0.00197512432315476,0.0416772835237022,0.032736823019945
"10m","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD","all_quads",1903,316,0.10617909668071,0.0112740005719316,6.34504654589337e-05,2.82581820996801,21.6762531779679,3.45093269139258e-06,0.0829534479728978,0.00029168193444167,"non_edge",1587,0,0.102273725582468,0.010459914944518,6.0375437998497e-05,2.82853410922995,16.7542128282065,4.46896925882916e-05,0.080207594993004,0.00138442362616153,"edge_only",316,316,0.111411734742436,0.0124125746383189,7.42250838846755e-05,2.81388715918589,3.94653509789752,0.0478369147084928,0.0892316643943845,0.113400915879927,-0.00390537109824211,-0.000814085627413618,0.00913800915996776,0.00523263806172565
"10m","spec_sa","SA entropy","sp_shannon","Shannon diversity","all_quads",1903,316,-0.0274933393631774,0.000755883709338843,-0.00742722290753878,2.85095017551173,1.43802190878767,0.230609156430813,0.0053549939214677,0.815411088777306,"non_edge",1587,0,-0.0507673896721853,0.0025773278541275,-0.0139120802612676,2.85967871576848,4.09562040534274,0.0431619427554727,-0.0187670822656616,0.455000706656527,"edge_only",316,316,0.116283440340938,0.0135218384975245,0.0285468094592224,2.8036506730975,4.30405603886452,0.038835913622244,0.129381586891165,0.0214198925705729,-0.0232740503090078,0.00182144414478866,0.167050830013123,0.143776779704116
"10m","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD","all_quads",1744,304,0.119174997265763,0.0142026799732946,0.000956582242081546,6.40327685231647,25.0975205662041,6.0029464994735e-07,0.151222302688669,2.1921899501865e-10,"non_edge",1440,0,0.0982220687150151,0.00964757478265715,0.000809093708892816,6.5078295140242,14.0083592307217,0.00018916870593969,0.144701888506324,3.48120083088408e-08,"edge_only",304,304,0.212454011189269,0.04513670687041,0.00150794564981255,6.01842123326967,14.2756408932497,0.000190198703673805,0.174597731944878,0.00224929148551098,-0.0209529285507477,-0.00455510519063742,0.114231942474254,0.0932790139235061
"10m","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,0.140069370440033,0.0196194285354673,0.0035859506184836,6.36292636923665,34.8609973550668,4.24748911836947e-09,0.150817761532645,2.45068718448253e-10,"non_edge",1440,0,0.121493803793462,0.0147607443602043,0.00314475431272626,6.45813601769888,21.5439552052665,3.77321199060584e-06,0.142236424641148,5.94704878311151e-08,"edge_only",304,304,0.232048275058317,0.0538464019575401,0.00568544891005325,5.95319269647005,17.1870755708392,4.40522338228973e-05,0.187007486398964,0.00105250157621827,-0.0185755666465709,-0.00485868417526293,0.110554471264854,0.0919789046182833
"10m","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD","all_quads",1744,304,0.122298147232418,0.0149568368164822,0.00121749786192934,6.49904492597628,26.4504244160293,3.00872765899466e-07,0.141681513445298,2.80619269684847e-09,"non_edge",1440,0,0.106069053295596,0.011250644067024,0.00105301792677073,6.58554545225595,16.3625150006947,5.508719925567e-05,0.128883786130511,9.24672471748464e-07,"edge_only",304,304,0.21499391066012,0.0462223816209318,0.00222216624046256,6.06372100404496,14.6356540356281,0.000158493382629576,0.205436574718732,0.000311328849182074,-0.016229093936822,-0.00370619274945821,0.108924857364524,0.0926957634277021
"10m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","all_quads",1744,304,-0.0318964474482305,0.00101738335981773,-0.147457978707211,6.99121376421016,1.77408673912975,0.183051356191664,0.00131225684884877,0.956327925628965,"non_edge",1440,0,-0.049228105391578,0.00242340636044431,-0.233774424299518,7.12664494149054,3.49332409013806,0.0618198885935638,-0.0263425459018747,0.317826376057773,"edge_only",304,304,0.0682747138153485,0.00466143654656774,0.264449287236939,6.35357807060227,1.41434672457491,0.235270355175617,0.135933647106876,0.0177238503399975,-0.0173316579433475,0.00140602300062658,0.117502819206927,0.100171161263579
"10m","spec_spca_med","Std PCA median distance","phy_faith","Faith's PD","all_quads",1744,304,0.159507459388687,0.0254426296006336,0.00106647386652527,5.52971232875639,45.4781443458184,2.09296704063647e-11,0.18102274663548,2.58986088567463e-14,"non_edge",1440,0,0.141243855964727,0.0199498268477845,0.000980770372262846,5.6029585617502,29.2718187221405,7.35908333434928e-08,0.173902306445467,3.05108955400853e-11,"edge_only",304,304,0.24234315793375,0.0587302061973027,0.00128538597320405,5.28722108071593,18.8431865001537,1.93867658134683e-05,0.210016790472718,0.000226116499641237,-0.0182636034239601,-0.00549280275284911,0.101099301969024,0.0828356985450636
"10m","spec_spca_med","Std PCA median distance","phy_rao","Phylogenetic Rao's Q","all_quads",1744,304,0.18280196113636,0.0334165569952994,0.00389828902189699,5.49803397695719,60.224125197982,1.43192902446609e-14,0.179429692391525,4.38019017755968e-14,"non_edge",1440,0,0.167226099397236,0.0279645683196142,0.00364875477991992,5.56510906610328,41.3699418076642,1.71077079344856e-10,0.172723189208249,4.15778435823927e-11,"edge_only",304,304,0.258676039893438,0.0669132936149516,0.00473614140453662,5.24449441699617,21.6569527070043,4.88652138582335e-06,0.209224070436325,0.000239102398714961,-0.0155758617391244,-0.00545198867568517,0.0914499404962021,0.0758740787570777
