"scale","analysis_set","sv_measure","sv_label","diversity_measure","diversity_label","n","edge_n","pearson_r","r_squared","slope","intercept","f_statistic","f_p_value","spearman_r","spearman_p_value"
"10m","all_quads","spec_sa","SA entropy","phy_faith","Faith's PD",1903,316,0.0984630163355496,0.0096949655858947,4.71118184298528e-05,2.82195929357693,18.610558301049,1.68556074363552e-05,0.10993924288962,1.52944524665134e-06
"10m","non_edge","spec_sa","SA entropy","phy_faith","Faith's PD",1587,0,0.0875995444186255,0.00767368018235074,4.24779635554608e-05,2.82580300154111,12.2568381449975,0.000476401134187001,0.105513155562563,2.53349619824489e-05
"10m","edge_only","spec_sa","SA entropy","phy_faith","Faith's PD",316,316,0.135505161055084,0.0183616486725642,6.19210805721915e-05,2.80764423207565,5.87340304643617,0.0159361749661048,0.128667973767804,0.0221547125548665
"10m","all_quads","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",1903,316,0.114930106581778,0.0132089293988989,0.000176967149048412,2.82001219374461,25.4462930760116,4.98181405718525e-07,0.110663370336387,1.30357011051382e-06
"10m","non_edge","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",1587,0,0.105989646078021,0.0112338050757441,0.000163317080901104,2.82354349410813,18.007878036747,2.32734738026838e-05,0.108476313469592,1.48589468640758e-05
"10m","edge_only","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",316,316,0.147666929601723,0.0218055220980002,0.000232894396169863,2.8050084046298,6.99956306588149,0.00856338544078894,0.119558092992576,0.033627131129141
"10m","all_quads","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",1903,316,0.10617909668071,0.0112740005719316,6.34504654589337e-05,2.82581820996801,21.6762531779679,3.45093269139258e-06,0.0829534479728978,0.00029168193444167
"10m","non_edge","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",1587,0,0.102273725582468,0.010459914944518,6.0375437998497e-05,2.82853410922995,16.7542128282065,4.46896925882916e-05,0.080207594993004,0.00138442362616153
"10m","edge_only","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",316,316,0.111411734742436,0.0124125746383189,7.42250838846755e-05,2.81388715918589,3.94653509789752,0.0478369147084928,0.0892316643943845,0.113400915879927
"10m","all_quads","spec_sa","SA entropy","sp_shannon","Shannon diversity",1903,316,-0.0274933393631774,0.000755883709338843,-0.00742722290753878,2.85095017551173,1.43802190878767,0.230609156430813,0.0053549939214677,0.815411088777306
"10m","non_edge","spec_sa","SA entropy","sp_shannon","Shannon diversity",1587,0,-0.0507673896721853,0.0025773278541275,-0.0139120802612676,2.85967871576848,4.09562040534274,0.0431619427554727,-0.0187670822656616,0.455000706656527
"10m","edge_only","spec_sa","SA entropy","sp_shannon","Shannon diversity",316,316,0.116283440340938,0.0135218384975245,0.0285468094592224,2.8036506730975,4.30405603886452,0.038835913622244,0.129381586891165,0.0214198925705729
"10m","all_quads","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",1744,304,0.119174997265763,0.0142026799732946,0.000956582242081546,6.40327685231647,25.0975205662041,6.0029464994735e-07,0.151222302688669,2.1921899501865e-10
"10m","non_edge","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",1440,0,0.0982220687150151,0.00964757478265715,0.000809093708892816,6.5078295140242,14.0083592307217,0.00018916870593969,0.144701888506324,3.48120083088408e-08
"10m","edge_only","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",304,304,0.212454011189269,0.04513670687041,0.00150794564981255,6.01842123326967,14.2756408932497,0.000190198703673805,0.174597731944878,0.00224929148551098
"10m","all_quads","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",1744,304,0.140069370440033,0.0196194285354673,0.0035859506184836,6.36292636923665,34.8609973550668,4.24748911836947e-09,0.150817761532645,2.45068718448253e-10
"10m","non_edge","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",1440,0,0.121493803793462,0.0147607443602043,0.00314475431272626,6.45813601769888,21.5439552052665,3.77321199060584e-06,0.142236424641148,5.94704878311151e-08
"10m","edge_only","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",304,304,0.232048275058317,0.0538464019575401,0.00568544891005325,5.95319269647005,17.1870755708392,4.40522338228973e-05,0.187007486398964,0.00105250157621827
"10m","all_quads","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",1744,304,0.122298147232418,0.0149568368164822,0.00121749786192934,6.49904492597628,26.4504244160293,3.00872765899466e-07,0.141681513445298,2.80619269684847e-09
"10m","non_edge","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",1440,0,0.106069053295596,0.011250644067024,0.00105301792677073,6.58554545225595,16.3625150006947,5.508719925567e-05,0.128883786130511,9.24672471748464e-07
"10m","edge_only","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",304,304,0.21499391066012,0.0462223816209318,0.00222216624046256,6.06372100404496,14.6356540356281,0.000158493382629576,0.205436574718732,0.000311328849182074
"10m","all_quads","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",1744,304,-0.0318964474482305,0.00101738335981773,-0.147457978707211,6.99121376421016,1.77408673912975,0.183051356191664,0.00131225684884877,0.956327925628965
