"scale","edge_group","sv_measure","sv_label","diversity_measure","diversity_label","n","simple_r","simple_r2","env_only_r2","adjusted_r2","diversity_incremental_r2_after_env","diversity_slope_adjusted","diversity_p_adjusted","env_elev_p","env_tri5_p","env_tri11_p","env_tri21_p"
"10m","all_quads","spec_sa","SA entropy","phy_faith","Faith's PD",1903,0.0984630163355496,0.00969496558589483,0.0346169830357573,0.0402925616053534,0.0056755785695961,3.63823996579499e-05,0.000825675515312759,6.50648693880807e-11,0.165912141572851,0.197898377022143,0.305472939455431
"10m","all_quads","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",1903,0.114930106581778,0.0132089293988989,0.0346169830357573,0.0442975308792668,0.00968054784350948,0.000152261034737455,1.23171544431066e-05,2.37950114630776e-11,0.151185267929049,0.194796894049341,0.346106717825042
"10m","all_quads","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",1903,0.10617909668071,0.0112740005719317,0.0346169830357573,0.0430921207602367,0.00847513772447937,5.54423455134058e-05,4.32541160369945e-05,6.08688965990596e-12,0.177931813927332,0.227362235596014,0.413912499303619
"10m","all_quads","spec_sa","SA entropy","sp_shannon","Shannon diversity",1903,-0.0274933393631774,0.000755883709338848,0.0346169830357573,0.0349288598769018,0.000311876841144455,-0.00482551928390879,0.433741992623137,2.56156297381395e-12,0.165499903775914,0.215664275678607,0.375535921093189
"10m","all_quads","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",1744,0.119174997265763,0.0142026799732946,0.0491613919221725,0.0570833906251703,0.00792199870299783,0.000723469410841136,0.000137449341137377,1.06783858633997e-11,0.00269698466440231,0.0143190980607623,0.329399320185425
"10m","all_quads","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",1744,0.140069370440033,0.0196194285354673,0.0491613919221725,0.062086678300047,0.0129252863778744,0.00293523626354279,1.07952298324699e-06,3.31472401152922e-12,0.00310213991537133,0.0142750751726386,0.284765052075177
"10m","all_quads","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",1744,0.122298147232418,0.0149568368164822,0.0491613919221725,0.0585436070273814,0.00938221510520887,0.000974709101859858,3.31236212580788e-05,7.58833822848437e-13,0.00256824487962614,0.0120974426393522,0.247828273959263
"10m","all_quads","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",1744,-0.0318964474482305,0.00101738335981773,0.0491613919221725,0.0495087329596004,0.000347341037427888,-0.0867902158879548,0.425591274896332,1.64712927177738e-13,0.00327461775990636,0.0167462632458253,0.34223847283839
"10m","non_edge","spec_sa","SA entropy","phy_faith","Faith's PD",1587,0.0875995444186255,0.00767368018235079,0.0324047775936516,0.0374032807763195,0.00499850318266788,3.44949919921822e-05,0.00422178481582641,1.62812424652784e-09,0.265778487406329,0.323502063384012,0.462626865522159
"10m","non_edge","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",1587,0.105989646078021,0.0112338050757441,0.0324047775936516,0.0412557713873971,0.00885099379374542,0.000145527286582329,0.000138383660294387,8.95003466596461e-10,0.240945821861058,0.31652418411883,0.51223568798267
