"scale","edge_group","env_measure","env_label","variable","variable_label","n","pearson_r","r_squared","p_value"
"10m","all_quads","env_elev","Elevation","phy_faith","Faith's PD",2000,-0.119054284001923,0.0141739225392104,9.29761098278903e-08
"10m","all_quads","env_elev","Elevation","phy_rao","Phylogenetic Rao's Q",2000,-0.0803896644203102,0.00646249814561009,0.000319796005206696
"10m","all_quads","env_elev","Elevation","phy_afaith","Abundance-weighted Faith's PD",2000,-0.0573852298858947,0.00329306460905699,0.0102625102632559
"10m","all_quads","env_elev","Elevation","sp_shannon","Shannon diversity",2000,0.0635737373865501,0.00404162008529403,0.00445225560384585
"10m","all_quads","env_elev","Elevation","spec_sa","SA entropy",1903,-0.183175275987192,0.0335531817329841,8.03220681916023e-16
"10m","all_quads","env_elev","Elevation","spec_spca_mean","Std PCA mean distance",1744,-0.201700074136759,0.040682919906774,1.81977552332011e-17
"10m","all_quads","env_tri5","TRI 5x5","phy_faith","Faith's PD",2000,-0.0245126928883203,0.000600872112637108,0.273201223659929
"10m","all_quads","env_tri5","TRI 5x5","phy_rao","Phylogenetic Rao's Q",2000,-0.0399678432667087,0.00159742849539219,0.0739354114638028
"10m","all_quads","env_tri5","TRI 5x5","phy_afaith","Abundance-weighted Faith's PD",2000,-0.0973288047424114,0.00947289623258644,1.29877977074457e-05
"10m","all_quads","env_tri5","TRI 5x5","sp_shannon","Shannon diversity",2000,0.0960653582565813,0.00922855305696532,1.68163779362186e-05
"10m","all_quads","env_tri5","TRI 5x5","spec_sa","SA entropy",1903,-0.0523254210133372,0.00273794968422299,0.0224494527591323
"10m","all_quads","env_tri5","TRI 5x5","spec_spca_mean","Std PCA mean distance",1744,-0.0709805243944552,0.00503823484331185,0.00301847892040191
"10m","all_quads","env_tri11","TRI 11x11","phy_faith","Faith's PD",2000,-0.0204269988024987,0.000417262280077285,0.361217664053392
"10m","all_quads","env_tri11","TRI 11x11","phy_rao","Phylogenetic Rao's Q",2000,-0.0444324929341666,0.00197424642834476,0.0469422993998774
"10m","all_quads","env_tri11","TRI 11x11","phy_afaith","Abundance-weighted Faith's PD",2000,-0.102511647820615,0.0105086379388978,4.35454782441924e-06
"10m","all_quads","env_tri11","TRI 11x11","sp_shannon","Shannon diversity",2000,0.113993822239169,0.0129945915086954,3.19710822107557e-07
"10m","all_quads","env_tri11","TRI 11x11","spec_sa","SA entropy",1903,-0.0523479574875166,0.00274030865311485,0.0223914837501773
"10m","all_quads","env_tri11","TRI 11x11","spec_spca_mean","Std PCA mean distance",1744,-0.0891626466008084,0.00794997754886066,0.000192776331024879
"10m","all_quads","env_tri21","TRI 21x21","phy_faith","Faith's PD",2000,-0.0136626736256641,0.000186668650601419,0.541424793564291
"10m","all_quads","env_tri21","TRI 21x21","phy_rao","Phylogenetic Rao's Q",2000,-0.0475521893904562,0.00226121071582581,0.0334639785135595
"10m","all_quads","env_tri21","TRI 21x21","phy_afaith","Abundance-weighted Faith's PD",2000,-0.106315436891176,0.0113029721213617,1.88751945975124e-06
"10m","all_quads","env_tri21","TRI 21x21","sp_shannon","Shannon diversity",2000,0.144637754653743,0.0209200800712762,8.10968514206726e-11
"10m","all_quads","env_tri21","TRI 21x21","spec_sa","SA entropy",1903,-0.0644504231068199,0.00415385703864811,0.00491392308421679
"10m","all_quads","env_tri21","TRI 21x21","spec_spca_mean","Std PCA mean distance",1744,-0.112039458848839,0.0125528403391408,2.7277187367534e-06
"10m","non_edge","env_elev","Elevation","phy_faith","Faith's PD",1656,-0.0819241164288779,0.00671156085265234,0.000847149928029955
"10m","non_edge","env_elev","Elevation","phy_rao","Phylogenetic Rao's Q",1656,-0.054025309578134,0.00291873407501322,0.0279170249114589
"10m","non_edge","env_elev","Elevation","phy_afaith","Abundance-weighted Faith's PD",1656,-0.0441229775301946,0.00194683714613006,0.0726444638089374
"10m","non_edge","env_elev","Elevation","sp_shannon","Shannon diversity",1656,0.0982005936728409,0.00964335659769841,6.25883608984657e-05
"10m","non_edge","env_elev","Elevation","spec_sa","SA entropy",1587,-0.177302598779993,0.0314362115341393,1.12643279560698e-12
"10m","non_edge","env_elev","Elevation","spec_spca_mean","Std PCA mean distance",1440,-0.209187018536102,0.0437592087240234,1.05671235237859e-15
"10m","non_edge","env_tri5","TRI 5x5","phy_faith","Faith's PD",1656,-0.0422001065048744,0.00178084898902275,0.0860233376339325
"10m","non_edge","env_tri5","TRI 5x5","phy_rao","Phylogenetic Rao's Q",1656,-0.049551814483416,0.00245538231859887,0.0437815230738091
"10m","non_edge","env_tri5","TRI 5x5","phy_afaith","Abundance-weighted Faith's PD",1656,-0.118726506606153,0.0140959833709009,1.26642894138351e-06
"10m","non_edge","env_tri5","TRI 5x5","sp_shannon","Shannon diversity",1656,0.107474639105814,0.011550798050925,1.17072996467562e-05
"10m","non_edge","env_tri5","TRI 5x5","spec_sa","SA entropy",1587,-0.0469157509869079,0.00220108769066555,0.0616858707663009
"10m","non_edge","env_tri5","TRI 5x5","spec_spca_mean","Std PCA mean distance",1440,-0.0656323353849035,0.00430760344807645,0.0127349922532514
"10m","non_edge","env_tri11","TRI 11x11","phy_faith","Faith's PD",1656,-0.0361440761110614,0.0013063942379222,0.141503246840612
