"scale","sv_measure","sv_label","diversity_measure","diversity_label","n_edge","n_non_edge_available","edge_r","resample_reps","resampled_non_edge_mean_r","resampled_non_edge_sd_r","resampled_non_edge_q025_r","resampled_non_edge_median_r","resampled_non_edge_q975_r","edge_r_percentile_in_resampled_non_edge","abs_edge_r_tail_probability","same_direction_tail_probability"
"10m","spec_sa","SA entropy","phy_faith","Faith's PD",316,1587,0.135505161055084,2000,0.0885101702697703,0.0483848985350434,-0.00537872296265943,0.0874700561996482,0.185594057140444,0.834,0.166,0.166
"10m","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q",316,1587,0.147666929601723,2000,0.105896053783824,0.0486855142473132,0.0134830190149333,0.104062428128122,0.204272512656905,0.7965,0.2035,0.2035
"10m","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD",316,1587,0.111411734742436,2000,0.102011616159279,0.0541724918492607,-0.00658202138234339,0.100597294182436,0.212419939993093,0.581,0.419,0.419
"10m","spec_sa","SA entropy","sp_shannon","Shannon diversity",316,1587,0.116283440340938,2000,-0.0509457474218673,0.0480998755234906,-0.143808417951302,-0.0525747100611029,0.0427607194328619,0.9995,0.081,5e-04
"10m","spec_spca_mean","Std PCA mean distance","phy_faith","Faith's PD",304,1440,0.212454011189269,2000,0.106203791409658,0.0619567186869778,-0.00883843729644028,0.104151425945156,0.236320049565617,0.9515,0.0485,0.0485
"10m","spec_spca_mean","Std PCA mean distance","phy_rao","Phylogenetic Rao's Q",304,1440,0.232048275058317,2000,0.127151907122761,0.0614382029284074,0.0146404242188548,0.126013836878354,0.253163165730703,0.954,0.046,0.046
"10m","spec_spca_mean","Std PCA mean distance","phy_afaith","Abundance-weighted Faith's PD",304,1440,0.21499391066012,2000,0.112744448930065,0.0645490303741388,-0.00489882363075374,0.110179532788903,0.24719435439037,0.936,0.064,0.064
"10m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity",304,1440,0.0682747138153485,2000,-0.048019682517776,0.0508033340094534,-0.146623960774077,-0.0465438841388135,0.0478614209416668,0.9875,0.353,0.0125
"10m","spec_spca_med","Std PCA median distance","phy_faith","Faith's PD",304,1440,0.24234315793375,2000,0.14924018820155,0.0673021292499625,0.0301886033594934,0.145961959705632,0.290179731221536,0.9045,0.0955,0.0955
"10m","spec_spca_med","Std PCA median distance","phy_rao","Phylogenetic Rao's Q",304,1440,0.258676039893438,2000,0.176785245775558,0.0651639703675095,0.0564810483550827,0.177169300485397,0.304163734289731,0.888,0.112,0.112
"10m","spec_spca_med","Std PCA median distance","phy_afaith","Abundance-weighted Faith's PD",304,1440,0.229588655670975,2000,0.156280313870167,0.0726829518923291,0.0247893284418137,0.15628029245203,0.299785841560282,0.8355,0.1645,0.1645
