"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","spectral_group","biodiversity_group"
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.0216571076011506,-0.00358404145363175,0.000469030309647819,0.816026449615902,0.366469617987335,0.0147918911475803,527.786485468402,4.1532289111924e-23,0.0559876716382884,"raw_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.0481748699927916,-0.00178992906540143,0.00232081809882237,4.04529105855581,0.044448783169685,0.104966952347124,520.55184084803,6.76392590806743e-23,0.0670433577568723,"raw_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.0573613355193954,0.0363631889286604,0.00329032281256866,5.74076032571809,0.0166807281297006,0.0485616481190177,520.897127857845,3.25896150487004e-23,0.000954176979805896,"raw_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_alpha","Raw PCA alpha hull","identity","identity",1741,-0.065746611298696,-0.0711348040586918,0.00432261689726178,7.54966509424328,0.00606408672191896,-6.81418826326755,562.958842629235,4.1404349225037e-23,0.022914520727429,"raw_pca","species"
"10m","sp_shannon","Shannon diversity","spec_alpha","Raw PCA alpha hull","identity","identity",1741,-0.0447627850412115,-0.0539126699080307,0.00200370692464571,3.49144216880953,0.0618548442804156,-17.6074075107608,552.383158327855,3.48167178792403e-23,0.0181692770205743,"raw_pca","species"
"10m","sp_simpson","Simpson diversity","spec_alpha","Raw PCA alpha hull","identity","identity",1741,-0.0372343031977777,-0.0460935184832903,0.00138639333462404,2.41428515776181,0.120414803944353,-30.4394646596451,551.492186095742,3.34949619569981e-23,0.0152738833340508,"raw_pca","species"
"10m","sp_even","Species evenness","spec_alpha","Raw PCA alpha hull","identity","identity",1741,-0.0108959975048952,-0.0040804082821585,0.000118722761626683,0.206483396747894,0.64959446728955,-7.76539268526477,540.165906210112,3.33400635165088e-23,0.00861367139897213,"raw_pca","species"
"10m","phy_faith","Faith's PD","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.0100877822167479,0.00363295509266002,0.000101763350052535,0.177289797395228,0.673764708640176,0.00398901495682345,157.700474776206,6.58320481116989e-54,0.0208981645551476,"raw_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.0272486443352239,0.00183740617666626,0.000742488618107531,1.2943762323634,0.255399485614891,0.0343667791060809,154.938774447796,6.74774608001175e-54,0.0326433962710935,"raw_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.0191835709997855,0.0225433513274923,0.00036800939630381,0.641308375869486,0.4233466176469,0.00940828763625112,156.879844348228,6.26697945385269e-54,-0.00513925878203476,"raw_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.0818538587998546,-0.0651580962168156,0.00670005420042659,11.7502215383169,0.000622516767596648,-4.91482051420856,180.009258120667,1.07444972267897e-53,0.0864365217247846,"raw_pca","species"
