"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","metric_group"
"10m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","identity","identity",2000,0.804352390118049,0.796413865008507,0.646982767488618,3661.78036195608,0,0.249960817667035,18.0133783716431,4.09457704941009e-21,0.333205561614228,"biodiversity"
"10m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD","identity","identity",2000,0.75817714239992,0.685398817965499,0.574832579257708,2701.3252599452,0,0.603848988456065,0.168138410466029,4.39795472981152e-29,0.373389247738439,"biodiversity"
"10m","phy_faith","Faith's PD","sp_rich","Species richness","identity","identity",2000,0.709815152448792,0.754901827413617,0.503837550645903,2028.9069184921,2.13058113780247e-306,0.00484655556134443,1.9275897849588,1.91701817688264e-07,0.274272702709438,"biodiversity"
"10m","phy_faith","Faith's PD","sp_shannon","Shannon diversity","identity","identity",2000,0.60671925128255,0.634892822387119,0.368108249876858,1163.93398570346,2.04301183361096e-201,0.00109650098889192,0.500605920356605,7.39671526579174e-14,0.0198894994887079,"biodiversity"
"10m","phy_faith","Faith's PD","sp_simpson","Simpson diversity","identity","identity",2000,0.546768429190398,0.573793458921814,0.298955715159335,852.033932526973,2.58812059791685e-156,0.000479749075379556,0.330573735541671,3.74041111566839e-30,-0.172774272129845,"biodiversity"
"10m","phy_faith","Faith's PD","sp_even","Species evenness","identity","identity",2000,0.302735319781925,0.124113289077201,0.0916486738434646,201.58945670729,1.15877580177031e-43,0.000306481858547732,0.573503589435008,3.00563692035244e-29,-0.411033642351727,"biodiversity"
"10m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","identity","identity",2000,0.749811308808997,0.678700587977203,0.562216998817861,2565.90493601814,0,1.92169323924831,21.8781012514568,5.03354852289426e-30,0.221905511263491,"biodiversity"
"10m","phy_rao","Phylogenetic Rao's Q","sp_rich","Species richness","identity","identity",2000,0.501402237331727,0.564417172297548,0.251404203601262,670.997087095277,8.39255522634817e-128,0.0110166262902071,2.68363837224394,6.51942334956447e-09,0.167352543110421,"biodiversity"
"10m","phy_rao","Phylogenetic Rao's Q","sp_shannon","Shannon diversity","identity","identity",2000,0.66139908728985,0.731250559150151,0.437448752667846,1553.67641966012,6.96266449669042e-252,0.00384644266792464,0.492907817478108,2.05338477732038e-09,0.154572758488463,"biodiversity"
"10m","phy_rao","Phylogenetic Rao's Q","sp_simpson","Simpson diversity","identity","identity",2000,0.681283501040295,0.742301445219006,0.464147208789721,1730.63598505722,5.42577190208539e-273,0.00192359220190311,0.295433693458756,2.82110242727776e-28,-0.00834099599780028,"biodiversity"
"10m","phy_rao","Phylogenetic Rao's Q","sp_even","Species evenness","identity","identity",2000,0.574816104739801,0.521182892306496,0.330413554268237,985.931369483548,2.96802268097967e-176,0.00187260003601565,0.466071818511319,9.36218085399087e-25,-0.1763565550031,"biodiversity"
"10m","phy_afaith","Abundance-weighted Faith's PD","sp_rich","Species richness","identity","identity",2000,0.452469992294788,0.526642863873517,0.204729093927246,514.351432377454,1.6208331204334e-101,0.00387900246943953,3.06906044938195,0.00100741917717417,0.195390241778418,"biodiversity"
"10m","phy_afaith","Abundance-weighted Faith's PD","sp_shannon","Shannon diversity","identity","identity",2000,0.426245068762316,0.495112737232798,0.181684858644191,443.602139598266,4.25228596760638e-89,0.000967214868254927,0.734160433232384,2.44410660213982e-18,0.058998905743245,"biodiversity"
"10m","phy_afaith","Abundance-weighted Faith's PD","sp_simpson","Simpson diversity","identity","identity",2000,0.397654532019775,0.470108614711218,0.158129126835866,375.285575839686,9.35776709445896e-77,0.000438085618817219,0.428653441499646,1.71622584733934e-34,-0.0953378261847046,"biodiversity"
"10m","phy_afaith","Abundance-weighted Faith's PD","sp_even","Species evenness","identity","identity",2000,0.260756249187083,0.196336908356362,0.0679938214901164,145.762612383596,1.91336880657219e-32,0.00033145055413333,0.621945330717211,3.49286838942007e-34,-0.272411407493627,"biodiversity"
"10m","sp_rich","Species richness","sp_shannon","Shannon diversity","identity","identity",2000,0.823942944525134,0.816865289920173,0.678881975832748,4224.01137784579,0,0.218087343096504,0.0982511169160919,2.93808813840634e-22,-0.0545872386008483,"biodiversity"
"10m","sp_rich","Species richness","sp_simpson","Simpson diversity","identity","identity",2000,0.718968334135465,0.733012629550681,0.516915465489526,2137.92209492825,5.41735075614593e-318,0.0923916130257136,0.167060521532715,5.36172047950055e-28,-0.315247334109622,"biodiversity"
"10m","sp_rich","Species richness","sp_even","Species evenness","identity","identity",2000,0.346709041701013,0.126507788830485,0.120207159597235,272.989155907799,1.39987998601498e-57,0.0514066043713885,0.500562873711244,2.00901460090524e-24,-0.526204816628106,"biodiversity"
"10m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity","identity","identity",2000,0.968876790522518,0.981064057261296,0.938722235213215,30607.6279459933,0,0.470389930597734,0.0786594389868622,2.10778531126753e-16,-0.291416327433165,"biodiversity"
"10m","sp_shannon","Shannon diversity","sp_even","Species evenness","identity","identity",2000,0.762750382628541,0.600185399339262,0.581788146199986,2779.48294756712,0,0.427270453789305,0.285715336716844,7.41025686205295e-22,-0.404034124930876,"biodiversity"
"10m","sp_simpson","Simpson diversity","sp_even","Species evenness","identity","identity",2000,0.860451658542588,0.686056566824376,0.74037705668869,5697.77593766137,0,0.992790104716985,0.167867337124871,2.36482604733647e-29,-0.253228918494056,"biodiversity"
