"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","target_group","driver_metric","target_metric"
"10m","env_elev","Mean elevation","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.0176907541140532,-0.0129307746814797,0.000312962781123891,0.544412657273747,0.460709259558754,0.15489707531685,499.44410880521,2.469225833866e-23,-0.142688862948971,"spectral","env_elev","spec_alpha"
"10m","env_tri5","TRI 5x5","spec_alpha","Raw PCA alpha hull","identity","identity",1741,-0.0347203040810445,0.007756865751913,0.00120549951548019,2.09889387296696,0.147586026833741,-6.27178752551079,546.92510105091,5.88145853493483e-23,0.0329152585692465,"spectral","env_tri5","spec_alpha"
"10m","env_tri11","TRI 11x11","spec_alpha","Raw PCA alpha hull","identity","identity",1741,-0.0521398780637654,-0.00963079816478651,0.00271856688450432,4.74047511080607,0.0295949953574423,-2.11773226546109,553.812842564569,8.21157978361279e-23,0.0386944736328375,"spectral","env_tri11","spec_alpha"
"10m","env_tri21","TRI 21x21","spec_alpha","Raw PCA alpha hull","identity","identity",1741,-0.0682057406761762,-0.0333140098789067,0.00465202306118579,8.12767825005524,0.00441089098360824,-0.882815373524199,562.640338856846,1.02346354735684e-22,0.0415869957173001,"spectral","env_tri21","spec_alpha"
"10m","brightness_n_pixels","brightness_n_pixels","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.455887666183012,0.44818427589368,0.207833564177794,456.245748066888,4.39356059293461e-90,0.0547458417818772,137.548092436515,8.97745603170785e-28,0.0366701669263352,"spectral","brightness_n_pixels","spec_alpha"
"10m","mean_pixel_brightness","563 nm brightness","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.730049754555852,0.719011272965097,0.53297264412706,1984.55061889161,8.15275130606489e-290,15632.5236695864,-344.622552226273,6.80391178583411e-23,0.282485682787902,"spectral","mean_pixel_brightness","spec_alpha"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.673657561604153,0.630094868512014,0.453814510306453,1444.90003545447,1.17559169131088e-230,33850.971402174,-123.343612204966,4.28933482989013e-14,0.256024248674031,"spectral","mean_blue_pixel_brightness","spec_alpha"
"10m","mean_green_pixel_brightness","Green brightness","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.758018359358939,0.745618173437149,0.574591833125218,2348.83877558202,0,20429.3130765,-391.460010538615,2.75149699076163e-22,0.295090937393032,"spectral","mean_green_pixel_brightness","spec_alpha"
"10m","mean_red_pixel_brightness","Red brightness","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.572623899674602,0.539655712482097,0.327898130478549,848.405390254604,3.00726010030893e-152,7627.116362608,-288.159065895942,2.55030223116342e-27,0.159072388087097,"spectral","mean_red_pixel_brightness","spec_alpha"
"10m","mean_nir_pixel_brightness","NIR brightness","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.291763462337864,0.261420576566006,0.0851259179553783,161.808028262826,1.65092632408826e-35,888.092576387506,118.972109103793,2.56415375063498e-29,-0.1370074572131,"spectral","mean_nir_pixel_brightness","spec_alpha"
"10m","env_elev","Mean elevation","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.0334344082020566,-0.0344794146147505,0.00111785965182175,1.94949077054749,0.1628196260879,-0.169684001299275,198.001583092445,8.96406878852788e-54,0.105492500306019,"spectral","env_elev","spec_rao_q"
"10m","env_tri5","TRI 5x5","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.0294729439546817,-0.000652439452839655,0.000868654425355809,1.51451159617008,0.218618088766053,-3.08672129975313,165.610679202496,6.84133372608551e-54,0.0312451088215258,"spectral","env_tri5","spec_rao_q"
"10m","env_tri11","TRI 11x11","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.0410685197049363,-0.0201681232510208,0.00168662331075474,2.94306164370802,0.08642493507597,-0.967109238213099,168.316804020945,6.84183567470377e-54,0.0363150811852752,"spectral","env_tri11","spec_rao_q"
"10m","env_tri21","TRI 21x21","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,-0.0534502671751189,-0.0475162137092686,0.00285693106109159,4.99103294547039,0.0256054497277929,-0.401066982123481,172.28104947968,6.70149014704611e-54,0.0412963708527455,"spectral","env_tri21","spec_rao_q"
"10m","brightness_n_pixels","brightness_n_pixels","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.118446291386572,0.214080582105109,0.0140295239432328,24.7871830877262,7.0353106611513e-07,0.00824227923904548,99.7713290597987,9.73845620259922e-55,-0.0454336014952164,"spectral","brightness_n_pixels","spec_rao_q"
"10m","mean_pixel_brightness","563 nm brightness","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.524219546203506,0.705919159330808,0.274806132621809,660.11628691496,1.03926603555121e-123,6508.42543270012,-206.462762727184,5.9953802857053e-57,0.294762891770877,"spectral","mean_pixel_brightness","spec_rao_q"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.467099064895977,0.532900893098356,0.218181536426697,486.138731897153,3.2085990129743e-95,13604.300025496,-104.849516631817,4.88832964008324e-54,0.306550522102608,"spectral","mean_blue_pixel_brightness","spec_rao_q"
"10m","mean_green_pixel_brightness","Green brightness","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.533097355915761,0.71137436141574,0.284192790884376,691.616171807254,1.20586134637078e-128,8330.61260171658,-218.037034129379,6.80790175201291e-57,0.312507621173546,"spectral","mean_green_pixel_brightness","spec_rao_q"
"10m","mean_red_pixel_brightness","Red brightness","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.36707848240708,0.506866540544329,0.134746612246285,271.283073669792,9.2647074905567e-57,2832.92788096193,-145.993284908191,4.08814501661627e-56,0.161244859117537,"spectral","mean_red_pixel_brightness","spec_rao_q"
"10m","mean_nir_pixel_brightness","NIR brightness","spec_rao_q","Raw PCA Rao's Q","identity","identity",1744,0.0954644609464323,0.217105178799521,0.00911346330379292,16.0216659398154,6.52489714594896e-05,168.337547630746,80.7710839070324,5.8471864694897e-55,-0.146395600898047,"spectral","mean_nir_pixel_brightness","spec_rao_q"
"10m","env_elev","Mean elevation","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,-0.0131346247985993,-0.0614144259877953,0.000172518368599981,0.300578853474604,0.583590007620905,-0.00115513617432681,7.86869637954364,9.07071221577758e-33,0.134362498753389,"spectral","env_elev","spec_pca_mean"
"10m","env_tri5","TRI 5x5","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,-0.0437193726095648,-0.0167824225886184,0.00191138354137396,3.33600651702399,0.0679499912470606,-0.0793443631178252,7.76310440921105,9.53040186014556e-33,0.0206344014082696,"spectral","env_tri5","spec_pca_mean"
"10m","env_tri11","TRI 11x11","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,-0.0608541135303445,-0.0366423902356281,0.00370322313356406,6.47499304269397,0.0110259205775703,-0.0248327422023556,7.83242146440252,1.01320611926943e-32,0.024392311444535,"spectral","env_tri11","spec_pca_mean"
"10m","env_tri21","TRI 21x21","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,-0.0792521113312323,-0.0655248180681583,0.00628089715045804,11.0104785192547,0.000924649504751034,-0.0103049556639284,7.93442374838731,9.92135261997613e-33,0.0261576143209986,"spectral","env_tri21","spec_pca_mean"
"10m","brightness_n_pixels","brightness_n_pixels","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.202201483086344,0.171722265618453,0.0408854397623172,74.2585286665929,1.51044009377631e-17,0.000243825121992161,5.83900492837809,4.38086731853963e-34,-0.0941441502887379,"spectral","brightness_n_pixels","spec_pca_mean"
"10m","mean_pixel_brightness","563 nm brightness","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.662310845927712,0.677244908914971,0.438655656633482,1361.26454801843,1.09329689139762e-220,142.492776001045,-0.406094464299556,1.01217942269155e-35,0.258861204589553,"spectral","mean_pixel_brightness","spec_pca_mean"
"10m","mean_blue_pixel_brightness","Blue brightness","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.541587812638138,0.49130732712024,0.293317358798163,723.03861625556,1.66555801215444e-133,273.340725704221,2.29482554304502,4.36802765507801e-29,0.209516057370047,"spectral","mean_blue_pixel_brightness","spec_pca_mean"
