"scale","field_group","field","method","n"
"10m","raw_pca_metric","metric_method","all_pixels",1744
"10m","raw_pca_metric","metric_method","manual_excluded",165
"10m","standardized_pca_metric","standardized_PCA_metric_method","all_pixels",1744
"10m","standardized_pca_metric","standardized_PCA_metric_method","manual_excluded",165
"10m","raw_alpha_hull","alpha_hull_method","all_pixels",1734
"10m","raw_alpha_hull","alpha_hull_method","fallback_sampled_pixels",7
"10m","raw_alpha_hull","alpha_hull_method","fallback_sampled_pixels_alpha_failed",3
"10m","raw_alpha_hull","alpha_hull_method","manual_excluded",165
"10m","standardized_alpha_hull","standardized_PCA_alpha_hull_method","all_pixels",1744
"10m","standardized_alpha_hull","standardized_PCA_alpha_hull_method","manual_excluded",165
"10m","raw_3d_hull","pca_hull_3d_method","all_pixels",1744
"10m","raw_3d_hull","pca_hull_3d_method","manual_excluded",165
"10m","standardized_3d_hull","standardized_PCA_pca_hull_3d_method","all_pixels",1744
"10m","standardized_3d_hull","standardized_PCA_pca_hull_3d_method","manual_excluded",165
"20m","raw_pca_metric","metric_method","all_pixels",436
"20m","raw_pca_metric","metric_method","manual_excluded",49
"20m","standardized_pca_metric","standardized_PCA_metric_method","all_pixels",436
"20m","standardized_pca_metric","standardized_PCA_metric_method","manual_excluded",49
"20m","raw_alpha_hull","alpha_hull_method","all_pixels",2
"20m","raw_alpha_hull","alpha_hull_method","manual_excluded",49
"20m","raw_alpha_hull","alpha_hull_method","sampled_pixels",434
"20m","standardized_alpha_hull","standardized_PCA_alpha_hull_method","all_pixels",2
"20m","standardized_alpha_hull","standardized_PCA_alpha_hull_method","manual_excluded",49
"20m","standardized_alpha_hull","standardized_PCA_alpha_hull_method","sampled_pixels",434
"20m","raw_3d_hull","pca_hull_3d_method","all_pixels",2
"20m","raw_3d_hull","pca_hull_3d_method","manual_excluded",49
"20m","raw_3d_hull","pca_hull_3d_method","sampled_pixels",434
"20m","standardized_3d_hull","standardized_PCA_pca_hull_3d_method","all_pixels",2
"20m","standardized_3d_hull","standardized_PCA_pca_hull_3d_method","manual_excluded",49
"20m","standardized_3d_hull","standardized_PCA_pca_hull_3d_method","sampled_pixels",434
"50m","raw_pca_metric","metric_method","all_pixels",74
"50m","raw_pca_metric","metric_method","manual_excluded",6
"50m","standardized_pca_metric","standardized_PCA_metric_method","all_pixels",74
"50m","standardized_pca_metric","standardized_PCA_metric_method","manual_excluded",6
"50m","raw_alpha_hull","alpha_hull_method","manual_excluded",6
"50m","raw_alpha_hull","alpha_hull_method","sampled_pixels",74
"50m","standardized_alpha_hull","standardized_PCA_alpha_hull_method","manual_excluded",6
"50m","standardized_alpha_hull","standardized_PCA_alpha_hull_method","sampled_pixels",74
"50m","raw_3d_hull","pca_hull_3d_method","manual_excluded",6
"50m","raw_3d_hull","pca_hull_3d_method","sampled_pixels",74
"50m","standardized_3d_hull","standardized_PCA_pca_hull_3d_method","manual_excluded",6
"50m","standardized_3d_hull","standardized_PCA_pca_hull_3d_method","sampled_pixels",74
