"scale","model","distance_bin","distance_mean","distance_median","pair_n","semivariance_mean","semivariance_median"
"10m","spec_spca_alpha ~ phy_rao","[9.92,84.9]",54.625254882077,58.3094278139502,19990,20358.8224950213,6682.43464898282
"10m","spec_spca_alpha ~ phy_rao","(84.9,127]",106.660380961274,107.703257178691,19990,22217.0881620282,7642.1441424236
"10m","spec_spca_alpha ~ phy_rao","(127,163]",145.267047188699,144.222528598732,19989,23176.5539770975,7776.14971841084
"10m","spec_spca_alpha ~ phy_rao","(163,197]",179.755907603925,180.277431055899,19990,22605.4917210744,7568.97597542253
"10m","spec_spca_alpha ~ phy_rao","(197,230]",212.82359504693,212.132164515717,19990,23224.0846667202,7842.41146959914
"10m","spec_spca_alpha ~ phy_rao","(230,262]",245.96820069725,245.968042992548,19989,22366.3866216688,7327.87950379758
"10m","spec_spca_alpha ~ phy_rao","(262,298]",280.111257069834,280.178782699733,19990,21731.7261409416,7404.84064451046
"10m","spec_spca_alpha ~ phy_rao","(298,336]",316.425848025526,316.227469546129,19989,19360.9482803294,6899.72002175115
"10m","spec_spca_alpha ~ phy_rao","(336,385]",359.141163535538,358.468740255942,19990,19009.3262985135,6681.7016707674
"10m","spec_spca_alpha ~ phy_rao","(385,608]",433.134739464371,424.852583555706,19990,15678.3783497044,5600.1705423116
"10m","spec_spca_alpha ~ phy_afaith","[9.92,84.9]",54.625254882077,58.3094278139502,19990,20383.646253669,6523.63393615285
"10m","spec_spca_alpha ~ phy_afaith","(84.9,127]",106.660380961274,107.703257178691,19990,22170.3419324199,7403.12533720095
"10m","spec_spca_alpha ~ phy_afaith","(127,163]",145.267047188699,144.222528598732,19989,23174.4670339194,7697.35176125556
"10m","spec_spca_alpha ~ phy_afaith","(163,197]",179.755907603925,180.277431055899,19990,22595.0250741704,7335.82722925308
"10m","spec_spca_alpha ~ phy_afaith","(197,230]",212.82359504693,212.132164515717,19990,23207.5426465333,7600.06874346655
"10m","spec_spca_alpha ~ phy_afaith","(230,262]",245.96820069725,245.968042992548,19989,22279.8704996006,7139.74763930937
"10m","spec_spca_alpha ~ phy_afaith","(262,298]",280.111257069834,280.178782699733,19990,21682.2176789345,7181.88632671832
"10m","spec_spca_alpha ~ phy_afaith","(298,336]",316.425848025526,316.227469546129,19989,19180.7134951778,6760.89583527826
"10m","spec_spca_alpha ~ phy_afaith","(336,385]",359.141163535538,358.468740255942,19990,18834.1383772943,6516.27821776855
"10m","spec_spca_alpha ~ phy_afaith","(385,608]",433.134739464371,424.852583555706,19990,15310.1859303961,5385.04471065071
