"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","metric_group"
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q","identity","identity",1741,0.719487013407186,0.850110877728331,0.517661562461592,1866.35231003962,1.25581495314337e-277,0.417259102173929,-63.5116346431015,1.74325446234771e-58,0.314062133668395,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance","identity","identity",1741,0.855226450353447,0.832447076319201,0.731412281384157,4735.60728644584,0,0.00859315901061248,3.01285260526,1.51739540147054e-35,0.24886335548917,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_convex","Raw PCA convex hull","identity","identity",1741,0.746069311176687,0.788551140909642,0.556619417079656,2183.13837725145,1.91013811465875e-309,2.42124552269726,-227.45866587338,4.23229481743113e-45,0.292139235377182,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1741,0.759679125433392,0.824769740457272,0.577112373619244,2373.20355365577,0,24.7622027513279,-5494.11871880153,2.36580554096663e-47,0.353789735101249,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1741,0.76301577083703,0.812484901111447,0.582193066546026,2423.20952970751,0,5.92072424047171,-531.542418852256,2.58678432465046e-46,0.318483394873849,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull","identity","identity",1741,0.806835362592029,0.775788699265159,0.650983302329011,3243.56963521934,0,0.767341294603284,137.275288917834,1.22199332017647e-28,0.0668765723438872,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","identity","identity",1741,0.500586603546408,0.651650552203355,0.250586947650129,581.482669133084,4.48368509556946e-111,0.477712131184353,-112.118277073453,1.64319353736884e-59,0.278620999951893,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","identity","identity",1741,0.632915491682803,0.618688982940868,0.400582019612085,1162.14754127763,1.6445278934994e-195,0.0074455976606295,2.85937212618654,7.43055228401286e-48,0.179825900746298,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_convex","Std PCA convex hull","identity","identity",1741,0.565650207326027,0.584807730794665,0.319960157047977,818.203108057724,8.26562948805889e-148,3.98635256536384,-244.555935539418,4.27889578980904e-40,0.207470377268163,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1741,0.560226877121189,0.598022754226012,0.313854153848959,795.446589970604,1.98113255651097e-144,84.0459028185975,-15782.9033017432,6.43254856556943e-44,0.285450904556803,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1741,0.570910264193467,0.58330939030518,0.325938529761454,840.883403489268,3.79196007168493e-151,10.5768481193219,-307.628155231066,5.29717608617422e-39,0.211872687206872,"spectral"
"10m","spec_alpha","Raw PCA alpha hull","spec_sa","Spectral angle entropy","identity","identity",1741,0.0838928671638646,0.0477591315374216,0.00703801316097377,12.3258544125089,0.000458120909281732,5.60229830420225e-05,2.81248518856673,1.49748010768948e-21,-0.024663770418092,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","identity","identity",1744,0.906046921396989,0.98968572996768,0.820921023772962,7985.55170205729,0,0.0157006974895253,5.10206690027268,2.86170982505203e-42,0.482906552256122,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_convex","Raw PCA convex hull","identity","identity",1744,0.736984604540656,0.693099159114536,0.543146307329947,2071.03692615242,1.20108742281414e-298,4.12445687496232,408.852230315635,3.67260601687336e-38,0.442325650660818,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.793956408042619,0.740557863987768,0.630366777871937,2970.77984692747,0,44.6224390721637,622.722699228037,2.26286062452397e-39,0.517380409405583,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.769940278358355,0.727842536142158,0.592808032238542,2536.08045815997,0,10.301780141079,989.920054791857,2.4049706451663e-38,0.45456883930588,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.56420282427071,0.578601683996988,0.318324826915046,813.469333167138,3.76157134970992e-147,0.926016645866876,399.94808635265,1.90016858946318e-28,0.40872186888528,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.855448086641839,0.579446924305468,0.731791428939184,4752.94530734069,0,1.40770817256374,-81.2599666451065,1.11125737787218e-40,0.450998123144436,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.789088305509053,0.558391383225844,0.622660353891148,2874.53053943205,0,0.016017428864265,4.28672172806349,8.54838514927734e-32,0.264007090925843,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.567764029799217,0.466034303236824,0.322355993533846,828.671301417327,2.13333355949413e-149,6.89982019545771,785.461167410851,6.75923115149385e-37,0.303346243293907,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.571350229451781,0.46571143391307,0.326441084694603,844.262256227673,1.09414999296656e-151,147.801299989843,5561.49252129577,6.15854914356504e-43,0.288162630184329,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.568073871670142,0.461215688969701,0.322707923674306,830.007057059253,1.35618593857123e-149,18.1477003525353,2450.75909687231,6.7285022904188e-36,0.296555428595814,"spectral"
"10m","spec_rao_q","Raw PCA Rao's Q","spec_sa","Spectral angle entropy","identity","identity",1744,0.2029172639906,0.0648209575129579,0.0411754160254309,74.8078177334293,1.15671531695434e-17,0.000233745279742456,2.80525328916123,1.85980390196382e-20,0.0412021033275984,"spectral"
