"scale","x_metric","y_metric","n","x_label","y_label","x_transform","y_transform","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","abs_r","identity_pearson_r","identity_spearman_r","identity_r_squared","identity_residual_abs_cor_fitted","delta_abs_r","delta_r_squared","best_transform_pair"
"10m","phy_afaith","spec_spca_rao",1744,"Abundance-weighted Faith's PD","Std PCA Rao's Q","power_2","yeojohnson",0.170047152999403,0.118184761008124,0.0289160342432024,51.8716541801844,8.77906018181579e-13,5.25555521434345e-09,1.09493872092523,0.00049813613870426,-0.0622293957390308,0.170047152999403,0.0247425802063645,0.118184761008124,0.000612195275268382,-0.0328651958088523,0.145304572793038,0.028303838967934,"power_2 x / yeojohnson y"
"20m","phy_afaith","spec_spca_rao",436,"Abundance-weighted Faith's PD","Std PCA Rao's Q","identity","boxcox",0.268860470510738,0.230348418258278,0.0722859526032549,33.8165661260016,1.17577562319952e-08,9.79511705256109e-07,0.903849347666644,0.0141688007937106,-0.125457382796642,0.268860470510738,0.132961948408866,0.230348418258278,0.017678879724682,0.0155963272466163,0.135898522101871,0.0546070728785729,"identity x / boxcox y"
"10m","phy_faith","spec_spca_rao",1744,"Faith's PD","Std PCA Rao's Q","power_2","yeojohnson",0.16041845720337,0.115342166389447,0.0257340814115092,46.0128687286902,1.60415629482576e-11,3.2051453605817e-09,1.09469236995223,0.00179020495266649,-0.0624930435186405,0.16041845720337,0.0258519896003669,0.115342166389447,0.000668325366297476,-0.0166489340618043,0.134566467603003,0.0250657560452117,"power_2 x / yeojohnson y"
"10m","phy_rao","spec_spca_rao",1744,"Phylogenetic Rao's Q","Std PCA Rao's Q","power_2","yeojohnson",0.167911439212809,0.115416500911364,0.0281942514185165,50.5393038091683,1.69742349901688e-12,3.5227171335036e-08,1.09472463896144,0.000726379864979693,-0.0474061910230511,0.167911439212809,0.0437895976538778,0.115416500911364,0.0019175288626885,0.00535683242252569,0.124121841558931,0.026276722555828,"power_2 x / yeojohnson y"
"20m","phy_rao","spec_spca_rao",436,"Phylogenetic Rao's Q","Std PCA Rao's Q","identity","yeojohnson",0.236532248970624,0.227524528416622,0.0559475048031018,25.7201979848397,5.85847169915323e-07,6.24258158509134e-06,0.903596396112425,0.0700059166292318,-0.0360541135857551,0.236532248970624,0.132208893059991,0.227524528416622,0.0174791914041481,0.0583975236034123,0.104323355910634,0.0384683133989537,"identity x / yeojohnson y"
"20m","phy_faith","spec_spca_rao",436,"Faith's PD","Std PCA Rao's Q","identity","boxcox",0.226052085483067,0.224419388133682,0.0510995453512445,23.3714743983859,1.85678883160258e-06,1.23075918677231e-06,0.903755755985369,0.127958836654734,-0.0693548793532657,0.226052085483067,0.123120431377605,0.224419388133682,0.0151586406226075,0.0685535492049752,0.102931654105462,0.035940904728637,"identity x / boxcox y"
"10m","phy_afaith","spec_spca_hull3d_v",1744,"Abundance-weighted Faith's PD","Std PCA 3D hull volume","power_2","boxcox",0.0873608317315882,0.0265259554209659,0.00763191492083491,13.3970408681914,0.000259532920704573,4.30396464144692e-08,4.32238068470812,0.00654233514439502,-0.127646519312329,0.0873608317315882,-0.00274645924033991,0.0265259554209659,7.54303835884849e-06,0.0863170167075322,0.0846143724912483,0.00762437188247606,"power_2 x / boxcox y"
"10m","phy_afaith","spec_spca_hull3d_a",1744,"Abundance-weighted Faith's PD","Std PCA 3D hull area","power_2","boxcox",0.0806928870896442,0.0208099692132598,0.00651134202686206,11.4170984437151,0.000743758073441888,7.18331998748718e-09,2.41357045532984,0.0158294361617553,-0.129541943669176,0.0806928870896442,0.00138424845722846,0.0208099692132598,1.91614379133935e-06,-0.0965057264577038,0.0793086386324158,0.00650942588307072,"power_2 x / boxcox y"
"10m","phy_afaith","spec_spca_mean",1744,"Abundance-weighted Faith's PD","Std PCA mean distance","power_2","yeojohnson",0.197391873350072,0.141681513445298,0.0389635516646507,70.6263608600795,8.84102520498506e-17,3.93168073162544e-09,0.514399812557922,0.000600591480469885,-0.0279103941140305,0.197391873350072,0.122298147232418,0.141681513445298,0.0149568368164822,0.00758270044219091,0.0750937261176534,0.0240067148481685,"power_2 x / yeojohnson y"
"10m","phy_faith","spec_spca_mean",1744,"Faith's PD","Std PCA mean distance","power_2","yeojohnson",0.193150157519227,0.151305306975585,0.0373069833497021,67.5072571122519,4.04712729458898e-16,2.4870710908722e-09,0.514192169853488,0.00341044713495877,-0.0393917378842135,0.193150157519227,0.119174997265763,0.151305306975585,0.0142026799732946,0.0285274396659201,0.0739751602534642,0.0231043033764075,"power_2 x / yeojohnson y"
