"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","abs_r"
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","identity",1741,0.0216571076011506,-0.00358404145363175,0.000469030309647819,0.816026449615902,0.366469617987335,0.0147918911475803,527.786485468402,4.1532289111924e-23,0.0559876716382884,0.0216571076011506
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","log",1741,0.0103232924528701,-0.00358404145363175,0.000106570367067483,0.185345620681184,0.666872333507957,1.40248618610925e-05,6.23157941736033,1.44306252503243e-26,0.047885523025835,0.0103232924528701
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","log1p",1741,0.0103581185537743,-0.00358404145363175,0.000107290619974043,0.186598408393783,0.665816494637304,1.40362019982567e-05,6.23363385286647,1.74599177481742e-26,0.0479149934945878,0.0103581185537743
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","sqrt",1741,0.0164701912248463,-0.00358404145363175,0.000271267198983005,0.471861659622159,0.492223551814063,0.000242838073757294,22.7682660741743,3.53422926111897e-17,0.0527190404673608,0.0164701912248463
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","power_0.25",1741,0.0134976760807462,-0.00358404145363175,0.000182187259580748,0.316881376160456,0.573560443452477,2.1165402678183e-05,4.76042615299622,1.78950009445572e-20,0.0504232251273986,0.0134976760807462
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","power_0.5",1741,0.0164701912248463,-0.00358404145363175,0.000271267198983005,0.471861659622159,0.492223551814063,0.000242838073757294,22.7682660741743,3.53422926111897e-17,0.0527190404673608,0.0164701912248463
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","power_2",1741,0.0282390509109641,-0.00358404145363175,0.000797443996352028,1.38786185175763,0.238927699002832,24.1995932275647,298470.745349041,4.62482648124578e-42,0.0542525653114663,0.0282390509109641
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","boxcox",1741,0.0175933625769273,-0.00358404145363175,0.000309526406763229,0.538433080617981,0.463181748773453,0.000968030095775003,69.3892436294566,3.47150846767916e-17,0.0537650995450252,0.0175933625769273
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","identity","yeojohnson",1741,0.0176037026416761,-0.00358404145363175,0.000309890346696558,0.53906636436786,0.462918894336394,0.000967785452946486,69.4724532264408,3.49704340685557e-17,0.0537745612463427,0.0176037026416761
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","identity",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","log",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","log1p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","sqrt",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","power_0.25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","power_0.5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","power_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","boxcox",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log","yeojohnson",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","identity",1741,-0.0349559655818438,-0.00360759776933328,0.00122191952975905,2.12751771770016,0.144855462163896,-5.19111524744947,565.144965854962,3.28591187681286e-23,-0.0177790769834412,0.0349559655818438
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","log",1741,-0.0419529574739184,-0.00360759776933328,0.00176005064080841,3.06612459893097,0.0801161345171419,-0.0123925038660186,6.31100559853755,1.91389125647426e-26,-0.0432157818275302,0.0419529574739184
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","log1p",1741,-0.0419390698178951,-0.00360759776933328,0.00175888557719029,3.06409140491321,0.0802162329622366,-0.012356732518576,6.31285452356554,2.31658327529856e-26,-0.0431749876485397,0.0419390698178951
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","sqrt",1741,-0.0387514500287752,-0.00360759776933328,0.00150167487933266,2.61534000554675,0.106016202059302,-0.124228778617801,23.6113437436524,3.92166211132466e-17,-0.0309974110138632,0.0387514500287752
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","power_0.25",1741,-0.0404619385965851,-0.00360759776933328,0.00163716847499383,2.85170469904755,0.0914563860895891,-0.0137952742986138,4.8513884633129,2.32458993394371e-20,-0.0375723711712244,0.0404619385965851
"10m","phy_faith","Faith's PD","spec_alpha","Raw PCA alpha hull","log1p","power_0.5",1741,-0.0387514500287752,-0.00360759776933328,0.00150167487933266,2.61534000554675,0.106016202059302,-0.124228778617801,23.6113437436524,3.92166211132466e-17,-0.0309974110138632,0.0387514500287752
