Genus,Species,Number of individuals
Acer,negundo,24
Acer,rubrum,1
Acer,saccharum,271
Aesculus,flava,90
Albizia,julibrissin,1
Carpinus,caroliniana,5
Carpinus,caroliniana-septentrionalis,258
Carya,cordiformis,29
Carya,glabra,83
Carya,laciniosa,10
Carya,ovalis,6
Carya,ovata,113
Carya,sp,2
Carya,tomentosa,54
Celtis,laevigata,50
Diospyros,virginiana,59
Fagus,grandifolia,163
Fraxinus,americana,271
Fraxinus,quadrangulata,8
Gleditsia,triacanthos,1
Juglans,nigra,35
Juniperus,virginiana,67
Liquidambar,benzoin,1
Liquidambar,styraciflua,257
Liriodendron,tulipifera,265
Magnolia,acuminata,57
Nyssa,sylvatica,2
Ostrya,virginiana,2
Oxydendrum,arboreum,14
Paulownia,tomentosa,1
Pinus,echinata,58
Pinus,virginiana,1
Platanus,occidentalis,9
Prunus,serotina,28
Quercus,alba,255
Quercus,falcata,23
Quercus,montana,18
Quercus,muehlenbergii,182
Quercus,nigra,12
Quercus,pagoda,11
Quercus,rubra,63
Quercus,shumardii,78
Quercus,velutina,20
Sassafras,albidum,5
Tilia,americana,81
Ulmus,alata,29
Ulmus,americana,10
Ulmus,rubra,8
Ulmus,serotina,16
