Genus,Species,all_plot_individuals,included_10m_individuals,included_20m_individuals,included_50m_individuals
Acer,negundo,60,24,24,31
Acer,rubrum,2,1,1,2
Acer,saccharum,334,271,271,327
Aesculus,flava,126,90,90,114
Albizia,julibrissin,1,1,1,1
Carpinus,caroliniana,7,5,5,6
Carpinus,caroliniana-septentrionalis,320,258,258,320
Carya,cordiformis,33,29,29,31
Carya,glabra,102,83,83,102
Carya,laciniosa,14,10,10,12
Carya,ovalis,10,6,6,10
Carya,ovata,140,113,113,139
Carya,pallida,1,0,0,1
Carya,sp,3,2,2,3
Carya,tomentosa,74,54,54,74
Celtis,laevigata,88,50,50,59
Diospyros,virginiana,69,59,59,68
Fagus,grandifolia,204,163,163,201
Fraxinus,americana,343,271,271,331
Fraxinus,quadrangulata,12,8,8,12
Gleditsia,triacanthos,1,1,1,1
Juglans,nigra,52,35,35,40
Juniperus,virginiana,73,67,67,73
Liquidambar,benzoin,1,1,1,1
Liquidambar,styraciflua,324,257,257,310
Liriodendron,tulipifera,359,265,265,324
Magnolia,acuminata,68,57,57,64
Nyssa,sylvatica,3,2,2,3
Ostrya,virginiana,5,2,2,5
Oxydendrum,arboreum,21,14,14,21
Paulownia,tomentosa,1,1,1,0
Pinus,echinata,58,58,58,58
Pinus,virginiana,1,1,1,1
Platanus,occidentalis,15,9,9,11
Prunus,serotina,39,28,28,32
Quercus,alba,335,255,255,335
Quercus,falcata,27,23,23,27
Quercus,montana,21,18,18,21
Quercus,muehlenbergii,225,182,182,221
Quercus,nigra,13,12,12,13
Quercus,pagoda,17,11,11,17
Quercus,rubra,85,63,63,85
Quercus,shumardii,95,78,78,95
Quercus,velutina,23,20,20,23
Sassafras,albidum,5,5,5,5
Tilia,americana,106,81,81,100
Ulmus,alata,38,29,29,38
Ulmus,americana,19,10,10,14
Ulmus,rubra,13,8,8,12
Ulmus,serotina,21,16,16,19
