scale,response,predictor,n,pearson_r,spearman_r,pearson_p
10m,spec_sa,phy_faith,1587,0.0875995444186255,0.10556544409110788,4.764011341870207e-4
10m,spec_sa,phy_afaith,1587,0.10227372558246824,0.08020759499300405,4.468969258829207e-5
10m,spec_sa,sp_shannon,1587,-0.050767389672185144,-0.01876708226566161,0.04316194275547389
10m,spec_sa,env_elev,1587,-0.17730259877999302,-0.18925066063135498,1.1264327956070302e-12
10m,spec_sa,env_tri11,1587,-0.045522846558226485,-0.05064659451304368,0.06982992451047094
10m,spec_pca_mean,phy_faith,1440,0.022699756575731943,0.019186860875108704,0.3893713054265834
10m,spec_pca_mean,phy_afaith,1440,0.04348303116305104,0.02378334453353337,0.09906320921918
10m,spec_pca_mean,sp_shannon,1440,-0.037768552897516385,-0.04840954175590021,0.15200584203234146
10m,spec_pca_mean,env_elev,1440,-0.02493621869978504,-0.06942046171897266,0.34435863387551724
10m,spec_pca_mean,env_tri11,1440,-0.0760670099312219,-0.05234194669911267,0.0038743044651356573
10m,spec_rao_q,phy_faith,1440,-0.008066072901338754,0.002411905878526302,0.7597378053155464
10m,spec_rao_q,phy_afaith,1440,0.003072307975071197,0.006928497654717593,0.9072682353107745
10m,spec_rao_q,sp_shannon,1440,-0.05909089864544424,-0.05695810195032191,0.02493848766978464
10m,spec_rao_q,env_elev,1440,-0.04544205797402433,-0.0457418960946644,0.08474433922960758
10m,spec_rao_q,env_tri11,1440,-0.055572000929463204,-0.039464706049723214,0.03497848288857286
10m,spec_alpha,phy_faith,1439,0.023325283113903143,9.313846418227722e-4,0.37660108206361664
10m,spec_alpha,phy_afaith,1439,0.047596282967113004,0.022664517279033864,0.07107801848517073
10m,spec_alpha,sp_shannon,1439,-0.04335247532003128,-0.05038588194990415,0.10020033103428157
10m,spec_alpha,env_elev,1439,-0.002702924018495228,-0.03708353106697557,0.9184040859930869
10m,spec_alpha,env_tri11,1439,-0.06479611015626859,-0.02585946880769916,0.013954467403511868
20m,spec_sa,phy_faith,405,0.14038208032301147,0.21116167739539315,0.004648522916946665
20m,spec_sa,phy_afaith,405,0.1657587565167074,0.12400226886399643,8.118744275026843e-4
20m,spec_sa,sp_shannon,405,-0.06454824194543364,-0.020324758255792743,0.1948564649162774
20m,spec_sa,env_elev,405,-0.2944116775142737,-0.30207106096488145,1.5314851343861466e-9
20m,spec_sa,env_tri11,405,-0.11086957123606536,-0.12398980456337919,0.025668314443372798
20m,spec_pca_mean,phy_faith,360,0.08740500420340915,0.06977467646962468,0.0977631274857825
20m,spec_pca_mean,phy_afaith,360,0.15605042206132572,0.07844067726860032,0.0029900470164037603
20m,spec_pca_mean,sp_shannon,360,-0.10449755259926956,-0.1441600629634488,0.04756509647552643
20m,spec_pca_mean,env_elev,360,-0.07700550314876324,-0.1438905135584894,0.14479608580190037
