term,estimate,std.error,statistic,p.value,conf.low,conf.high,scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd
(Intercept),0.03583107446375906,0.026367977252019288,1.3588859745020858,0.17437593636730603,-0.01588868099648768,0.08755082992400581,10m,spec_sa,Null,NA,1587,0,0,4662.856700867208,4673.5959023082605,1.0504255547463093
(Intercept),0.028135093114169573,0.025987978286454997,1.0826195406217365,0.27914210517816684,-0.02283935840070012,0.07910954462903927,10m,spec_sa,Environment,NA,1587,0.03161763977300836,0.030394934772721705,4615.869137229237,4637.347540111343,1.03433856260141
env_elev_z,-0.2031263575124655,0.02921916830013202,-6.951818594766358,5.253000165483191e-12,-0.26043866789700176,-0.14581404712792925,10m,spec_sa,Environment,NA,1587,0.03161763977300836,0.030394934772721705,4615.869137229237,4637.347540111343,1.03433856260141
env_tri11_z,-0.013554609011186693,0.02488171999922581,-0.5447617371953564,0.5859940821272873,-0.06235917609704414,0.035249958074670754,10m,spec_sa,Environment,NA,1587,0.03161763977300836,0.030394934772721705,4615.869137229237,4637.347540111343,1.03433856260141
(Intercept),0.06499722562230181,0.02756398884185185,2.358048611731155,0.01849217294733666,0.010931514183825243,0.11906293706077839,10m,spec_sa,Biodiversity,phy_faith,1587,0.007673680182350744,0.007047606794453043,4652.631604456552,4668.740406618132,1.0467175168581122
phy_faith_z,0.12278342507574835,0.03507119131010574,3.5009767415676123,4.764011341870443e-4,0.0539926226975105,0.19157422745398622,10m,spec_sa,Biodiversity,phy_faith,1587,0.007673680182350744,0.007047606794453043,4652.631604456552,4668.740406618132,1.0467175168581122
(Intercept),0.05215179217125995,0.027244150879994326,1.914238120357628,0.05576985907520519,-0.0012866209149895932,0.1055902052575095,10m,spec_sa,Biodiversity + environment,phy_faith,1587,0.03663624431026273,0.0348105391510275,4609.623184768208,4636.4711883708405,1.0319806739404933
phy_faith_z,0.09978025932301612,0.03474624158521836,2.8716849584521493,0.004137251501086308,0.031626767617426665,0.16793375102860558,10m,spec_sa,Biodiversity + environment,phy_faith,1587,0.03663624431026273,0.0348105391510275,4609.623184768208,4636.4711883708405,1.0319806739404933
env_elev_z,-0.19575867698376156,0.02926523893935888,-6.6891193811674405,3.104747152518483e-11,-0.2531613809402147,-0.13835597302730845,10m,spec_sa,Biodiversity + environment,phy_faith,1587,0.03663624431026273,0.0348105391510275,4609.623184768208,4636.4711883708405,1.0319806739404933
env_tri11_z,-0.011528065818777187,0.024835027767772595,-0.46418574307924426,0.6425785018439194,-0.060241071362923046,0.03718493972536867,10m,spec_sa,Biodiversity + environment,phy_faith,1587,0.03663624431026273,0.0348105391510275,4609.623184768208,4636.4711883708405,1.0319806739404933
(Intercept),0.058865726343964975,0.028123698328404615,2.0931004754986744,0.036499111336812225,0.003702086181049384,0.11402936650688056,10m,spec_sa,Biodiversity x elevation,phy_faith,1587,0.03719997956838475,0.03476559266463841,4610.694242077794,4642.9118464009525,1.032004702054772
phy_faith_z,0.11251142626879053,0.03717981311768701,3.0261428671696873,0.002516918389314007,0.039584537059590225,0.18543831547799083,10m,spec_sa,Biodiversity x elevation,phy_faith,1587,0.03719997956838475,0.03476559266463841,4610.694242077794,4642.9118464009525,1.032004702054772
env_elev_z,-0.17149698293297722,0.03862598142275031,-4.439938523658255,9.621867791437018e-6,-0.24726048015382557,-0.09573348571212886,10m,spec_sa,Biodiversity x elevation,phy_faith,1587,0.03719997956838475,0.03476559266463841,4610.694242077794,4642.9118464009525,1.032004702054772
env_tri11_z,-0.009953061546790615,0.024889463055189624,-0.39989056914248433,0.6892911041722494,-0.05877286354409601,0.038866740450514775,10m,spec_sa,Biodiversity x elevation,phy_faith,1587,0.03719997956838475,0.03476559266463841,4610.694242077794,4642.9118464009525,1.032004702054772
phy_faith_z:env_elev_z,0.05019423881565879,0.052153214235368554,0.9624380692843041,0.33597668045551965,-0.05210244741047741,0.152490925041795,10m,spec_sa,Biodiversity x elevation,phy_faith,1587,0.03719997956838475,0.03476559266463841,4610.694242077794,4642.9118464009525,1.032004702054772
(Intercept),0.1561013009694823,0.03939279672127982,3.9626864290434356,7.740327303349341e-5,0.07883383462029067,0.23336876731867393,10m,spec_sa,Biodiversity,phy_afaith,1587,0.01045991494451802,0.009835599433442033,4648.169388971371,4664.27819113295,1.0452470072556441
phy_afaith_z,0.4200102501996906,0.1026119345197829,4.0931910324594405,4.468969258829357e-5,0.21874085941155696,0.6212796409878243,10m,spec_sa,Biodiversity,phy_afaith,1587,0.01045991494451802,0.009835599433442033,4648.169388971371,4664.27819113295,1.0452470072556441
(Intercept),0.13531254845061744,0.03912950941909692,3.458069126329986,5.584715731447866e-4,0.058561435985759844,0.21206366091547502,10m,spec_sa,Biodiversity + environment,phy_afaith,1587,0.039711249478018025,0.03789137187121705,4604.549464496909,4631.397468099542,1.0303323442086367
phy_afaith_z,0.37283753946172843,0.10207255069780259,3.652671917306705,2.6797964671349006e-4,0.17262593613509689,0.5730491427883599,10m,spec_sa,Biodiversity + environment,phy_afaith,1587,0.039711249478018025,0.03789137187121705,4604.549464496909,4631.397468099542,1.0303323442086367
env_elev_z,-0.19855346381032132,0.029132908207347322,-6.815435740131365,1.331687832991879e-11,-0.2556966058390642,-0.14141032178157845,10m,spec_sa,Biodiversity + environment,phy_afaith,1587,0.039711249478018025,0.03789137187121705,4604.549464496909,4631.397468099542,1.0303323442086367
