scale,response,model_type,predictor,n,r_squared,adj_r_squared,aic,bic,residual_sd,delta_aic
10m,spec_sa,Null,NA,1587,0,0,4662.856700867208,4673.5959023082605,1.0504255547463093,58.3072363702986
10m,spec_sa,Environment,NA,1587,0.03161763977300836,0.030394934772721705,4615.869137229237,4637.347540111343,1.03433856260141,11.31967273232749
10m,spec_sa,Biodiversity,phy_faith,1587,0.007673680182350744,0.007047606794453043,4652.631604456552,4668.740406618132,1.0467175168581122,48.08213995964252
10m,spec_sa,Biodiversity + environment,phy_faith,1587,0.03663624431026273,0.0348105391510275,4609.623184768208,4636.4711883708405,1.0319806739404933,5.073720271298953
10m,spec_sa,Biodiversity x elevation,phy_faith,1587,0.03719997956838475,0.03476559266463841,4610.694242077794,4642.9118464009525,1.032004702054772,6.144777580884693
10m,spec_sa,Biodiversity,phy_afaith,1587,0.01045991494451802,0.009835599433442033,4648.169388971371,4664.27819113295,1.0452470072556441,43.619924474461186
10m,spec_sa,Biodiversity + environment,phy_afaith,1587,0.039711249478018025,0.03789137187121705,4604.549464496909,4631.397468099542,1.0303323442086367,0
10m,spec_sa,Biodiversity x elevation,phy_afaith,1587,0.04016017665347966,0.03773327444527097,4605.807381440456,4638.0249857636145,1.0304169948372028,1.257916943546661
10m,spec_sa,Biodiversity,sp_shannon,1587,0.002577327854127494,0.001948039101984933,4660.7612015705035,4676.870003732083,1.0494019209564414,56.21173707359412
10m,spec_sa,Biodiversity + environment,sp_shannon,1587,0.032759534325513505,0.030926482274329925,4615.996678565489,4642.844682168121,1.034055006197536,11.447214068579342
10m,spec_sa,Biodiversity x elevation,sp_shannon,1587,0.03353051712954753,0.031086852191821945,4616.731183938688,4648.948788261847,1.0339694408744058,12.181719441779023
10m,spec_pca_mean,Null,NA,1440,0,0,4311.742702478495,4322.287499263635,1.0802071232686117,4.483559834952757
10m,spec_pca_mean,Environment,NA,1440,0.00587404095885601,0.004490427933050767,4307.259142643542,4328.348736213822,1.0777790983641964,0
10m,spec_pca_mean,Biodiversity,phy_faith,1440,5.152789485974856e-4,-1.7977301319072048e-4,4313.0005095578945,4328.817704735605,1.0803042149499018,5.741366914352511
10m,spec_pca_mean,Biodiversity + environment,phy_faith,1440,0.0061830327812512275,0.004106813490404315,4308.811495759968,4335.173487722818,1.0779867366516764,1.552353116426275
10m,spec_pca_mean,Biodiversity,phy_afaith,1440,0.0018907739991268686,0.001196678570753451,4311.017410651605,4326.8346058293155,1.079560599432211,3.758268008063169
10m,spec_pca_mean,Biodiversity + environment,phy_afaith,1440,0.00701518220123677,0.0049407013841084035,4307.60524031578,4333.96723227863,1.0775353286328733,0.34609767223810195
10m,spec_pca_mean,Biodiversity,sp_shannon,1440,0.0014264635879724895,7.320452733604599e-4,4311.687128462267,4327.504323639977,1.0798116706236325,4.427985818724665
10m,spec_pca_mean,Biodiversity + environment,sp_shannon,1440,0.0066743787216903255,0.004599185919576865,4308.099379606103,4334.461371568953,1.077720223849289,0.8402369625609936
10m,spec_rao_q,Null,NA,1440,0,0,4268.374282393674,4278.919079178814,1.064062707024975,4.05093562860111
10m,spec_rao_q,Environment,NA,1440,0.004290698906601257,0.0029048822036181754,4266.182382659567,4287.2719762298475,1.0625160946158096,1.8590358944948093
10m,spec_rao_q,Biodiversity,phy_faith,1440,6.506153204971134e-5,-6.303035155637016e-4,4270.280590739628,4286.097785917338,1.0643979954324412,5.95724397455524
