"quad_id","scale","center_x","center_y","sp_rich","sp_shannon","sp_simpson","sp_even","phy_faith","phy_rao","phy_afaith","spec_sa","spec_pca_mean","spec_pca_med","spec_pca_sd","spec_rao_q","spec_alpha","spec_convex","spec_hull3d_v","spec_hull3d_a","spec_spca_mean","spec_spca_med","spec_spca_sd","spec_spca_rao","spec_spca_alpha","spec_spca_convex","spec_spca_hull3d_v","spec_spca_hull3d_a","env_elev","env_tri5","env_tri11","env_tri21","sa_n_pixels","sa_method","sa_all_pixels_sampled","spca_n_pixels","spca_metric_method","spca_euclidean_all_pixels_sampled","parent_20m","edge_flag","primary_analysis"
"0_a","10m",563505.087409501,3847718.70760779,6,1.37513714120822,0.728338184374887,0.767478651473612,656.074673,184.092457477495,299.483912660822,3.02560440689825,8.47252449331256,8.04136013218115,4.10024349678561,177.183774994502,499.378404646183,1067.78957449128,9386.89094763867,2797.77271934471,7.24448332808458,6.25690935128485,4.82827980046946,151.579164544997,519.590123973146,2417.79078320823,43053.8693584889,6951.69165636831,220.029150704029,1.85041175897341,8.88933576559116,31.9646478147368,4447,"bootstrap_mean",TRUE,4447,"all_pixels",TRUE,"0",TRUE,FALSE
"0_b","10m",563498.296595699,3847711.36697149,3,0.939864336167328,0.567460718083488,0.855501386487095,369.873566,139.470794364107,159.375413760808,2.9493690301664,7.70641369841934,7.26044738767371,3.65308587422507,145.459729805383,416.193717133695,668.588346262698,4122.17382553314,1657.11467681275,6.99679980320841,6.41694791532754,3.68553974045068,125.068711954205,444.978692201073,1226.15999495504,17648.9344500237,3804.53551465708,219.058978743319,1.4612715965596,7.33683718054144,28.0801072937523,3350,"bootstrap_mean",TRUE,3350,"all_pixels",TRUE,"0",TRUE,FALSE
"0_c","10m",563490.956001104,3847718.15782632,2,0.692271031297238,0.499124106646377,0.998735983803614,247.468474,123.517481008392,226.624169393925,2.87333740952765,8.25042454588505,7.90986339622946,3.8006753301838,165.024574879106,572.045970591876,978.39912915129,7905.26331939086,2504.11801356547,7.41725736729784,6.8135901059566,4.01885439577511,142.328538320891,600.940844853767,1534.31023135157,23464.9261241472,4517.3303350697,217.453190586994,1.32190359456484,6.44905081126466,24.0948528074623,6145,"bootstrap_mean",FALSE,6145,"all_pixels",TRUE,"0",TRUE,FALSE
"0_d","10m",563497.746814905,3847725.49846261,4,1.24822652968006,0.680786753705624,0.900405112137729,517.963702,178.395048300193,249.896868855215,2.86599322516298,7.69119317414123,6.88615141054727,4.43291756821637,157.605409547091,665.595460684029,1196.62028843394,9720.12212082722,3041.48216543965,7.1105702388288,6.03880939481146,4.52029206347199,141.981287739904,698.861019227282,2127.65628808513,34634.5532417433,6027.73130816484,218.097654637548,1.43813623004699,6.99549017736471,26.6427307172788,7842,"bootstrap_mean",FALSE,7842,"all_pixels",TRUE,"0",TRUE,FALSE
"1000_a","10m",563640.905035168,3847865.5190992,5,1.28302121838267,0.676580891904852,0.797185904762387,464.339974,95.2817311339324,181.096093592883,2.75452741927128,6.32377916890955,6.01811159896135,3.33583758860843,102.233057013401,399.826151503029,755.508928171607,4280.36008082323,1829.5658797113,6.2983155829654,5.45760055576725,3.61580407142684,105.482189645015,475.787827465653,958.107741612656,13305.9296440892,3034.2697699559,208.178064613711,1.27317101735375,6.17189499686593,22.7141888046294,7586,"bootstrap_mean",FALSE,7586,"all_pixels",TRUE,"1000",TRUE,FALSE
"1000_b","10m",563634.114184694,3847858.17851214,5,1.0827496428371,0.604341044936682,0.672750178476631,984.084727,324.521307759604,522.18636212172,2.81547794935047,8.30511615892819,7.88713230214832,4.24678654253081,174.01586618146,593.307107277569,1349.57240111502,10450.5443850267,3344.44906448163,7.44649882904375,6.38643181295788,4.72756495706127,155.594935049035,701.536476870985,2150.92684601059,29940.3406147875,5886.64852690385,206.896774351034,1.53823967894018,7.88214626588871,31.8967939466454,8134,"bootstrap_mean",FALSE,8134,"all_pixels",TRUE,"1000",TRUE,FALSE
"1000_c","10m",563626.773505511,3847864.96949714,6,1.52354800199675,0.75036947197774,0.850308329975308,988.096389,297.101437115355,597.860950942753,2.88646562090943,8.97999690988184,8.77466439997986,3.84642353975544,190.866484704965,NA,1183.30669711923,6988.15018661989,2821.25460800616,9.4491206698103,8.37071542684535,5.1144004117748,230.878604698062,751.750758189469,1652.91037935773,21197.2665039006,4646.7057554888,208.197983887112,1.66713188793428,7.72559118342781,28.7796324082628,7126,"bootstrap_mean",FALSE,7126,"all_pixels",TRUE,"1000",TRUE,FALSE
"1000_d","10m",563633.564330985,3847872.3100842,2,0.671131258715934,0.478146125688505,0.968237738735045,237.157208,113.395800184303,231.562012685084,2.83119656767579,6.51864250446197,5.82839566030699,3.87403404022385,114.997636550488,472.343620175757,906.377856155943,4914.92333908245,2129.9251942238,8.39038632777836,7.48800114929726,5.0826951040284,192.457784965954,686.463623424553,1371.01533690497,17913.9158434006,3934.28350032707,209.355319138501,1.36363946890018,5.91716659563439,21.1141709193248,7424,"bootstrap_mean",FALSE,7424,"all_pixels",TRUE,"1000",TRUE,FALSE
"1001_a","10m",563626.223740668,3847879.10099406,5,0.951000044867592,0.567429623703561,0.590889550643993,357.883292,130.411016873605,257.337472758008,2.79682679332404,6.4743577452165,6.05224447477582,3.26972956163238,105.213792884183,425.281783072351,806.250322604032,5043.51439411197,2022.70302289335,6.1428469831252,5.50797301557661,3.39896818880763,98.5717724559731,488.501859561055,1175.00262829017,13909.3391361517,3311.91361817211,210.508347400562,1.14167319374837,5.10514617320694,18.4577081522697,6928,"bootstrap_mean",FALSE,6928,"all_pixels",TRUE,"1001",FALSE,TRUE
"1001_b","10m",563619.432847781,3847871.76048093,4,0.965703980511268,0.580670617309907,0.696608171825169,772.690322,342.045345951877,744.832667618216,2.87798981203083,7.82754419931451,7.1422778603902,4.18345026849862,157.538775656332,602.899918210417,961.783640199732,7367.42173872668,2484.77967873994,7.18264370211934,6.13894489171665,4.43456814405605,142.506324423318,696.599989210191,1791.03876803769,28752.0446415453,5318.15377280088,209.656178119261,1.23841866527729,6.23939134820503,23.9625098260798,7555,"bootstrap_mean",FALSE,7555,"all_pixels",TRUE,"1001",FALSE,TRUE
