"scale","sv_measure","sv_label","diversity_measure","diversity_label","diversity_group","n","pearson_r","r_squared","f_statistic","f_df1","f_df2","f_p_value","slope","intercept","slope_p_value","spearman_r","spearman_p_value"
"10m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_faith","Faith's PD","Phylogenetic diversity",1440,0.0982220687150151,0.00964757478265716,14.0083592307217,1,1438,0.000189168705939689,0.000809093708892816,6.5078295140242,0.000189168705939698,0.144847703909752,3.37171462596031e-08
"10m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_rao","Phylogenetic Rao's Q","Phylogenetic diversity",1440,0.121493803793463,0.0147607443602044,21.5439552052665,1,1438,3.77321199060571e-06,0.00314475431272627,6.45813601769888,3.7732119906058e-06,0.142236424641148,5.94704878311151e-08
"10m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_afaith","Abundance-weighted Faith's PD","Phylogenetic diversity",1440,0.106069053295596,0.011250644067024,16.3625150006947,1,1438,5.50871992556706e-05,0.00105301792677073,6.58554545225595,5.50871992556717e-05,0.128883786130511,9.24672471748464e-07
"10m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_rich","Species richness","Species diversity",1440,-0.0733015292985325,0.00537311419750362,7.76827806115061,1,1438,0.00538710494051936,-0.0914964879162188,7.27390640666736,0.00538710494051942,-0.0367549026935596,0.163314494136393
"10m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_shannon","Shannon diversity","Species diversity",1440,-0.0492281053915778,0.00242340636044429,3.49332409013802,1,1438,0.061819888593565,-0.233774424299518,7.12664494149054,0.0618198885935649,-0.0263425459018747,0.317826376057773
"10m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_simpson","Simpson diversity","Species diversity",1440,-0.0389760116703356,0.00151912948572614,2.18783180027178,1,1438,0.139324027044825,-0.383739154557785,7.10281988326568,0.139324027044825,-0.0235994565419852,0.370849448185906
"10m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_even","Species evenness","Species diversity",1440,-0.0155435375219917,0.000241601558697562,0.34750699963987,1,1438,0.555620363499296,-0.132950771098795,6.98462173344114,0.555620363499298,-0.0215788244173656,0.413218454886635
"10m","spec_sa","SA entropy","phy_faith","Faith's PD","Phylogenetic diversity",1587,0.0875995444186255,0.00767368018235074,12.2568381449975,1,1585,0.000476401134187001,4.24779635554608e-05,2.82580300154111,0.000476401134187048,0.105565444091108,2.51005379828004e-05
"10m","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q","Phylogenetic diversity",1587,0.105989646078021,0.0112338050757441,18.007878036747,1,1585,2.32734738026837e-05,0.000163317080901104,2.82354349410813,2.32734738026839e-05,0.108476313469592,1.48589468640758e-05
"10m","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD","Phylogenetic diversity",1587,0.102273725582468,0.010459914944518,16.7542128282065,1,1585,4.46896925882918e-05,6.0375437998497e-05,2.82853410922995,4.46896925882921e-05,0.080207594993004,0.00138442362616153
"10m","spec_sa","SA entropy","sp_rich","Species richness","Species diversity",1587,-0.0483581352704507,0.00233850924683521,3.71522524482293,1,1585,0.0540968670065475,-0.00346886603451983,2.86017498921162,0.0540968670065527,-0.0105658389362363,0.674052164445161
"10m","spec_sa","SA entropy","sp_shannon","Shannon diversity","Species diversity",1587,-0.0507673896721851,0.00257732785412749,4.09562040534273,1,1585,0.0431619427554731,-0.0139120802612676,2.85967871576848,0.043161942755473,-0.0187670822656616,0.455000706656527
"10m","spec_sa","SA entropy","sp_simpson","Simpson diversity","Species diversity",1587,-0.0457665500158254,0.00209457710035105,3.3268730962596,1,1585,0.0683445530588733,-0.0258643164199797,2.85994673349017,0.0683445530588734,-0.0228294307733565,0.363423116123307
"10m","spec_sa","SA entropy","sp_even","Species evenness","Species diversity",1587,-0.0348561560752568,0.00121495161634266,1.92804078817509,1,1585,0.165168048879613,-0.0169699529492723,2.85776277329393,0.165168048879607,-0.0297896094801637,0.235597878466984
"20m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_faith","Faith's PD","Phylogenetic diversity",360,0.221715977029582,0.0491579744701821,18.5083898143008,1,358,2.18510295275223e-05,0.00111066910076517,6.28034409346092,2.1851029527522e-05,0.298046664514973,8.07143013633494e-09
"20m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_rao","Phylogenetic Rao's Q","Phylogenetic diversity",360,0.24852110278486,0.0617627385294027,23.5665980253963,1,358,1.80545530522302e-06,0.00601946184141313,6.02919386796605,1.80545530522299e-06,0.291790060108488,1.6977145835596e-08
"20m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_afaith","Abundance-weighted Faith's PD","Phylogenetic diversity",360,0.291195656973763,0.0847949106403813,33.1691534085518,1,358,1.82028610796538e-08,0.0009482515315568,6.3081811963439,1.82028610796538e-08,0.277118650606872,9.05647752638057e-08
"20m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_rich","Species richness","Species diversity",360,-0.0674901171411455,0.00455491591172554,1.63812140163539,1,358,0.201412175501485,-0.043723790990668,7.47656595491256,0.201412175501487,-0.0064730577507376,0.902588744478677
"20m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_shannon","Shannon diversity","Species diversity",360,-0.0750573921429373,0.00563361211529866,2.02825956493491,1,358,0.15526837070962,-0.301454198493698,7.63072588549417,0.155268370709621,-0.0507485911671129,0.336976247205236
"20m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_simpson","Simpson diversity","Species diversity",360,-0.0631730028929967,0.00399082829451857,1.43444113771687,1,358,0.231833374290577,-0.784828162265703,7.72846146148587,0.231833374290576,-0.069046057454147,0.191191968920646
"20m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_even","Species evenness","Species diversity",360,-0.0199116763983462,0.000396474856992457,0.141994295971489,1,358,0.706529657072901,-0.26344698142726,7.35707868189718,0.706529657072898,-0.0584837331563772,0.268406695119665
"20m","spec_sa","SA entropy","phy_faith","Faith's PD","Phylogenetic diversity",405,0.140382080323011,0.0197071284758164,8.10163269208074,1,403,0.00464852291694665,4.95323617207661e-05,2.7997549636471,0.00464852291694653,0.211161677395393,1.82884757254702e-05
"20m","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q","Phylogenetic diversity",405,0.180373955084698,0.0325347636728966,13.5524350311067,1,403,0.000263563910251521,0.000311407870687226,2.78128046283601,0.000263563910251516,0.191805535233326,0.000102665576018052
"20m","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD","Phylogenetic diversity",405,0.165758756516707,0.0274759653619651,11.3856456462725,1,403,0.000811874427502677,3.83722652501227e-05,2.80458889101858,0.000811874427502678,0.124002268863996,0.0125097058214948
"20m","spec_sa","SA entropy","sp_rich","Species richness","Species diversity",405,-0.0286326119557448,0.000819826467408258,0.330661151128956,1,403,0.565590924647817,-0.00124645446737672,2.84749596408091,0.565590924647815,0.0194741158530955,0.695993301386457
"20m","spec_sa","SA entropy","sp_shannon","Shannon diversity","Species diversity",405,-0.0645482419454336,0.00416647553824624,1.68611479797367,1,403,0.194856464916277,-0.0169221318048921,2.86501859973515,0.194856464916278,-0.0203247582557927,0.68341627666502
"20m","spec_sa","SA entropy","sp_simpson","Simpson diversity","Species diversity",405,-0.0860027674859095,0.0073964760152354,3.00299138791455,1,403,0.0838759029965549,-0.0675935160691045,2.88781353206769,0.0838759029965552,-0.0407349601955269,0.413596546775115
"20m","spec_sa","SA entropy","sp_even","Species evenness","Species diversity",405,-0.0580776484917675,0.00337301325433331,1.36392487818837,1,403,0.243548887917421,-0.0506250648283797,2.87869012215546,0.243548887917419,-0.0396915717844363,0.425670268053762
"50m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_faith","Faith's PD","Phylogenetic diversity",74,0.282206004698475,0.0796402290878758,6.23027719762704,1,72,0.0148492854422724,0.00075778278031684,6.30552110396668,0.0148492854422724,0.32768604220659,0.00437172719707295
"50m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_rao","Phylogenetic Rao's Q","Phylogenetic diversity",74,0.443755339348242,0.196918801200073,17.6546950764035,1,72,7.49221640000885e-05,0.00941191896033385,5.35738417441559,7.49221640000889e-05,0.4546908552388,4.70681603402945e-05
"50m","spec_spca_mean","Standardized PCA mean Euclidean distance","phy_afaith","Abundance-weighted Faith's PD","Phylogenetic diversity",74,0.418752580398847,0.175353723590693,15.310162016985,1,72,0.000204733071759934,0.00024520995368623,6.38473021157698,0.000204733071759936,0.416719733432062,0.000221417879626485
"50m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_rich","Species richness","Species diversity",74,0.09200059274604,0.0084641090656227,0.61461804690756,1,72,0.435625894318764,0.0258231702863469,6.92908279668875,0.435625894318764,0.119514524346823,0.310467969787742
"50m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_shannon","Shannon diversity","Species diversity",74,0.00861894511590569,7.42862149109945e-05,0.00534900483091398,1,72,0.941899985949822,0.0259085630535952,7.27379801334447,0.941899985949821,0.0394076268048871,0.738866005977501
"50m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_simpson","Simpson diversity","Species diversity",74,-0.00896748545516929,8.04157953886728e-05,0.00579040290783981,1,72,0.939554807229045,-0.13617474581951,7.44739043233513,0.939554807229045,0.0103813402443539,0.930047052840806
"50m","spec_spca_mean","Standardized PCA mean Euclidean distance","sp_even","Species evenness","Species diversity",74,-0.107336341944514,0.0115210903020297,0.839186849216234,1,72,0.362687551374,-1.41170147472457,8.49048531053612,0.362687551374,-0.082088115512773,0.486866388462781
"50m","spec_sa","SA entropy","phy_faith","Faith's PD","Phylogenetic diversity",80,0.170649203834405,0.0291211507693164,2.33958105257577,1,78,0.130169067142278,3.61602996975768e-05,2.79850110504972,0.130169067142279,0.244725738396624,0.0286821509418468
"50m","spec_sa","SA entropy","phy_rao","Phylogenetic Rao's Q","Phylogenetic diversity",80,0.339670044773391,0.115375739316357,10.1730283315101,1,78,0.00205278699607648,0.000572401452586361,2.72760417917179,0.00205278699607649,0.424730426629161,8.61022672939301e-05
"50m","spec_sa","SA entropy","phy_afaith","Abundance-weighted Faith's PD","Phylogenetic diversity",80,0.227838204522037,0.0519102474398257,4.27069197760307,1,78,0.0420938278359521,1.05841843387123e-05,2.8069234291066,0.0420938278359526,0.280661040787623,0.0116787699051178
"50m","spec_sa","SA entropy","sp_rich","Species richness","Species diversity",80,0.0716775852249167,0.0051376762236752,0.402808243783454,1,78,0.52749976684536,0.00153196450319237,2.82332611604475,0.527499766845362,0.121087664885681,0.284647074385742
"50m","spec_sa","SA entropy","sp_shannon","Shannon diversity","Species diversity",80,0.0471013094209912,0.00221853334917196,0.173430362277886,1,78,0.678224710717653,0.0105589800042941,2.82352088854447,0.678224710717652,0.139076418190342,0.218566433304558
"50m","spec_sa","SA entropy","sp_simpson","Simpson diversity","Species diversity",80,0.000501177476405036,2.5117886285572e-07,1.9591956223793e-05,1,78,0.996479652021057,0.000564610153626654,2.84657451031782,0.996479652021055,0.11418190342241,0.313212752382394
"50m","spec_sa","SA entropy","sp_even","Species evenness","Species diversity",80,-0.0333408947923418,0.00111161526555401,0.0868024816769309,1,78,0.76906489440999,-0.0335418609262669,2.87453587645434,0.76906489440999,0.0628223159868729,0.579850094921784
