scale,quad_id,manual_excluded_50m,n_available_pixels,sampled_pixels,mean_reflectance,pc1
50m,sub50_1,FALSE,175140,250,0.24045444190636478,2.46602141317976
50m,sub50_10,FALSE,190670,250,0.24384547516552746,3.1660318161655465
50m,sub50_11,FALSE,176363,250,0.22748948332462612,-0.8379172867699167
50m,sub50_12,FALSE,169495,250,0.22105082006268356,0.025823619601990432
50m,sub50_13,FALSE,203330,250,0.22823269800335352,1.9109882224891421
50m,sub50_14,FALSE,178478,250,0.21157939117351038,-3.2880068561146802
50m,sub50_15,FALSE,172782,250,0.21721405863947013,-2.4741271551752684
50m,sub50_16,FALSE,157562,250,0.2217191683378317,-1.9155421665302144
50m,sub50_17,FALSE,170415,250,0.21188359108872035,-1.8645893750627807
50m,sub50_18,FALSE,175121,250,0.21605380926638976,-0.9840715679540434
50m,sub50_19,FALSE,200918,250,0.2320662925964152,4.966945826833996
50m,sub50_2,FALSE,164543,250,0.22187626629146123,-1.7602621522575128
50m,sub50_20,FALSE,181089,250,0.22157136477523892,-0.625201678217131
50m,sub50_21,FALSE,185088,250,0.2281600605751511,0.581814904238026
50m,sub50_22,FALSE,159220,250,0.20953510289615374,-3.5320947062712076
50m,sub50_23,FALSE,173628,250,0.22239927379846042,-1.450908945414284
50m,sub50_24,FALSE,166816,250,0.2169015101012947,-2.365153829980466
50m,sub50_25,FALSE,200712,250,0.24019811700580426,2.3198504413729757
50m,sub50_26,FALSE,168753,250,0.2259916012109573,-1.0343256210251808
50m,sub50_27,FALSE,167394,250,0.22467706394394135,-0.8428645044942802
50m,sub50_28,FALSE,178528,250,0.2267590682686899,-1.1350073240342007
50m,sub50_29,FALSE,172241,250,0.2162360840727044,-0.5598035711320053
50m,sub50_3,FALSE,170209,250,0.2305965342648743,-0.5578477412212424
50m,sub50_30,FALSE,160607,250,0.22319882012937556,-1.0971542918953971
50m,sub50_31,FALSE,187329,250,0.23647012463133504,2.8355431425363804
50m,sub50_32,FALSE,162092,250,0.21565638342329632,-2.4189937877680485
50m,sub50_33,FALSE,178883,250,0.2337863463802063,1.3345857243369181
50m,sub50_34,FALSE,182142,250,0.24310495316270309,2.111267129384191
50m,sub50_35,FALSE,193953,250,0.244465293573231,2.658096985125826
50m,sub50_36,FALSE,174203,250,0.21836164038552525,-2.1600018778746706
50m,sub50_37,FALSE,188112,250,0.22372909606518301,-0.9867273352562078
50m,sub50_38,FALSE,172053,250,0.2160662855398726,-2.463977021286999
50m,sub50_39,FALSE,201042,250,0.2388096746750684,3.7665754926483506
50m,sub50_4,FALSE,144375,250,0.21937471755135474,-0.9070182079040525
50m,sub50_40,FALSE,171408,250,0.22137253836370824,-0.6524050257922457
50m,sub50_41,FALSE,183905,250,0.23835970787401503,1.4747172601706353
50m,sub50_42,FALSE,177583,250,0.24133070938231055,1.2521187126884041
50m,sub50_43,FALSE,180378,250,0.22839279729800976,0.31465658376510547
50m,sub50_44,FALSE,152090,250,0.19738485672668177,-4.595933526688707
50m,sub50_45,FALSE,196375,250,0.2311420744503194,3.636451904669645
50m,sub50_46,FALSE,178822,250,0.2287957085063296,0.2801498623376273
50m,sub50_47,FALSE,180256,250,0.2202007839464845,-1.4285726868519446
50m,sub50_48,FALSE,141246,250,0.22161419250480524,-1.904869737604453
50m,sub50_49,FALSE,206958,250,0.23792835100047474,2.2446458821176924
50m,sub50_5,FALSE,176981,250,0.22568990955707302,-0.5368574067702273
50m,sub50_50,FALSE,192715,250,0.23775161395549835,1.2794768927889324
50m,sub50_51,FALSE,200631,250,0.24885116268688243,3.6152566390256218
50m,sub50_52,FALSE,148734,250,0.18359461720165035,-8.202230936135576
50m,sub50_53,TRUE,73073,250,0.17117793319806118,-10.81052624896281
50m,sub50_54,FALSE,156070,250,0.2384611956933702,3.810038378300782
50m,sub50_55,FALSE,175675,250,0.22682090387167841,-1.3019269488858394
50m,sub50_56,FALSE,145500,250,0.22172630828929574,-1.7495001549118607
50m,sub50_57,FALSE,194198,250,0.2579997699289421,4.968344242563824
50m,sub50_58,FALSE,189724,250,0.25104622591605547,4.401236303751718
50m,sub50_59,FALSE,182287,250,0.24266545525645022,0.8724597909542264
50m,sub50_6,FALSE,154062,250,0.20525894594994135,-3.9165447971152667
50m,sub50_60,FALSE,164492,250,0.21301154416737778,-2.7091840561896947
50m,sub50_61,FALSE,121379,250,0.1908938679406766,-7.1912207630928995
50m,sub50_62,TRUE,48957,250,0.20555897225148798,1.3474728784057435
50m,sub50_63,FALSE,184856,250,0.2479696542731494,3.988981576177667
50m,sub50_64,FALSE,159846,250,0.20823251640960605,-4.558471742108572
50m,sub50_65,FALSE,190561,250,0.26534950012832204,5.526677683627143
50m,sub50_66,FALSE,194951,250,0.2573036489559738,4.7816675607891215
50m,sub50_67,FALSE,194915,250,0.24937498508892522,4.038781524186453
50m,sub50_68,FALSE,180561,250,0.24057222739950376,1.028705540993686
50m,sub50_69,FALSE,150307,250,0.24913530396325667,1.7434022988598221
50m,sub50_7,FALSE,186194,250,0.2385313221080506,3.103036872250579
50m,sub50_70,TRUE,24627,250,0.24465684412464822,1.4751267532266306
50m,sub50_71,TRUE,61012,250,0.2390436089364581,0.7791163621638808
50m,sub50_72,FALSE,185114,250,0.2095327162365429,-1.6802120113243397
50m,sub50_73,FALSE,165703,250,0.24894696456291673,2.5184289573757055
50m,sub50_74,FALSE,185454,250,0.2534547763709402,3.546820801611093
50m,sub50_75,FALSE,206301,250,0.2560724117941924,5.5471069124673935
50m,sub50_76,FALSE,196683,250,0.25870143691666253,5.69662239594552
50m,sub50_77,FALSE,182980,250,0.2463334226077461,2.1627674707989355
50m,sub50_78,FALSE,128427,250,0.24364315989845978,1.2688364153738787
50m,sub50_79,TRUE,849,250,0.20657065255501816,-1.4578892148964662
50m,sub50_8,FALSE,187893,250,0.23697919531582184,2.2222450790705786
50m,sub50_80,TRUE,19089,250,0.19312949875378904,-4.989345255366296
50m,sub50_9,FALSE,167680,250,0.2275267559030788,-0.23530598080364895
