"pca_basis","pca_label","analysis_level","pc_axis","n_rows","n_quadrats","pearson_r","r_squared","p_value","conf_low","conf_high"
"regular_PCA","Regular PCA","pixel_level","PC1",20000,80,0.893074273741411,0.797581658418748,0,0.8902337615845,0.895845329910288
"regular_PCA","Regular PCA","quadrat_mean_level","PC1",80,80,0.925359916827579,0.856290975671144,1.34636015992139e-34,0.885726450250848,0.951600130586791
"regular_PCA","Regular PCA","pixel_level","PC2",20000,80,-0.426809639987404,0.182166468786178,0,-0.438077498521191,-0.415407684150629
"regular_PCA","Regular PCA","quadrat_mean_level","PC2",80,80,-0.627785351591022,0.394114447672263,4.59129628254374e-10,-0.744772075150791,-0.473361612602916
"regular_PCA","Regular PCA","pixel_level","PC3",20000,80,0.0336759751681358,0.0011340713035249,1.90211336604113e-06,0.0198260380699031,0.0475129901636411
"regular_PCA","Regular PCA","quadrat_mean_level","PC3",80,80,0.56526499727635,0.319524517145832,4.68858515396199e-08,0.394550603801682,0.698259296335723
"standardized_PCA","Standardized PCA","pixel_level","PC1",20000,80,-0.117767741810613,0.0138692410111711,1.07152797491107e-62,-0.13141244528601,-0.104078424688458
"standardized_PCA","Standardized PCA","quadrat_mean_level","PC1",80,80,-0.348246015407153,0.121275287246959,0.0015481712876738,-0.527593791127119,-0.139178431156012
"standardized_PCA","Standardized PCA","pixel_level","PC2",20000,80,-0.331173361819163,0.109675795578606,0,-0.343456158917306,-0.318777293797742
"standardized_PCA","Standardized PCA","quadrat_mean_level","PC2",80,80,0.0597746261616022,0.0035730059327593,0.598403745699106,-0.162070826459186,0.275868405918934
"standardized_PCA","Standardized PCA","pixel_level","PC3",20000,80,0.110240088465861,0.0121528771049608,4.07434309566278e-55,0.0965283778839062,0.123909964409309
"standardized_PCA","Standardized PCA","quadrat_mean_level","PC3",80,80,-0.265605056885707,0.0705460462432597,0.0172566015677784,-0.458561271650302,-0.048732062446136
