"pca_basis","pca_label","region_type","start_nm","end_nm","n_bands","dominant_zone","peak_wavelength_nm","peak_value","loading_sign"
"regular_PCA","Regular PCA","PC1 departure from uniform brightness",398,403,2,"violet-blue",398,-4.9442391520912,"negative"
"regular_PCA","Regular PCA","PC1 departure from uniform brightness",933,963,7,"longer near infrared",938,-2.28059559360751,"negative"
"regular_PCA","Regular PCA","PC1 departure from uniform brightness",983,998,4,"longer near infrared",998,-2.36409594937313,"negative"
"regular_PCA","Regular PCA","PC2 nonuniform loading",498,508,3,"blue-green",503,1.17621939782915,"positive"
"regular_PCA","Regular PCA","PC2 nonuniform loading",643,683,9,"red",663,1.24217042775941,"positive"
"regular_PCA","Regular PCA","PC2 nonuniform loading",888,888,1,"near infrared",888,-1.16681818912709,"negative"
"regular_PCA","Regular PCA","PC2 strong while PC1 is relatively flat",498,508,3,"blue-green",503,1.17621939782915,"positive"
"regular_PCA","Regular PCA","PC2 strong while PC1 is relatively flat",643,673,7,"red",663,1.24217042775941,"positive"
"regular_PCA","Regular PCA","PC2 strong while PC1 is relatively flat",683,683,1,"red-edge",683,1.19961193882414,"positive"
"regular_PCA","Regular PCA","PC2 strong while PC1 is relatively flat",888,888,1,"near infrared",888,-1.16681818912709,"negative"
"standardized_PCA","Standardized PCA","PC1 departure from uniform brightness",843,903,13,"near infrared",873,-1.45605276653994,"negative"
"standardized_PCA","Standardized PCA","PC2 nonuniform loading",753,813,13,"near infrared",793,-1.73940488645838,"negative"
"standardized_PCA","Standardized PCA","PC2 strong while PC1 is relatively flat",753,778,6,"near infrared",778,-1.72086692311445,"negative"
