"wavelength_nm","mean_reflectance","sampled_pixels","source"
"398","0.022834522943352","240","50m_smooth_5nm_sunlit_sample"
"403","0.0220466139512913","240","50m_smooth_5nm_sunlit_sample"
"408","0.0209490840129244","240","50m_smooth_5nm_sunlit_sample"
"413","0.0194627766051174","240","50m_smooth_5nm_sunlit_sample"
"418","0.018008134450065","240","50m_smooth_5nm_sunlit_sample"
"423","0.0170259193885916","240","50m_smooth_5nm_sunlit_sample"
"428","0.0170043423849468","240","50m_smooth_5nm_sunlit_sample"
"433","0.0172048275494793","240","50m_smooth_5nm_sunlit_sample"
"438","0.0172363359597512","240","50m_smooth_5nm_sunlit_sample"
"443","0.0172249571265032","240","50m_smooth_5nm_sunlit_sample"
"448","0.0172952404420357","240","50m_smooth_5nm_sunlit_sample"
"453","0.0175365284162884","240","50m_smooth_5nm_sunlit_sample"
"458","0.0177622430298167","240","50m_smooth_5nm_sunlit_sample"
"463","0.0180169007275254","240","50m_smooth_5nm_sunlit_sample"
"468","0.018516673745277","240","50m_smooth_5nm_sunlit_sample"
"473","0.0192287385948778","240","50m_smooth_5nm_sunlit_sample"
"478","0.0199431274357873","240","50m_smooth_5nm_sunlit_sample"
"483","0.0205572641338222","240","50m_smooth_5nm_sunlit_sample"
"488","0.0208909910346847","240","50m_smooth_5nm_sunlit_sample"
"493","0.0212799230008386","240","50m_smooth_5nm_sunlit_sample"
"498","0.0219373815460131","240","50m_smooth_5nm_sunlit_sample"
"503","0.0230801601389733","240","50m_smooth_5nm_sunlit_sample"
"508","0.0251866069079066","240","50m_smooth_5nm_sunlit_sample"
"513","0.0288021710662482","240","50m_smooth_5nm_sunlit_sample"
"518","0.0339183798447872","240","50m_smooth_5nm_sunlit_sample"
"523","0.0402293679149201","240","50m_smooth_5nm_sunlit_sample"
"528","0.0464559374920403","240","50m_smooth_5nm_sunlit_sample"
"533","0.0514946126146242","240","50m_smooth_5nm_sunlit_sample"
"538","0.055149230073827","240","50m_smooth_5nm_sunlit_sample"
"543","0.0578351536765695","240","50m_smooth_5nm_sunlit_sample"
