scale,quad_id,n_pixels,sample_rule,rule_type,rule_value,sample_size,sample_fraction,bootstrap_iter,spectral_entropy,pair_method,pair_count_used,rule_label,rule_axis_label,sample_label,plot_sample_label,selection_note,source_method,source_entropy,scale_quad
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,1,2.8880497688879294,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,2,3.548988357849992,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,3,2.9588011229728663,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,4,2.9686367700441108,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,5,2.8768075393011996,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,6,2.880620015027951,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,7,2.8427870798794017,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,8,2.8135117550639026,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,9,2.901526895972693,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,10,3.4470216262530475,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,11,2.9243345268567897,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,12,3.4483891958464303,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,13,3.4925901604330356,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,14,2.7873827196061076,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,15,2.796577816128002,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,16,3.54883996110125,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,17,2.895672405489842,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,18,3.386245454760758,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,19,2.913428654837585,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,20,2.960608939708705,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,21,2.847053941562836,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,22,2.9270489284155623,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,23,3.456160099452071,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,24,2.855861161718815,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,25,3.534849013708834,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,26,2.8798798474405594,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,27,3.464818357840328,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,28,2.784561813767808,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,29,2.8247149417252024,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,30,3.525543839304764,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,31,3.548153367655015,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,32,2.837636054506932,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,33,2.84604605649623,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,34,2.844362859465994,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
10m,1104_b,9423,pct_1,percent,0.01,94,0.009975591637482755,35,2.972923918751978,all_pairs_within_sample,4371,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",Additional random bootstrap-mean quadrat selected with seed 20260703,bootstrap_mean,2.85896810854118,"10m / 1104_b
n = 9,423 px"
