scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1104_b,pct_1,94,0.009975591637482755,50,6.2931741342701075,6.20935159839668,0.5124148514277197,5.3478818779924735,8.236317808464793,all_sampled_pixels,94,94,0.08142391112893468,0.07246640324504756,6.147547444785038,6.4388008237551775,6.294566206246388,-0.001392071976280107,percent,0.01,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_2,188,0.01995118327496551,50,6.272568629680695,6.24231242104039,0.320249271497091,5.49852393270815,7.0898596683914175,all_sampled_pixels,188,188,0.05105552292911194,0.04529008630912895,6.1815547937464235,6.363582465614966,6.294566206246388,-0.02199757656569279,percent,0.02,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_3,283,0.030032898227740634,50,6.307800177362421,6.328256568076178,0.2901434093482653,5.635352864114409,7.098515995341743,all_sampled_pixels,283,283,0.045997558766927765,0.041032474453348546,6.225342332782834,6.390258021942008,6.294566206246388,0.013233971116033416,percent,0.03,3% of pixels,3%,3% of pixels = 283 pixels (3.0%),"3%
283 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_1250,1250,0.13265414411546217,50,6.251509314915475,6.2542175797090795,0.10690759178867927,6.031264371823973,6.490129463924963,all_sampled_pixels,1250,1250,0.017101084938577708,0.015119016622819675,6.2211265135005105,6.281892116330439,6.294566206246388,-0.04305689133091306,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (13.3%)","1,250
13.3%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_2000,2000,0.21224663058473947,50,6.284988411423886,6.274164930552671,0.07971254354017292,6.1402598803232395,6.5006809813309445,all_sampled_pixels,2000,2000,0.012683005651256843,0.011273056016576839,6.2623343572062025,6.30764246564157,6.294566206246388,-0.009577794822501318,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (21.2%)","2,000
21.2%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_3000,3000,0.3183699458771092,50,6.2760168284448,6.281773375760811,0.06459557605714385,6.155422088343012,6.437300364992029,all_sampled_pixels,3000,3000,0.010292447873048591,0.00913519397293156,6.257658968850425,6.294374688039175,6.294566206246388,-0.018549377801587497,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (31.8%)","3,000
31.8%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_4000,4000,0.42449326116947894,50,6.294566206246388,6.295461841143089,0.06108932126066042,6.1546817052989224,6.396550123567553,all_sampled_pixels,4000,4000,0.009705088366540441,0.008639334664299302,6.27720481323974,6.3119275992530355,6.294566206246388,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (42.4%)","4,000
42.4%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_1,76,0.009934640522875817,50,6.475966129736875,6.423110189591666,0.38009528989302066,5.471760000590372,7.517144529674418,all_sampled_pixels,76,76,0.058693217703481765,0.0537535913960843,6.367944243560541,6.583988015913209,6.531389828048057,-0.055423698311181546,percent,0.01,1% of pixels,1%,1% of pixels = 76 pixels (1.0%),"1%
76 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_2,153,0.02,50,6.500519260593111,6.497669375220003,0.31217491583616874,5.844090331514321,7.278516851139812,all_sampled_pixels,153,153,0.048023073745601934,0.04414819998081893,6.411800131147828,6.589238390038394,6.531389828048057,-0.03087056745494543,percent,0.02,2% of pixels,2%,2% of pixels = 153 pixels (2.0%),"2%
153 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_3,230,0.030065359477124184,50,6.485289449436983,6.474699926394107,0.1662708789861757,6.166479011002818,6.813549587345904,all_sampled_pixels,230,230,0.025638158525154255,0.023514253208994532,6.438035788468601,6.532543110405364,6.531389828048057,-0.04610037861107408,percent,0.03,3% of pixels,3%,3% of pixels = 230 pixels (3.0%),"3%
230 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
