scale,quad_id,n_pixels,sample_rule,rule_type,rule_value,rule_label,rule_axis_label,sample_label,sample_size,sample_fraction,source_method,source_entropy,n_boot,entropy_mean,entropy_sd,entropy_cv,entropy_se,ci_t,ci_half_width,ci_low,ci_high,entropy_min,entropy_max,pair_method,fixed_4000_reference,delta_from_fixed_4000,scale_quad,quad_axis_label
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),94,0.009975591637482755,bootstrap_mean,2.85896810854118,50,3.0510571937619377,0.2819131364332345,0.09239850928052813,0.03986853809550169,2.0095752371292397,0.08011882689726393,2.9709383668646736,3.131176020659202,2.7716101738941537,3.548988357849992,all_pairs_within_sample,2.8554223236268625,0.1956348701350752,"10m / 1104_b
n = 9,423 px","1104_b
n = 9,423 px"
10m,1104_b,9423,pct_2,percent,0.02,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),188,0.01995118327496551,bootstrap_mean,2.85896810854118,50,2.863731835243055,0.1351056308720144,0.04717817122724674,0.01910682155321759,2.0095752371292397,0.03839659545359331,2.825335239789462,2.9021284306966484,2.7103595077657943,3.4852760522190427,all_pairs_within_sample,2.8554223236268625,0.008309511616192644,"10m / 1104_b
n = 9,423 px","1104_b
n = 9,423 px"
10m,1104_b,9423,pct_3,percent,0.03,3% of pixels,3%,3% of pixels = 283 pixels (3.0%),283,0.030032898227740634,bootstrap_mean,2.85896810854118,50,2.8593963495971733,0.04196967635180833,0.014677810006199716,0.00593540855051367,2.0095752371292397,0.011927650045357426,2.8474686995518157,2.871323999642531,2.78122541863604,2.9709765077306876,all_pairs_within_sample,2.8554223236268625,0.003974025970310713,"10m / 1104_b
n = 9,423 px","1104_b
n = 9,423 px"
10m,1104_b,9423,fixed_1250,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (13.3%)",1250,0.13265414411546217,bootstrap_mean,2.85896810854118,50,2.8603196156126076,0.016551830849889395,0.0057867067580643135,0.002340782367001897,2.0095752371292397,0.004703978280235781,2.855615637332372,2.8650235938928432,2.818320239156742,2.8917918831896627,sampled_pairs_within_sample,2.8554223236268625,0.004897291985745067,"10m / 1104_b
n = 9,423 px","1104_b
n = 9,423 px"
10m,1104_b,9423,fixed_2000,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (21.2%)",2000,0.21224663058473947,bootstrap_mean,2.85896810854118,50,2.8579009859133504,0.014653409349631915,0.005127332759902759,0.0020723050237254166,2.0095752371292397,0.004164452859457119,2.853736533053893,2.8620654387728077,2.8319630831451104,2.8976554618637738,sampled_pairs_within_sample,2.8554223236268625,0.002478662286487854,"10m / 1104_b
n = 9,423 px","1104_b
n = 9,423 px"
10m,1104_b,9423,fixed_3000,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (31.8%)",3000,0.3183699458771092,bootstrap_mean,2.85896810854118,50,2.857949197535368,0.013254183977412617,0.004637655556943675,0.0018744246739045094,2.0095752371292397,0.0037667974085425523,2.8541824001268257,2.8617159949439106,2.8240959235242453,2.8893857238332505,sampled_pairs_within_sample,2.8554223236268625,0.002526873908505589,"10m / 1104_b
n = 9,423 px","1104_b
n = 9,423 px"
10m,1104_b,9423,fixed_4000,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (42.4%)",4000,0.42449326116947894,bootstrap_mean,2.85896810854118,50,2.8554223236268625,0.011457541970496952,0.004012555997651501,0.0016203411246135744,2.0095752371292397,0.0032561973997255827,2.852166126227137,2.858678521026588,2.830799894924975,2.8913429500449155,sampled_pairs_within_sample,2.8554223236268625,0,"10m / 1104_b
n = 9,423 px","1104_b
n = 9,423 px"
10m,1110_a,7650,pct_1,percent,0.01,1% of pixels,1%,1% of pixels = 76 pixels (1.0%),76,0.009934640522875817,bootstrap_mean,2.64896242408516,50,3.230313912930788,0.21302588512040171,0.06594587735503647,0.030126409587380498,2.0095752371292397,0.06054128669041276,3.169772626240375,3.290855199621201,2.6667089561958357,3.506255713731254,all_pairs_within_sample,2.6464435297991575,0.5838703831316305,"10m / 1110_a
n = 7,650 px","1110_a
n = 7,650 px"
10m,1110_a,7650,pct_2,percent,0.02,2% of pixels,2%,2% of pixels = 153 pixels (2.0%),153,0.02,bootstrap_mean,2.64896242408516,50,3.058585838653039,0.3157861551844407,0.10324580438242949,0.044658906347149085,2.0095752371292397,0.08974543231250463,2.9688404063405343,3.1483312709655435,2.580631073873964,3.3731055548714948,all_pairs_within_sample,2.6464435297991575,0.41214230885388137,"10m / 1110_a
n = 7,650 px","1110_a
n = 7,650 px"
10m,1110_a,7650,pct_3,percent,0.03,3% of pixels,3%,3% of pixels = 230 pixels (3.0%),230,0.030065359477124184,bootstrap_mean,2.64896242408516,50,2.768849407381975,0.2601282509272545,0.09394813969793073,0.036787690041771494,2.0095752371292397,0.07392763093912992,2.694921776442845,2.8427770383211053,2.5773508963913923,3.4508050871239964,all_pairs_within_sample,2.6464435297991575,0.12240587758281762,"10m / 1110_a
n = 7,650 px","1110_a
n = 7,650 px"
