scale,quad_id,selection_note,raster_file,summary_csv,source_n_pixels,source_method,source_entropy,sample_rule,rule_type,rule_value,rule_label,rule_axis_label,applicable_scales,sample_size,sample_fraction,sample_label,plot_sample_label
10m,1104_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1104_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9423,bootstrap_mean,2.85896810854118,pct_1,percent,0.01,1% of pixels,1%,all,94,0.00997559163748275,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1104_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9423,bootstrap_mean,2.85896810854118,pct_2,percent,0.02,2% of pixels,2%,all,188,0.01995118327496551,2% of pixels = 188 pixels (2.0%),"2%
188 px"
10m,1104_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1104_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9423,bootstrap_mean,2.85896810854118,pct_3,percent,0.03,3% of pixels,3%,all,283,0.03003289822774063,3% of pixels = 283 pixels (3.0%),"3%
283 px"
10m,1104_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1104_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9423,bootstrap_mean,2.85896810854118,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.13265414411546217,"Fixed 1,250 (13.3%)","1,250
13.3%"
10m,1104_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1104_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9423,bootstrap_mean,2.85896810854118,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.21224663058473947,"Fixed 2,000 (21.2%)","2,000
21.2%"
10m,1104_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1104_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9423,bootstrap_mean,2.85896810854118,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.3183699458771092,"Fixed 3,000 (31.8%)","3,000
31.8%"
10m,1104_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1104_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,9423,bootstrap_mean,2.85896810854118,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.42449326116947894,"Fixed 4,000 (42.4%)","4,000
42.4%"
10m,1110_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1110_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7650,bootstrap_mean,2.64896242408516,pct_1,percent,0.01,1% of pixels,1%,all,76,0.00993464052287581,1% of pixels = 76 pixels (1.0%),"1%
76 px"
10m,1110_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1110_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7650,bootstrap_mean,2.64896242408516,pct_2,percent,0.02,2% of pixels,2%,all,153,0.02,2% of pixels = 153 pixels (2.0%),"2%
153 px"
10m,1110_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1110_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7650,bootstrap_mean,2.64896242408516,pct_3,percent,0.03,3% of pixels,3%,all,230,0.03006535947712418,3% of pixels = 230 pixels (3.0%),"3%
230 px"
10m,1110_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1110_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7650,bootstrap_mean,2.64896242408516,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.16339869281045752,"Fixed 1,250 (16.3%)","1,250
16.3%"
10m,1110_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1110_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7650,bootstrap_mean,2.64896242408516,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.26143790849673204,"Fixed 2,000 (26.1%)","2,000
26.1%"
10m,1110_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1110_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7650,bootstrap_mean,2.64896242408516,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.392156862745098,"Fixed 3,000 (39.2%)","3,000
39.2%"
10m,1110_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1110_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7650,bootstrap_mean,2.64896242408516,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.5228758169934641,"Fixed 4,000 (52.3%)","4,000
52.3%"
10m,1124_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1124_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8301,bootstrap_mean,2.95196559179526,pct_1,percent,0.01,1% of pixels,1%,all,83,0.00999879532586435,1% of pixels = 83 pixels (1.0%),"1%
83 px"
10m,1124_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1124_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8301,bootstrap_mean,2.95196559179526,pct_2,percent,0.02,2% of pixels,2%,all,166,0.01999759065172871,2% of pixels = 166 pixels (2.0%),"2%
166 px"
10m,1124_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1124_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8301,bootstrap_mean,2.95196559179526,pct_3,percent,0.03,3% of pixels,3%,all,249,0.02999638597759306,3% of pixels = 249 pixels (3.0%),"3%
249 px"
10m,1124_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1124_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8301,bootstrap_mean,2.95196559179526,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.15058426695578847,"Fixed 1,250 (15.1%)","1,250
15.1%"
10m,1124_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1124_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8301,bootstrap_mean,2.95196559179526,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.2409348271292615,"Fixed 2,000 (24.1%)","2,000
24.1%"
10m,1124_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1124_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8301,bootstrap_mean,2.95196559179526,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.3614022406938923,"Fixed 3,000 (36.1%)","3,000
36.1%"
10m,1124_a,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1124_a,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8301,bootstrap_mean,2.95196559179526,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.4818696542585231,"Fixed 4,000 (48.2%)","4,000
48.2%"
10m,112_b,Original random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/112_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7340,bootstrap_mean,3.06860627904306,pct_1,percent,0.01,1% of pixels,1%,all,73,0.00994550408719346,1% of pixels = 73 pixels (1.0%),"1%
73 px"
10m,112_b,Original random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/112_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7340,bootstrap_mean,3.06860627904306,pct_2,percent,0.02,2% of pixels,2%,all,147,0.02002724795640327,2% of pixels = 147 pixels (2.0%),"2%
147 px"
10m,112_b,Original random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/112_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7340,bootstrap_mean,3.06860627904306,pct_3,percent,0.03,3% of pixels,3%,all,220,0.02997275204359673,3% of pixels = 220 pixels (3.0%),"3%
220 px"
10m,112_b,Original random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/112_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7340,bootstrap_mean,3.06860627904306,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.17029972752043596,"Fixed 1,250 (17.0%)","1,250
17.0%"
10m,112_b,Original random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/112_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7340,bootstrap_mean,3.06860627904306,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.2724795640326976,"Fixed 2,000 (27.2%)","2,000
27.2%"
10m,112_b,Original random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/112_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7340,bootstrap_mean,3.06860627904306,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.4087193460490463,"Fixed 3,000 (40.9%)","3,000
40.9%"
10m,112_b,Original random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/112_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7340,bootstrap_mean,3.06860627904306,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.5449591280653951,"Fixed 4,000 (54.5%)","4,000
54.5%"
10m,114_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/114_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7239,bootstrap_mean,3.02026959455353,pct_1,percent,0.01,1% of pixels,1%,all,72,0.0099461251554082,1% of pixels = 72 pixels (1.0%),"1%
72 px"
10m,114_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/114_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7239,bootstrap_mean,3.02026959455353,pct_2,percent,0.02,2% of pixels,2%,all,145,0.02003039093797486,2% of pixels = 145 pixels (2.0%),"2%
145 px"
10m,114_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/114_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7239,bootstrap_mean,3.02026959455353,pct_3,percent,0.03,3% of pixels,3%,all,217,0.02997651609338306,3% of pixels = 217 pixels (3.0%),"3%
217 px"
10m,114_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/114_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7239,bootstrap_mean,3.02026959455353,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.17267578394805913,"Fixed 1,250 (17.3%)","1,250
17.3%"
10m,114_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/114_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7239,bootstrap_mean,3.02026959455353,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.2762812543168946,"Fixed 2,000 (27.6%)","2,000
27.6%"
10m,114_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/114_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7239,bootstrap_mean,3.02026959455353,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.4144218814753419,"Fixed 3,000 (41.4%)","3,000
41.4%"
10m,114_b,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/114_b,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7239,bootstrap_mean,3.02026959455353,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.5525625086337892,"Fixed 4,000 (55.3%)","4,000
55.3%"
10m,11_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/11_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6199,bootstrap_mean,2.71753081990538,pct_1,percent,0.01,1% of pixels,1%,all,62,0.01000161316341345,1% of pixels = 62 pixels (1.0%),"1%
62 px"
10m,11_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/11_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6199,bootstrap_mean,2.71753081990538,pct_2,percent,0.02,2% of pixels,2%,all,124,0.0200032263268269,2% of pixels = 124 pixels (2.0%),"2%
124 px"
10m,11_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/11_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6199,bootstrap_mean,2.71753081990538,pct_3,percent,0.03,3% of pixels,3%,all,186,0.03000483949024036,3% of pixels = 186 pixels (3.0%),"3%
186 px"
10m,11_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/11_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6199,bootstrap_mean,2.71753081990538,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.2016454266817229,"Fixed 1,250 (20.2%)","1,250
20.2%"
10m,11_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/11_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6199,bootstrap_mean,2.71753081990538,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.32263268269075657,"Fixed 2,000 (32.3%)","2,000
32.3%"
10m,11_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/11_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6199,bootstrap_mean,2.71753081990538,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.4839490240361349,"Fixed 3,000 (48.4%)","3,000
48.4%"
10m,11_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/11_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,6199,bootstrap_mean,2.71753081990538,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.6452653653815131,"Fixed 4,000 (64.5%)","4,000
64.5%"
10m,120_d,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/120_d,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7068,bootstrap_mean,2.81525116144607,pct_1,percent,0.01,1% of pixels,1%,all,71,0.01004527447651386,1% of pixels = 71 pixels (1.0%),"1%
71 px"
10m,120_d,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/120_d,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7068,bootstrap_mean,2.81525116144607,pct_2,percent,0.02,2% of pixels,2%,all,141,0.0199490662139219,2% of pixels = 141 pixels (2.0%),"2%
141 px"
10m,120_d,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/120_d,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7068,bootstrap_mean,2.81525116144607,pct_3,percent,0.03,3% of pixels,3%,all,212,0.02999434069043576,3% of pixels = 212 pixels (3.0%),"3%
212 px"
10m,120_d,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/120_d,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7068,bootstrap_mean,2.81525116144607,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.17685342388228636,"Fixed 1,250 (17.7%)","1,250
17.7%"
10m,120_d,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/120_d,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7068,bootstrap_mean,2.81525116144607,fixed_2000,fixed,2000,"Fixed 2,000","2,000","10m,20m",2000,0.2829654782116582,"Fixed 2,000 (28.3%)","2,000
28.3%"
10m,120_d,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/120_d,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7068,bootstrap_mean,2.81525116144607,fixed_3000,fixed,3000,"Fixed 3,000","3,000","10m,20m",3000,0.4244482173174873,"Fixed 3,000 (42.4%)","3,000
42.4%"
10m,120_d,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/120_d,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,7068,bootstrap_mean,2.81525116144607,fixed_4000,fixed,4000,"Fixed 4,000","4,000",all,4000,0.5659309564233164,"Fixed 4,000 (56.6%)","4,000
56.6%"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,pct_1,percent,0.01,1% of pixels,1%,all,80,0.0099663635231095,1% of pixels = 80 pixels (1.0%),"1%
80 px"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,pct_2,percent,0.02,2% of pixels,2%,all,161,0.02005730659025788,2% of pixels = 161 pixels (2.0%),"2%
161 px"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,pct_3,percent,0.03,3% of pixels,3%,all,241,0.03002367011336738,3% of pixels = 241 pixels (3.0%),"3%
241 px"
10m,1305_c,Additional random bootstrap-mean quadrat selected with seed 20260703,Quad_Spectra/10m_smooth_5nm/1305_c,Quad_Values/10m_SA_entropy_smooth_masked_5nm_summary.csv,8027,bootstrap_mean,2.94484543401492,fixed_1250,fixed,1250,"Fixed 1,250","1,250",all,1250,0.15572443004858602,"Fixed 1,250 (15.6%)","1,250
15.6%"
