scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1104_b,pct_1,94,0.009975591637482755,50,113.50408021096345,108.91505596404468,25.665102648262494,71.78967985055849,223.78793927374699,squared_euclidean_pc1_pc3,94,94,0.22611612376013493,3.6295936244870455,106.21013874235211,120.79802167957479,112.81135255524777,0.6927276557156858,percent,0.01,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_2,188,0.01995118327496551,50,111.91270385411886,109.79001013759887,15.938532918624109,83.12455234861154,156.42602390114834,squared_euclidean_pc1_pc3,188,188,0.14241933551529953,2.2540489417848244,107.38302291743071,116.44238479080701,112.81135255524777,-0.8986487011289057,percent,0.02,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_3,283,0.030032898227740634,50,111.70164234195931,110.4308279303019,14.083808428219951,83.70234170886891,166.69358223028198,squared_euclidean_pc1_pc3,283,283,0.12608416611372908,1.9917512889053157,107.69906827325495,115.70421641066368,112.81135255524777,-1.1097102132884515,percent,0.03,3% of pixels,3%,3% of pixels = 283 pixels (3.0%),"3%
283 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_1250,1250,0.13265414411546217,50,111.21595856617651,110.47171214981242,5.868033510552336,99.22429445705326,126.28757223341,squared_euclidean_pc1_pc3,1250,1250,0.05276251345764103,0.8298652575082918,109.54828189453397,112.88363523781905,112.81135255524777,-1.5953939890712547,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (13.3%)","1,250
13.3%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_2000,2000,0.21224663058473947,50,112.73156016658035,112.48670023968218,4.054520067586646,106.66906886147028,127.24119668297752,squared_euclidean_pc1_pc3,2000,2000,0.035966148801590186,0.5733957268494912,111.5792783128279,113.8838420203328,112.81135255524777,-0.07979238866741412,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (21.2%)","2,000
21.2%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_3000,3000,0.3183699458771092,50,112.335122369864,111.75802476759841,3.1178867652883206,106.3279931541028,121.00054172429222,squared_euclidean_pc1_pc3,3000,3000,0.02775522650006702,0.4409357749414322,111.4490287553773,113.22121598435069,112.81135255524777,-0.4762301853837698,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (31.8%)","3,000
31.8%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_4000,4000,0.42449326116947894,50,112.81135255524777,112.20025715555363,2.927076798108609,104.44087184903506,118.55209139342135,squared_euclidean_pc1_pc3,4000,4000,0.025946651040063672,0.4139511705992808,111.97948653343079,113.64321857706474,112.81135255524777,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (42.4%)","4,000
42.4%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_1,76,0.009934640522875817,50,108.3073977980531,108.29648462433241,12.047645951070024,79.81051347566657,146.79731075076708,squared_euclidean_pc1_pc3,76,76,0.1112356699173377,1.7037944298672532,104.88349470263314,111.73130089347306,109.45125225157601,-1.1438544535229056,percent,0.01,1% of pixels,1%,1% of pixels = 76 pixels (1.0%),"1%
76 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_2,153,0.02,50,108.23893399885263,106.7149478450964,9.928918633328617,88.43375767380411,136.92124667193823,squared_euclidean_pc1_pc3,153,153,0.09173148946047333,1.4041611390952267,105.41716654478768,111.06070145291758,109.45125225157601,-1.212318252723378,percent,0.02,2% of pixels,2%,2% of pixels = 153 pixels (2.0%),"2%
153 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_3,230,0.030065359477124184,50,108.02797950071998,107.34105800782143,5.276294971144861,99.00812601275777,119.46442605007722,squared_euclidean_pc1_pc3,230,230,0.04884192961425975,0.746180790727402,106.52847306125268,109.52748594018728,109.45125225157601,-1.4232727508560288,percent,0.03,3% of pixels,3%,3% of pixels = 230 pixels (3.0%),"3%
230 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_1250,1250,0.16339869281045752,50,109.65308790853729,108.99090239123078,3.497901881198955,102.9172419305283,119.02321549968438,squared_euclidean_pc1_pc3,1250,1250,0.03189971160790829,0.4946780280241924,108.65899519306795,110.64718062400662,109.45125225157601,0.20183565696127914,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (16.3%)","1,250
16.3%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_2000,2000,0.26143790849673204,50,109.49191256020185,109.57431318010066,2.1190479740667083,105.32708259670945,114.43616659970502,squared_euclidean_pc1_pc3,2000,2000,0.0193534656991364,0.2996786384244369,108.8896857893275,110.0941393310762,109.45125225157601,0.04066030862584569,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (26.1%)","2,000
26.1%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_3000,3000,0.39215686274509803,50,109.2898907122611,109.35089106159916,1.5260313361950861,106.5031382947089,113.96692695914123,squared_euclidean_pc1_pc3,3000,3000,0.01396315181806548,0.2158134212253427,108.85619740512651,109.72358401939569,109.45125225157601,-0.16136153931491037,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (39.2%)","3,000
39.2%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,fixed_4000,4000,0.5228758169934641,50,109.45125225157601,109.36259978808684,1.1401024123315848,107.3845330146765,111.74741345543158,squared_euclidean_pc1_pc3,4000,4000,0.01041653145923845,0.16123482940136097,109.12723873104828,109.77526577210374,109.45125225157601,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (52.3%)","4,000
52.3%",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_1,83,0.009998795325864354,50,134.90459965276273,134.1851803551064,17.385538126145665,101.66265815540446,175.13257920610096,squared_euclidean_pc1_pc3,83,83,0.1288728343651374,2.458686380714972,129.963684386211,139.84551491931444,137.91012600794974,-3.0055263551870155,percent,0.01,1% of pixels,1%,1% of pixels = 83 pixels (1.0%),"1%
83 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_2,166,0.01999759065172871,50,137.692825387775,138.29546240059608,12.671349990646323,113.81271743653528,170.44169981824268,squared_euclidean_pc1_pc3,166,166,0.09202621817775078,1.7919995010348222,134.09166756554748,141.29398321000252,137.91012600794974,-0.21730062017473983,percent,0.02,2% of pixels,2%,2% of pixels = 166 pixels (2.0%),"2%
166 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,pct_3,249,0.029996385977593062,50,137.24410590175808,136.91501468356194,9.953822712845005,120.49932958943711,164.54654574186924,squared_euclidean_pc1_pc3,249,249,0.0725264130466203,1.407683107796276,134.41526078660556,140.0729510169106,137.91012600794974,-0.6660201061916666,percent,0.03,3% of pixels,3%,3% of pixels = 249 pixels (3.0%),"3%
249 px",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_1250,1250,0.15058426695578847,50,138.5981414699085,138.45975886843667,3.782282857804914,131.88198122791883,146.99239029836588,squared_euclidean_pc1_pc3,1250,1250,0.027289564042430523,0.5348955714238978,137.52322857512496,139.67305436469206,137.91012600794974,0.68801546195877,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (15.1%)","1,250
15.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_2000,2000,0.24093482712926154,50,137.33244539679026,137.86828828646708,3.2319256426031404,129.85678134253533,142.98128913593015,squared_euclidean_pc1_pc3,2000,2000,0.023533591302952777,0.45706330763507413,136.41394229196644,138.2509485016141,137.91012600794974,-0.5776806111594794,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (24.1%)","2,000
24.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1124_a,fixed_3000,3000,0.3614022406938923,50,139.17036052911726,139.41530284074457,2.3362125329016976,133.60140746202592,143.35934401408784,squared_euclidean_pc1_pc3,3000,3000,0.016786710360018896,0.3303903448615581,138.50641627349688,139.83430478473764,137.91012600794974,1.2602345211675186,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (36.1%)","3,000
36.1%",8301,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
