scale,quad_id,n_pixels,sample_rule,rule_type,rule_value,rule_label,rule_axis_label,sample_size,sample_fraction,bootstrap_iter,metric_value,metric_method,metric_n_points,selection_note,source_n_pixels,source_method,sample_label,plot_sample_label
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,1,15.835929328437476,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,2,7.421512116256269,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,3,7.160926232924505,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,4,5.852709415905629,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,5,10.449654743688678,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,6,8.716413503738915,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,7,9.0509249026469,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,8,14.307751627978678,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,9,5.695488127136512,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,10,11.684312099017047,all_pixels,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
