scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1104_b,pct_1,94,0.009975591637482755,50,10.334154650518212,10.235125341595282,3.589009048640616,3.7723558326009217,17.91799161965914,all_pixels,94,94,0.3472958524440742,0.5075625272067318,9.314169564548827,11.354139736487596,502.2962461448429,-491.9620914943247,percent,0.01,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_2,188,0.01995118327496551,50,48.73547687856529,48.655876475161676,6.139995952761141,34.5952924480434,63.39928896475797,all_pixels,187,188,0.12598616749068106,0.8683265549310719,46.99050933603406,50.480444421096514,502.2962461448429,-453.5607692662776,percent,0.02,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_3,283,0.030032898227740634,50,84.41437273274958,85.47709123770049,9.48522485134613,60.337949862633835,106.70978833677229,all_pixels,282,283,0.11236504571769709,1.341413362693202,81.71870165632706,87.11004380917211,502.2962461448429,-417.8818734120933,percent,0.03,3% of pixels,3%,3% of pixels = 283 pixels (3.0%),"3%
283 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_1250,1250,0.13265414411546217,50,278.92502902123414,278.61244342799,11.455120864721199,257.2963635949544,302.3445057964262,all_pixels,1246,1250,0.041068816609674486,1.6199987285511734,275.6695196921568,282.18053835031145,502.2962461448429,-223.37121712360874,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (13.3%)","1,250
13.3%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_2000,2000,0.21224663058473947,50,363.6724166978795,360.4301915715117,12.672501461013077,341.0520949039429,396.68361555653763,all_pixels,1990,2000,0.0348459241866032,1.7921623435357554,360.07093163139456,367.27390176436444,502.2962461448429,-138.62382944696338,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (21.2%)","2,000
21.2%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_3000,3000,0.3183699458771092,50,439.85308163047335,440.13426301044365,11.467699938237754,417.78372372985217,468.0050648356058,all_pixels,2987,2996,0.0260716598727207,1.6217776781880935,436.5939973682576,443.1121658926891,502.2962461448429,-62.44316451436953,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (31.8%)","3,000
31.8%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_4000,4000,0.42449326116947894,50,502.2962461448429,501.0289201559283,14.860137963207878,463.463422716075,539.2977383525854,all_pixels,3977,3996,0.029584409752731432,2.101540864630388,498.0730416634665,506.5194506262193,502.2962461448429,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (42.4%)","4,000
42.4%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_1,76,0.009934640522875817,50,13.548252835180818,12.901252518290098,4.4775885936202116,6.039589406843972,23.66403786938155,all_pixels,76,76,0.3304919570140612,0.6332266515824776,12.275736236670406,14.82076943369123,306.33577759019073,-292.78752475500994,percent,0.01,1% of pixels,1%,1% of pixels = 76 pixels (1.0%),"1%
76 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_2,153,0.02,50,47.59631689997227,47.29686533034585,6.070705778411311,35.71693840730756,63.422692277599054,all_pixels,151,153,0.12754570466385914,0.8585274445005993,45.871041407108024,49.32159239283652,306.33577759019073,-258.73946069021844,percent,0.02,2% of pixels,2%,2% of pixels = 153 pixels (2.0%),"2%
153 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_3,230,0.030065359477124184,50,72.35533880594762,71.77600830210072,7.632574253579927,52.01241616572282,86.88477773083487,all_pixels,227,230,0.10548736803029837,1.0794090025232435,70.18618520374254,74.52449240815271,306.33577759019073,-233.98043878424312,percent,0.03,3% of pixels,3%,3% of pixels = 230 pixels (3.0%),"3%
230 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
