scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1104_b,pct_1,94,0.009975591637482755,50,7.194129830245428,7.160929165728115,0.5987561426832606,6.1393190743986175,9.20794349722229,all_sampled_pixels,94,94,0.08322843162573756,0.08467690575368672,7.023965217286093,7.364294443204764,7.117915383965646,0.07621444627978224,percent,0.01,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_2,188,0.01995118327496551,50,7.058676116165304,7.0813804531792375,0.372611913086145,6.343719600130786,8.160072738067102,all_sampled_pixels,188,188,0.052787790083301075,0.052695282098821114,6.952780982145973,7.164571250184635,7.117915383965646,-0.05923926780034172,percent,0.02,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_3,283,0.030032898227740634,50,7.131365891243771,7.17009418950105,0.3156480316855214,6.320770556327138,7.787370820264891,all_sampled_pixels,283,283,0.044261931935520096,0.04463937273460368,7.04165971319533,7.221072069292212,7.117915383965646,0.013450507278125023,percent,0.03,3% of pixels,3%,3% of pixels = 283 pixels (3.0%),"3%
283 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_1250,1250,0.13265414411546217,50,7.085082789498969,7.085896983749302,0.1288592755326662,6.8048730021338315,7.3431589825395225,all_sampled_pixels,1250,1250,0.01818740575955622,0.018223453509586807,7.048461388591128,7.121704190406811,7.117915383965646,-0.032832594466676746,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (13.3%)","1,250
13.3%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_2000,2000,0.21224663058473947,50,7.09821101156549,7.081984036467912,0.09971614701461648,6.922946253005433,7.379679685656662,all_sampled_pixels,2000,2000,0.014048067442929451,0.014101992749566004,7.069871996141786,7.126550026989194,7.117915383965646,-0.01970437240015599,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (21.2%)","2,000
21.2%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_3000,3000,0.3183699458771092,50,7.093969841208792,7.0835680945287125,0.07202317339443023,6.943726290241271,7.249660739139811,all_sampled_pixels,3000,3000,0.01015273182810116,0.01018561486195523,7.073501081807271,7.114438600610312,7.117915383965646,-0.02394554275685401,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (31.8%)","3,000
31.8%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_4000,4000,0.42449326116947894,50,7.117915383965646,7.124593162483506,0.06607780659517239,6.971462578349328,7.231921702946539,all_sampled_pixels,4000,4000,0.009283308810332902,0.009344813025875913,7.099136279113243,7.136694488818049,7.117915383965646,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (42.4%)","4,000
42.4%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_1,76,0.009934640522875817,50,5.04552568906777,5.016831510930875,0.3514910364548812,4.178294267656348,5.871544483693734,all_sampled_pixels,76,76,0.06966390780973786,0.0497083390807069,4.945633041772358,5.145418336363183,5.072628269304333,-0.02710258023656298,percent,0.01,1% of pixels,1%,1% of pixels = 76 pixels (1.0%),"1%
76 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_2,153,0.02,50,5.075017255097042,5.080796066114702,0.25052971219442255,4.5876608698424475,5.793928210384223,all_sampled_pixels,153,153,0.049365292687981614,0.03543025167627805,5.003817498683137,5.146217011510947,5.072628269304333,0.002388985792708631,percent,0.02,2% of pixels,2%,2% of pixels = 153 pixels (2.0%),"2%
153 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_3,230,0.030065359477124184,50,5.065826359872326,5.058346566343529,0.19364156366315183,4.652522122337762,5.478265139390382,all_sampled_pixels,230,230,0.03822506929906539,0.02738505255715624,5.010794036385982,5.12085868335867,5.072628269304333,-0.006801909432007314,percent,0.03,3% of pixels,3%,3% of pixels = 230 pixels (3.0%),"3%
230 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
