scale,quad_id,n_pixels,sample_rule,rule_type,rule_value,rule_label,rule_axis_label,sample_size,sample_fraction,bootstrap_iter,metric_value,metric_method,metric_n_points,selection_note,source_n_pixels,source_method,sample_label,plot_sample_label
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,1,113.27087824300246,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,2,128.35723501665808,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,3,173.7984179046907,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,4,175.42178823962584,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,5,156.35734903919504,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,6,152.91094380601285,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,7,211.57822684344538,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,8,133.3389132618068,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,9,181.994908689961,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,10,113.55455296881753,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,11,132.5181718891171,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,12,202.18011330523981,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,13,139.287184180026,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,14,165.17165667853922,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,15,176.0280058917869,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,16,159.21809706641955,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,17,129.79696473127677,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
10m,1104_b,9423,pct_1,percent,0.01,1% of pixels,1%,94,0.009975591637482755,18,106.55888434070435,squared_euclidean_pc1_pc3,94,Additional random bootstrap-mean quadrat selected with seed 20260703,9423,bootstrap_mean,1% of pixels = 94 pixels (1.0%),"1%
94 px"
