scale,quad_id,sample_rule,sample_size,sample_fraction,n_boot,metric_mean,metric_median,metric_sd,metric_min,metric_max,metric_method,metric_n_points_min,metric_n_points_max,metric_cv,metric_se,ci_low,ci_high,fixed_4000_mean,delta_from_fixed_4000,rule_type,rule_value,rule_label,rule_axis_label,sample_label,plot_sample_label,source_n_pixels,source_method,selection_note
10m,1104_b,pct_1,94,0.009975591637482755,50,151.7970743289692,152.69246737665844,38.27709308621927,97.9448410750962,313.015596659031,squared_euclidean_pc1_pc3,94,94,0.2521596233354704,5.413198417074871,140.91884483634834,162.67530382159003,147.837081918909,3.959992410060181,percent,0.01,1% of pixels,1%,1% of pixels = 94 pixels (1.0%),"1%
94 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_2,188,0.01995118327496551,50,143.39032228372042,140.74198065086966,22.937218905238186,106.17673257551952,200.77312007390407,squared_euclidean_pc1_pc3,188,188,0.15996350757796102,3.24381260589084,136.8716367970345,149.90900777040633,147.837081918909,-4.4467596351885845,percent,0.02,2% of pixels,2%,2% of pixels = 188 pixels (2.0%),"2%
188 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,pct_3,283,0.030032898227740634,50,146.12077676788212,146.0625720378368,20.487516245554612,105.32679208214677,216.3920729639819,squared_euclidean_pc1_pc3,283,283,0.14020946711842175,2.8973723333802446,140.29828907397783,151.9432644617864,147.837081918909,-1.7163051510268872,percent,0.03,3% of pixels,3%,3% of pixels = 283 pixels (3.0%),"3%
283 px",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_1250,1250,0.13265414411546217,50,146.1750339766065,145.56505821498575,9.035812127796973,128.78757001563653,165.29874037636546,squared_euclidean_pc1_pc3,1250,1250,0.061815016436001256,1.2778568058185773,143.60708458303642,148.74298337017657,147.837081918909,-1.6620479423025074,fixed,1250,"Fixed 1,250","1,250","Fixed 1,250 (13.3%)","1,250
13.3%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_2000,2000,0.21224663058473947,50,147.62904195437804,147.43300711917465,6.257852066981278,137.5218591870098,167.92943070110374,squared_euclidean_pc1_pc3,2000,2000,0.04238903121050632,0.8849939264449429,145.85058007478452,149.40750383397156,147.837081918909,-0.2080399645309683,fixed,2000,"Fixed 2,000","2,000","Fixed 2,000 (21.2%)","2,000
21.2%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_3000,3000,0.3183699458771092,50,147.22886813035683,146.63764631926904,5.195275394100033,136.23842244523178,159.88579151559603,squared_euclidean_pc1_pc3,3000,3000,0.03528707012472664,0.7347228922599492,145.75238719991927,148.7053490607944,147.837081918909,-0.6082137885521774,fixed,3000,"Fixed 3,000","3,000","Fixed 3,000 (31.8%)","3,000
31.8%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1104_b,fixed_4000,4000,0.42449326116947894,50,147.837081918909,147.99553914324088,4.138598993246699,137.396512365243,156.9618783120871,squared_euclidean_pc1_pc3,4000,4000,0.027994322801344163,0.5852862825473119,146.6609050988705,149.0132587389475,147.837081918909,0,fixed,4000,"Fixed 4,000","4,000","Fixed 4,000 (42.4%)","4,000
42.4%",9423,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_1,76,0.009934640522875817,50,68.1216609089342,64.70127339481782,14.785963757415908,43.600526577978066,134.249235233219,squared_euclidean_pc1_pc3,76,76,0.21705230847471482,2.0910510478494624,63.91953650360277,72.32378531426563,68.78386958422641,-0.6622086752922058,percent,0.01,1% of pixels,1%,1% of pixels = 76 pixels (1.0%),"1%
76 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_2,153,0.02,50,67.88381160588601,65.86407641820627,9.979359286506883,54.65007062962998,104.63776631124642,squared_euclidean_pc1_pc3,153,153,0.14700646664397968,1.4112945246771926,65.04770907679864,70.71991413497338,68.78386958422641,-0.9000579783403992,percent,0.02,2% of pixels,2%,2% of pixels = 153 pixels (2.0%),"2%
153 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
10m,1110_a,pct_3,230,0.030065359477124184,50,69.03955116891376,67.43692901918625,9.506826477754505,53.78519852749863,107.19481473519014,squared_euclidean_pc1_pc3,230,230,0.1377011628377317,1.344468293996806,66.33774097819239,71.74136135963514,68.78386958422641,0.2556815846873519,percent,0.03,3% of pixels,3%,3% of pixels = 230 pixels (3.0%),"3%
230 px",7650,bootstrap_mean,Additional random bootstrap-mean quadrat selected with seed 20260703
