"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","sp_rich","Species richness","sp_shannon","Shannon diversity",2000,0.823942944525134,0.678881975832748,4224.01137784579,0,0.218087343096504,0.0982511169160913,0.816865289920173,0
"10m","sp_rich","Species richness","sp_simpson","Simpson diversity",2000,0.718968334135465,0.516915465489526,2137.92209492825,5.41735075614593e-318,0.0923916130257137,0.167060521532713,0.733012629550681,0
"10m","sp_rich","Species richness","sp_even","Species evenness",2000,0.346709041701013,0.120207159597235,272.989155907799,1.39987998601502e-57,0.0514066043713886,0.500562873711244,0.126507788830485,1.37169848398588e-08
"10m","sp_rich","Species richness","phy_faith","Faith's PD",2000,0.709815152448792,0.503837550645902,2028.90691849209,2.13058113780634e-306,103.957861262223,25.9009576759285,0.754906095933113,0
"10m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",2000,0.501402237331727,0.251404203601262,670.997087095275,8.39255522635726e-128,22.820434947924,37.5841952288087,0.564417172297548,1.228642586058e-168
"10m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",2000,0.452469992294787,0.204729093927245,514.351432377453,1.62083312043391e-101,52.7787995857672,57.1720594906161,0.526642863873517,3.95332185979722e-143
"10m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity",2000,0.968876790522518,0.938722235213215,30607.6279459933,0,0.470389930597734,0.0786594389868612,0.981064057261296,0
"10m","sp_shannon","Shannon diversity","sp_even","Species evenness",2000,0.762750382628541,0.581788146199986,2779.48294756712,0,0.427270453789305,0.285715336716846,0.600185399339262,4.96411811409909e-196
"10m","sp_shannon","Shannon diversity","phy_faith","Faith's PD",2000,0.60671925128255,0.368108249876857,1163.93398570346,2.0430118336113e-201,335.711735425661,120.133014611708,0.634877847864927,3.94589226235817e-226
"10m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",2000,0.661399087289849,0.437448752667846,1553.67641966012,6.96266449669201e-252,113.728135431659,18.2078031148915,0.731250559150151,0
"10m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",2000,0.426245068762315,0.181684858644191,443.602139598265,4.25228596760747e-89,187.843326862822,87.5965644251283,0.495112737232798,3.5213182035939e-124
