"scale","x_metric","x_label","y_metric","y_label","n","base_r2","elevation_adjusted_r2","elevation_incremental_r2_after_metric","elevation_partial_f","elevation_partial_p_value","elevation_slope","elevation_p_value_in_adjusted_model"
"10m","sp_rich","Species richness","sp_shannon","Shannon diversity",2000,0.678881975832748,0.680236745214417,0.00135476938166834,8.46086726570901,0.00366878393650178,0.000855199683848088,0.00366878393650211
"10m","sp_rich","Species richness","sp_simpson","Simpson diversity",2000,0.516915465489526,0.519829586810005,0.00291412132047897,12.1196560994561,0.000509654840788222,0.000608945076379238,0.000509654840788209
"10m","sp_rich","Species richness","sp_even","Species evenness",2000,0.120207159597235,0.126423251294696,0.00621609169746119,14.2100108985588,0.000168246238823271,0.00102615739484633,0.000168246238823263
"10m","sp_rich","Species richness","phy_faith","Faith's PD",2000,0.503837550645902,0.524059872263839,0.0202223216179366,84.8509590126562,7.8914992095842e-20,-1.828222710438,7.89149920958558e-20
"10m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",2000,0.251404203601262,0.260763054122715,0.00935885052145374,25.2823192828428,5.3945716140781e-07,-0.386500827725092,5.39457161407808e-07
"10m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",2000,0.204729093927245,0.20993225581082,0.00520316188357406,13.1516751037104,0.000294464997991043,-0.73859254191945,0.00029446499799106
"10m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity",2000,0.938722235213215,0.938970744058234,0.00024850884501848,8.13170922442818,0.00439448820842891,0.000178092250450253,0.0043944882084284
"10m","sp_shannon","Shannon diversity","sp_even","Species evenness",2000,0.581788146199986,0.583524140127012,0.00173599392702639,8.32408359353332,0.00395425220526996,0.000543099197419906,0.00395425220527017
"10m","sp_shannon","Shannon diversity","phy_faith","Faith's PD",2000,0.368108249876857,0.39305493441758,0.0249466845407229,82.0807876245245,3.02912505733186e-19,-2.03361996922276,3.02912505733147e-19
"10m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",2000,0.437448752667846,0.452500472630154,0.0150517199623078,54.901024132618,1.86095854396995e-13,-0.490887558401602,1.86095854397019e-13
"10m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",2000,0.181684858644191,0.188851237214763,0.00716637857057226,17.6431977240429,2.78189432859729e-05,-0.868102305019574,2.78189432859702e-05
"10m","sp_simpson","Simpson diversity","sp_even","Species evenness",2000,0.74037705668869,0.740934303166292,0.000557246477601692,4.29551742809412,0.0383409937264226,0.000308000666518136,0.0383409937264254
"10m","sp_simpson","Simpson diversity","phy_faith","Faith's PD",2000,0.298955715159335,0.325141099770675,0.0261853846113404,77.4861427345438,2.83423529116965e-18,-2.08552686622373,2.8342352911698e-18
"10m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",2000,0.464147208789721,0.481961766599351,0.0178145578096292,68.6738345783738,2.10412100362997e-16,-0.534563637740363,2.10412100362982e-16
"10m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",2000,0.158129126835866,0.165943599873697,0.00781447303783026,18.7103685724177,1.59655010523597e-05,-0.907389636572616,1.59655010523601e-05
"10m","sp_even","Species evenness","phy_faith","Faith's PD",2000,0.0916486738434646,0.113233986413085,0.0215853125696202,48.6101954078851,4.22755316292854e-12,-1.89553598827952,4.22755316292782e-12
"10m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",2000,0.330413554268237,0.348023861150564,0.0176103068823263,53.9402912905176,2.9951969511589e-13,-0.532061586881501,2.99519695115888e-13
"10m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",2000,0.0679938214901164,0.0745876021538153,0.00659378066369889,14.2290939866957,0.000166560745160982,-0.834406671085417,0.000166560745160992
"10m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q",2000,0.646982767488618,0.647222461227729,0.000239693739110591,1.35685621785798,0.244222195673609,0.0622641049228307,0.244222195673579
"10m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD",2000,0.574832579257708,0.575929151079735,0.00109657182202649,5.16388696408262,0.0231671097912126,0.341318651464129,0.0231671097912141
"10m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD",2000,0.562216998817861,0.562225416008091,8.4171902303698e-06,0.0383967674344187,0.844668508995965,0.0297874324264298,0.844668508995917
"20m","sp_rich","Species richness","sp_shannon","Shannon diversity",500,0.732261708215483,0.735677737108116,0.00341602889263293,6.4230925577878,0.0115704403377642,0.00127579168345685,0.0115704403377641
"20m","sp_rich","Species richness","sp_simpson","Simpson diversity",500,0.506648384743109,0.513436939708541,0.00678855496543174,6.93417173058429,0.00871983566447459,0.000595291524801111,0.00871983566447479
"20m","sp_rich","Species richness","sp_even","Species evenness",500,0.101298611027564,0.108219515916279,0.00692090488871584,3.85710361583657,0.0500927169907946,0.000546372051096825,0.050092716990796
"20m","sp_rich","Species richness","phy_faith","Faith's PD",500,0.527973604686354,0.573764058159363,0.045790453473009,53.3926239955482,1.0959822207702e-12,-3.46942099855669,1.09598222077014e-12
"20m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",500,0.16987453431941,0.201106146714712,0.031231612395302,19.4295040531775,1.27991187988396e-05,-0.572649084028269,1.27991187988394e-05
"20m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",500,0.0559138153653903,0.0806280619515128,0.0247142465861225,13.3601864979429,0.000284384509500156,-3.76981353094847,0.000284384509500156
"20m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity",500,0.900659706753472,0.90188210219518,0.0012223954417081,6.19184214216919,0.0131604846750125,0.000251793467839291,0.0131604846750124
"20m","sp_shannon","Shannon diversity","sp_even","Species evenness",500,0.52950728449998,0.533756450782218,0.00424916628223815,4.52946887054088,0.0338072997053957,0.00042673323350387,0.0338072997053955
"20m","sp_shannon","Shannon diversity","phy_faith","Faith's PD",500,0.34011095191396,0.410709609533431,0.070598657619471,59.5420074797023,6.61025323271249e-14,-4.29403243285551,6.61025323271247e-14
"20m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",500,0.221262310999597,0.263016930940994,0.0417546199413976,28.1581042796156,1.68720423813718e-07,-0.659995847362938,1.68720423813717e-07
"20m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",500,0.0231670573373891,0.0535024621354408,0.0303354047980517,15.9289333373724,7.56795743969164e-05,-4.16311728928126,7.56795743969159e-05
"20m","sp_simpson","Simpson diversity","sp_even","Species evenness",500,0.694889678766851,0.696240264645324,0.00135058587847259,2.20977668688419,0.137772603582513,0.000240640836699414,0.13777260358251
"20m","sp_simpson","Simpson diversity","phy_faith","Faith's PD",500,0.230135977935275,0.310767892270566,0.080631914335291,58.1430565628425,1.2482243962509e-13,-4.59012177604196,1.24822439625094e-13
"20m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",500,0.237770654141306,0.286843970231287,0.0490733160899811,34.1993015254046,9.02397520738203e-09,-0.715674036521169,9.02397520738223e-09
"20m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",500,0.0145406693558701,0.0465267547959987,0.0319860854401286,16.6728165092274,5.17523941931868e-05,-4.2759037357743,5.17523941931876e-05
"20m","sp_even","Species evenness","phy_faith","Faith's PD",500,0.0288840548435666,0.108579352549526,0.0796952977059598,44.4330777766314,7.01297942379412e-11,-4.56948387941123,7.01297942379453e-11
"20m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",500,0.121502531776003,0.174318600751766,0.0528160689757629,31.7914225812206,2.88230342677268e-08,-0.743456691680601,2.88230342677268e-08
"20m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",500,0.000322682590212516,0.0309830959803456,0.0306604133901331,15.7254485362281,8.39909906584957e-05,-4.19195348142409,8.39909906584991e-05
"20m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q",500,0.540977485369576,0.54107226966164,9.47842920634434e-05,0.102647519514289,0.748810002306025,-0.0326766894354866,0.748810002306098
"20m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD",500,0.388248234846506,0.388290800878269,4.25660317626697e-05,0.0345839457973018,0.852546050740376,-0.162052696294488,0.852546050740368
"20m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD",500,0.550840991972744,0.551273528409127,0.000432536436383413,0.479068257596671,0.489167895573297,-0.508366552757092,0.48916789557327
"50m","sp_rich","Species richness","sp_shannon","Shannon diversity",80,0.718035382411621,0.730637829393316,0.0126024469816942,3.60254157220687,0.0614390572525057,0.00233705037884152,0.0614390572525059
"50m","sp_rich","Species richness","sp_simpson","Simpson diversity",80,0.46226392756019,0.493353482597958,0.031089555037768,4.72498212399333,0.0328007305484356,0.000730431906689344,0.0328007305484358
