"scale","sv_metric","sv_label","species_metric","species_label","phylo_metric","phylo_label","n","species_only_r2","phylo_only_r2","combined_r2","phylo_incremental_r2_after_species","partial_f","partial_f_p_value","phylo_slope_in_combined","phylo_p_value_in_combined"
"10m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_faith","Faith's PD",1744,0.002669360923823,0.0142026799732946,0.0465482799695664,0.0438789190457434,80.1227754418449,8.80134368598998e-19,0.00228471655888815,8.80134368598998e-19
"10m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",1744,0.002669360923823,0.0196194285354673,0.0371299743875659,0.0344606134637429,62.3094773380403,5.14870165492074e-15,0.00537355274326603,5.14870165492038e-15
"10m","spec_spca_mean","Std PCA mean distance","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",1744,0.002669360923823,0.0149568368164822,0.0280310451822319,0.0253616842584089,45.4280891123401,2.14611708277721e-11,0.00175071866697454,2.14611708277686e-11
"10m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_faith","Faith's PD",1744,0.00101738335981773,0.0142026799732946,0.0286474265179893,0.0276300431581716,49.5226001882494,2.80942704558663e-12,0.00161662264341616,2.8094270455867e-12
"10m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",1744,0.00101738335981773,0.0196194285354673,0.0429701678087399,0.0419527844489222,76.3192486469709,5.55667771081106e-18,0.00671335775986547,5.556677710812e-18
"10m","spec_spca_mean","Std PCA mean distance","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",1744,0.00101738335981773,0.0149568368164822,0.0225183411177436,0.0215009577579258,38.2955190170559,7.56363001954236e-10,0.00158747938767012,7.56363001954191e-10
"10m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_faith","Faith's PD",1744,0.000615643735492859,0.0142026799732946,0.0237359956584662,0.0231203519229733,41.2311961916959,1.73992234014453e-10,0.00141014740117214,1.73992234014435e-10
"10m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",1744,0.000615643735492859,0.0196194285354673,0.0421760012991387,0.0415603575636459,75.5426702780967,8.09977481430153e-18,0.00681886146750706,8.09977481429964e-18
"10m","spec_spca_mean","Std PCA mean distance","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",1744,0.000615643735492859,0.0149568368164822,0.0204462896199272,0.0198306458844343,35.2458003261546,3.49985742330835e-09,0.00150382059045159,3.49985742330773e-09
"10m","spec_spca_mean","Std PCA mean distance","sp_even","Species evenness","phy_faith","Faith's PD",1744,0.000188703769507731,0.0142026799732946,0.0161930679476858,0.016004364178178,28.3222216945371,1.16026471126015e-07,0.00104803717455184,1.16026471126021e-07
