"quad_id","scale","crown_equivalent_individuals","present_species_count"
"0_a","10m",2.14713776043841,6
"0_b","10m",1.28953096864799,3
"0_c","10m",1.83153971680388,2
"0_d","10m",1.86688754943033,4
"1_a","10m",3.15844849062908,4
"1_b","10m",3.70363209424976,5
"1_c","10m",2.87669362591933,4
"1_d","10m",2.23569694708689,5
"100_a","10m",1.38471670166692,3
"100_b","10m",2.31255694985455,3
"100_c","10m",2.67999094977308,3
"100_d","10m",2.41343695689137,5
"2_a","10m",2.67071119746739,4
"2_b","10m",1.14146929363361,4
"2_c","10m",2.59002576394066,4
"2_d","10m",2.04755053948195,2
"101_a","10m",2.06660958173905,5
"101_b","10m",2.53488359887526,3
"101_c","10m",2.98833634958074,5
"101_d","10m",4.83465887870897,6
"200_a","10m",3.40688780306239,4
"200_b","10m",3.41860282370016,5
"200_c","10m",2.29035851004056,5
"200_d","10m",1.7198110942598,5
"3_a","10m",2.75161342893065,3
"3_b","10m",2.13381787203009,3
"3_c","10m",0.208267393859046,2
"3_d","10m",1.42419488005137,3
"102_a","10m",1.62990376815278,4
"102_b","10m",2.53973712459416,5
"102_c","10m",2.07314422421056,5
"102_d","10m",0.983449594739073,4
"201_a","10m",2.78681835622921,4
"201_b","10m",2.51420770033387,5
"201_c","10m",1.01602739993118,2
"201_d","10m",2.293976787397,4
"300_a","10m",1.4714116663242,2
"300_b","10m",0.631526680521803,2
"300_c","10m",0.0730028525204084,2
"300_d","10m",0.747888181609017,2
"4_a","10m",2.17743322745784,3
"4_b","10m",1.94889893167475,2
"4_c","10m",4.23192485265303,4
"4_d","10m",2.66159209483947,4
"103_a","10m",1.67067330632836,5
"103_b","10m",1.85202683799358,5
"103_c","10m",1.80761478649763,3
"103_d","10m",2.10491207647432,3
"202_a","10m",1.76072312987663,4
"202_b","10m",2.12893625000127,4
"202_c","10m",2.04708897819222,3
"202_d","10m",2.03842000429712,5
"301_a","10m",0.990383181485735,3
"301_b","10m",0.407657547936905,2
"301_c","10m",1.1202620606788,3
"301_d","10m",3.06587904408287,5
"400_a","10m",1.79287771577643,4
"400_b","10m",1.45550322385213,3
"400_c","10m",1.66361881465296,6
"400_d","10m",1.99676423145825,4
"5_a","10m",1.46099255133236,3
"5_b","10m",1.39347609417918,3
"5_c","10m",1.04503685047389,3
"5_d","10m",3.86490020392087,3
"104_a","10m",0.914706594559041,3
"104_b","10m",2.45338208953865,3
"104_c","10m",1.31405558024518,3
"104_d","10m",1.21894543899655,3
"203_a","10m",2.95421839536618,5
"203_b","10m",1.45190512042783,3
"203_c","10m",1.00988617291869,4
"203_d","10m",2.38495048421506,4
"302_a","10m",2.60122903465475,7
"302_b","10m",2.19633686839049,7
"302_c","10m",2.37381129288273,7
"302_d","10m",1.96298310853759,5
"401_a","10m",1.61238191143552,3
"401_b","10m",2.71994263471392,4
"401_c","10m",0.776452285172398,3
"401_d","10m",4.25532670830495,4
"500_a","10m",0.793815829818652,3
"500_b","10m",1.98569791080204,6
"500_c","10m",2.69765051779864,6
"500_d","10m",1.46059203867518,4
"6_a","10m",2.61785960795621,5
"6_b","10m",1.93114988795052,5
"6_c","10m",1.33876787613321,5
"6_d","10m",5.9945153203785,7
"105_a","10m",3.41001968051456,4
"105_b","10m",2.65305170764072,3
"105_c","10m",3.30664618770811,4
"105_d","10m",1.19367634583857,3
"204_a","10m",2.45705148798238,5
"204_b","10m",3.38377268720516,5
"204_c","10m",2.73447332914293,4
"204_d","10m",3.01384606333201,3
"303_a","10m",1.96448880037058,4
"303_b","10m",0.521301476798009,4
"303_c","10m",1.16444598264308,5
"303_d","10m",1.69115601412055,4
"402_a","10m",1.76506936427249,6
"402_b","10m",2.44217913580102,5
"402_c","10m",1.11491592289955,4
"402_d","10m",3.18542221145043,5
"501_a","10m",1.86544075302786,5
"501_b","10m",4.26070967191467,5
"501_c","10m",2.35396844208825,4
"501_d","10m",3.85243084877583,3
"600_a","10m",2.78650132541504,5
"600_b","10m",1.13894024178531,3
"600_c","10m",2.25191263357369,3
"600_d","10m",1.87666002139779,5
"7_a","10m",0.799535102506432,5
"7_b","10m",3.06329592194969,5
"7_c","10m",0.563562350484345,3
"7_d","10m",1.66260045258999,5
"106_a","10m",3.41660572785141,5
"106_b","10m",1.38841097282818,5
"106_c","10m",3.33316798038625,3
"106_d","10m",2.95624196364013,7
"205_a","10m",1.87088344053301,4
"205_b","10m",1.99763206718183,5
"205_c","10m",2.60162794951626,4
"205_d","10m",5.32055300643411,5
"304_a","10m",2.78666176089559,8
"304_b","10m",2.58939890502077,6
