"scale","x_metric","x_label","y_metric","y_label","moderator","moderator_label","moderator_is_plotted_metric","n","base_r2","additive_r2","full_interaction_r2","moderator_incremental_r2_after_metric","interaction_incremental_r2_after_additive","full_incremental_r2_after_metric","moderator_main_slope","moderator_main_p_value","interaction_slope","interaction_f","interaction_p_value","full_partial_f","full_partial_p_value","interaction_q_value","full_partial_q_value","moderator_main_q_value"
"10m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity","present_species_count","Number of species",FALSE,2000,0.938722235213215,0.958320591946283,0.975587532248306,0.0195983567330675,0.0172669403020231,0.0368652970350907,-0.247045807333446,2.33602020950007e-169,-0.106778177056448,1411.77095217857,3.95923880534583e-234,1507.08100529767,0,4.98864089473575e-232,0,2.52290182626007e-168
"10m","sp_shannon","Shannon diversity","sp_even","Species evenness","present_species_count","Number of species",FALSE,2000,0.581788146199986,0.829003102073297,0.864678711519916,0.247214955873311,0.035675609446619,0.28289056531993,-0.877414948071772,0,-0.153483081112466,526.218137997789,1.48740714490623e-103,2086.32941173066,0,9.37066501290927e-102,0,0
"10m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.938722235213215,0.939128506222355,0.950810140748172,0.000406271009139925,0.0116816345258168,0.0120879055349568,-0.0228874296054982,0.000268130413922378,-0.0946837311291619,474.011165475408,1.80321411368541e-94,245.248307423007,5.80121963843796e-96,7.5734992774787e-93,4.87302449628789e-95,0.000386107796048225
"10m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.562216998817861,0.775980948784382,0.81432199089687,0.213763949966521,0.0383410421124882,0.25210499207901,0.501839191504882,7.40716034132811e-293,0.178968829311948,412.158232556343,1.87342288032921e-83,1355.03812923321,0,4.72102565842962e-82,0,2.66657772287812e-291
"10m","sp_shannon","Shannon diversity","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.581788146199986,0.58464064435364,0.629515692238851,0.0028524981536544,0.0448750478852107,0.0477275460388651,-0.0606459482669306,0.000218583740888335,-0.185577798612998,241.766233285721,1.50788271945766e-51,128.5670943383,3.01115048467714e-53,2.7141888950238e-50,1.2646832035644e-52,0.000319014108323515
"20m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity","present_species_count","Number of species",FALSE,500,0.900659706753472,0.93824539250638,0.958314514046534,0.0375856857529085,0.0200691215401543,0.0576548072930628,-0.374676103521376,2.87635548443135e-53,-0.114189766872196,238.794967990265,2.92753840035914e-44,343.00648970822,2.94536346439382e-94,4.0985537605028e-43,2.31947372821013e-93,1.24258556927434e-52
"10m","sp_rich","Species richness","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.120207159597235,0.150352627657867,0.216862519566314,0.030145468060632,0.0665098919084472,0.0966553599690792,0.195835464351719,7.23372870875483e-17,-0.218035903514832,169.515248045266,2.96859622012236e-37,123.173838130851,3.61968593861179e-51,3.74043123735417e-36,1.47122718795189e-50,2.11146675823114e-16
"10m","sp_rich","Species richness","sp_simpson","Simpson diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.516915465489525,0.531939756892195,0.568314339663825,0.0150242914026698,0.0363745827716293,0.0513988741742991,0.13825387911878,1.98604838236666e-15,-0.161244126194932,168.186423323934,5.49732983405428e-37,118.827380983662,1.74662394375582e-49,6.29694144628036e-36,6.66892778524949e-49,5.36233063238999e-15
"20m","sp_simpson","Simpson diversity","sp_even","Species evenness","present_species_count","Number of species",FALSE,500,0.694889678766851,0.848262659033816,0.88952373677293,0.153372980266964,0.0412610777391144,0.194634058006079,-0.557565830779741,2.07004487099196e-77,0.188867735881426,185.247889101177,4.51050790572728e-36,436.919614906744,3.84941820485076e-110,4.73603330101364e-35,3.46447638436568e-109,1.39728028791957e-76
"10m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,2000,0.646982767488618,0.656728992869937,0.681999437586398,0.00974622538131831,0.0252704447164612,0.0350166700977795,-0.140154252247408,7.64348612142627e-14,-0.122790781812574,158.615466813083,4.70767315722749e-35,109.894889783657,5.28102412229234e-46,4.56282167546665e-34,1.90116868402524e-45,1.91975930491636e-13
"10m","sp_simpson","Simpson diversity","sp_even","Species evenness","present_species_count","Number of species",FALSE,2000,0.74037705668869,0.893445678696446,0.900620210215765,0.153068622007756,0.00717453151931935,0.160243153527075,-0.562900350600138,0,-0.0783509901732713,144.097355645976,4.19069695232932e-32,1609.20713927079,0,3.77162725709639e-31,0,0
"10m","phy_faith","Faith's PD","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.574832579257708,0.774398958004215,0.789435825280729,0.199566378746507,0.0150368672765132,0.21460324602302,0.489448703597512,4.07041556444632e-277,0.108315831649258,142.538905889072,8.71363770127349e-32,1017.14377489198,2.7217923929004e-305,7.31945566906973e-31,6.85891683010901e-304,8.79209761920405e-276
"20m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.550840991972743,0.745392118543696,0.80327251730919,0.194551126570952,0.0578803987654941,0.252431525336446,0.464405501440786,2.96360039251565e-63,0.198995234122361,145.931200841956,1.24464831261657e-29,318.222026872726,1.21143565440306e-89,9.80160546185552e-29,8.97887602675209e-89,1.6845728546931e-62
"10m","sp_simpson","Simpson diversity","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.74037705668869,0.745681748716671,0.760982408539781,0.00530469202798078,0.0153006598231106,0.0206053518510914,-0.0811615239303623,1.36329778008892e-10,-0.115574981996236,127.773511649714,9.22656080010088e-29,86.0360989404907,1.44086412729199e-36,6.83850976948654e-28,4.90672648753488e-36,3.13268426062987e-10
"20m","sp_shannon","Shannon diversity","sp_simpson","Simpson diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.900659706753472,0.901923618536241,0.922400457556854,0.00126391178276986,0.020476839020612,0.0217407508033819,-0.0380627052523051,0.0116883780379218,-0.112086895030489,130.883660321383,4.65563296159661e-27,69.481159675509,2.50013385350539e-27,3.25894307311763e-26,7.50040156051616e-27,0.0146784282336693
"10m","sp_rich","Species richness","sp_shannon","Shannon diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.678881975832748,0.689793019529434,0.699756123281538,0.0109110436966857,0.00996310375210385,0.0208741474487896,0.117818495842056,9.76174842717452e-17,-0.0843882963437972,66.2340071895844,6.96724426158361e-16,69.3849259527998,7.37661485722051e-30,3.99033080436152e-15,2.32363368002446e-29,2.7743916582496e-16
"20m","sp_rich","Species richness","sp_simpson","Simpson diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,500,0.506648384743109,0.507200457654277,0.561191624880701,0.000552072911167767,0.0539911672264244,0.0545432401375922,0.0256285352222682,0.455913904071186,-0.193690501226408,61.0280488311691,3.38280784160191e-14,30.8260377902891,2.40631052005711e-13,1.85319038279061e-13,5.41419867012849e-13,0.478045646987263
"20m","phy_faith","Faith's PD","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,500,0.540977485369576,0.572653285950988,0.611763155105791,0.0316758005814115,0.0391098691548032,0.0707856697362147,-0.259048247001735,2.54819126693516e-09,-0.156316270159734,49.9656211302363,5.33857200260877e-12,45.2168472040947,9.14460089972236e-19,2.80275030136961e-11,2.35146880278575e-18,5.19254069488675e-09
"10m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.251404203601262,0.282727782453341,0.299551984487299,0.0313235788520788,0.0168242020339588,0.0481477808860376,0.199625498884574,2.51486707847219e-20,-0.109660981924744,47.9423262198861,5.89623984093554e-12,68.6010728277869,1.53556448908107e-29,2.97170487983151e-11,4.71905184449305e-29,8.2304740749999e-20
"10m","phy_rao","Phylogenetic Rao's Q","phy_afaith","Abundance-weighted Faith's PD","present_species_count","Number of species",FALSE,2000,0.562216998817861,0.570037277319087,0.578465326922837,0.00782027850122591,0.00842804960375043,0.0162483281049763,0.102208594877778,1.98677754620525e-09,0.0848943239195202,39.9074811243499,3.27406578034432e-10,38.4685590164916,4.04818211166034e-17,1.58666264739763e-09,1.00013910993961e-16,4.12638413442628e-09
"10m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",FALSE,2000,0.437448752667846,0.44335577969374,0.452331545107295,0.0059070270258943,0.00897576541355505,0.0148827924394493,-0.13562886813673,4.41665248574066e-06,-0.0769857872557616,32.7125427900824,1.229769575732e-08,27.120471741394,2.39289430292821e-12,5.73892468674931e-08,5.28955582752553e-12,7.22724952212109e-06
