"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"10m","10m_C3",363,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",363,0.985354894468594,207.93169584956,3.9862258953168,371.006296965867
"10m","10m_C3",363,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",363,0.964582489525901,209.170848716798,0.994529948913037,371.006296965867
"10m","10m_C3",363,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",363,0.954804445902242,210.38763137962,0.556223267373468,371.006296965867
"10m","10m_C3",363,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",363,0.942250969039663,217.908857168752,0.739655787257869,371.006296965867
"10m","10m_C5",530,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",530,0.781569355321638,181.108083792687,0.64685918012116,238.236035960392
"10m","10m_C5",530,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",530,0.750665216702289,162.225617927768,3.86792452830189,238.236035960392
"10m","10m_C5",530,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",530,0.730012550399126,168.630966309245,0.493431774308044,238.236035960392
"10m","10m_C1",276,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",276,0.729190083092566,145.101908579262,0.719661250956328,215.154310208931
"10m","10m_C5",530,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",530,0.728363878349278,165.027522322102,0.894937478344168,238.236035960392
"10m","10m_C1",276,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",276,0.725098112195632,134.967270779692,0.530083386516975,215.154310208931
"10m","10m_C1",276,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",276,0.712243388083668,130.699910523553,0.946055869738135,215.154310208931
"10m","10m_C1",276,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",276,0.684409625911955,126.737939061078,3.88768115942029,215.154310208931
"10m","10m_C6",270,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",270,0.620155402010339,145.025320040117,0.560209394142612,274.349690741791
"10m","10m_C6",270,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",270,0.617826284570683,142.619545869761,1.02405029302893,274.349690741791
"10m","10m_C6",270,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",270,0.604440232984044,147.942328660755,0.719817512643257,274.349690741791
"10m","10m_C6",270,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",270,0.600323303358681,136.984319211983,4.22222222222222,274.349690741791
"10m","10m_C2",271,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",271,0.564892456881507,136.438829947087,0.738712291833884,272.998865247702
"10m","10m_C2",271,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",271,0.558527611629567,126.704690155241,0.580469561700031,272.998865247702
"10m","10m_C2",271,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",271,0.55450187314962,122.963553472379,1.06284435179735,272.998865247702
"10m","10m_C2",271,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",271,0.538877605400325,117.129760916575,4.35424354243542,272.998865247702
"10m","10m_C4",290,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",290,0.523092029751091,115.673034235297,1.17388286833916,285.384072052893
"10m","10m_C4",290,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",290,0.521812499264917,118.428997978424,0.622273598994783,285.384072052893
"10m","10m_C4",290,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",290,0.520319752041213,126.216482515851,0.765752152402283,285.384072052893
"10m","10m_C4",290,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",290,0.508200673029006,111.286038022788,4.77931034482759,285.384072052893
"10m","10m_C1",276,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",276,0.938249669667299,204.448124693473,0.530083386516975,369.994980108696
"10m","10m_C1",276,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",276,0.926891912192781,192.821995535146,0.946055869738135,369.994980108696
"10m","10m_C1",276,"sp_even","Species evenness","phy_faith","Faith's PD",276,0.897038697018331,226.737214253439,0.719661250956328,369.994980108696
"10m","10m_C1",276,"sp_rich","Species richness","phy_faith","Faith's PD",276,0.854753781204336,165.853390045,3.88768115942029,369.994980108696
"10m","10m_C3",363,"sp_even","Species evenness","phy_faith","Faith's PD",363,0.825491674628429,228.075571594227,0.739655787257869,547.574315096419
"10m","10m_C5",530,"sp_even","Species evenness","phy_faith","Faith's PD",530,0.823494563004373,221.117664741598,0.64685918012116,414.784763824528
"10m","10m_C3",363,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",363,0.788862583612581,196.122588281324,0.556223267373468,547.574315096419
"10m","10m_C3",363,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",363,0.773287223910287,185.207014643211,0.994529948913037,547.574315096419
"10m","10m_C3",363,"sp_rich","Species richness","phy_faith","Faith's PD",363,0.768645500012799,160.387295577198,3.9862258953168,547.574315096419
"10m","10m_C5",530,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",530,0.762845309289719,188.77007816837,0.493431774308044,414.784763824528
"10m","10m_C5",530,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",530,0.74085027122645,177.615629039324,0.894937478344168,414.784763824528
"10m","10m_C6",270,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",270,0.70034307796913,169.471989940858,1.02405029302893,446.9218555
"10m","10m_C6",270,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",270,0.698395397379083,176.510867375181,0.560209394142612,446.9218555
"10m","10m_C6",270,"sp_even","Species evenness","phy_faith","Faith's PD",270,0.676613031059954,196.670040883627,0.719817512643257,446.9218555
"10m","10m_C5",530,"sp_rich","Species richness","phy_faith","Faith's PD",530,0.670731946503249,157.625243899623,3.86792452830189,414.784763824528
"10m","10m_C4",290,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",290,0.652200713384086,160.545199090872,0.622273598994783,496.7551058
"10m","10m_C4",290,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",290,0.65159488218813,152.318378481089,1.17388286833916,496.7551058
"10m","10m_C2",271,"sp_simpson","Simpson diversity","phy_faith","Faith's PD",271,0.625757959763011,159.244238823656,0.580469561700031,467.547150457565
"10m","10m_C6",270,"sp_rich","Species richness","phy_faith","Faith's PD",270,0.62180294777408,147.756517041187,4.22222222222222,446.9218555
"10m","10m_C2",271,"sp_even","Species evenness","phy_faith","Faith's PD",271,0.618068846385325,179.960586456159,0.738712291833884,467.547150457565
"10m","10m_C4",290,"sp_even","Species evenness","phy_faith","Faith's PD",290,0.609148655832882,179.507347849732,0.765752152402283,496.7551058
"10m","10m_C2",271,"sp_shannon","Shannon diversity","phy_faith","Faith's PD",271,0.590575337006446,147.636966733938,1.06284435179735,467.547150457565
"10m","10m_C4",290,"sp_rich","Species richness","phy_faith","Faith's PD",290,0.566329983706418,131.449877596282,4.77931034482759,496.7551058
"10m","10m_C2",271,"sp_rich","Species richness","phy_faith","Faith's PD",271,0.510876807678015,122.022973965829,4.35424354243542,467.547150457565
"10m","10m_C1",276,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",276,0.913741166618172,61.9233543676642,0.719661250956328,101.128709383474
"10m","10m_C1",276,"sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",276,0.856532283762468,54.2684754966711,0.530083386516975,101.128709383474
"10m","10m_C3",363,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",363,0.850367368490718,67.7230209985022,3.9862258953168,165.710706203704
"10m","10m_C1",276,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",276,0.848704044662211,53.5533153887719,0.946055869738135,101.128709383474
"10m","10m_C1",276,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",276,0.833399316281439,59.3418571485684,3.88768115942029,101.128709383474
"10m","10m_C3",363,"sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",363,0.762651741661366,64.5519163412673,0.739655787257869,165.710706203704
"10m","10m_C5",530,"sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",530,0.753623831606738,62.3953921540919,3.86792452830189,116.262840129694
"10m","10m_C3",363,"sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",363,0.742242938982358,58.4916700834422,0.994529948913037,165.710706203704
