"scale","composition_cluster","cluster_size","species_metric","species_label","phylo_metric","phylo_label","n","mean_abs_phylo_residual_z","sd_phylo_residual","mean_species_value","mean_phylo_value"
"10m","10m_C5",431,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",431,0.863737513878495,204.83602197187,0.63340513466654,264.318513480349
"10m","10m_C5",431,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",431,0.854961999565418,195.242851310414,3.21345707656613,264.318513480349
"10m","10m_C5",431,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",431,0.831520696795193,194.443022031269,0.774644018541103,264.318513480349
"10m","10m_C5",431,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",431,0.820860909024039,194.482341146399,0.445341747600037,264.318513480349
"10m","10m_C2",320,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",320,0.775891767908901,188.08215974596,0.747581660067873,323.140559566776
"10m","10m_C2",320,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",320,0.772461866056803,175.454630845706,4.471875,323.140559566776
"10m","10m_C2",320,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",320,0.758851694039034,175.809982561113,1.08988858122117,323.140559566776
"10m","10m_C2",320,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",320,0.756597540245406,177.843640141723,0.593080908904937,323.140559566776
"10m","10m_C3",339,"sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",339,0.728227230276756,170.456834110247,0.725321002368635,244.055756757482
"10m","10m_C3",339,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",339,0.712033040002727,159.02426952281,0.547337750804321,244.055756757482
"10m","10m_C3",339,"sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",339,0.693827568092649,152.464354637711,0.99422566447648,244.055756757482
"10m","10m_C3",339,"sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",339,0.666954195940571,146.013350442399,4.10029498525074,244.055756757482
"10m","10m_C4",374,"sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",374,0.656888677283918,148.537542200908,0.591403024904131,279.718491036216
