"scale","composition_cluster","quad_id","cluster_size","composition_type","mean_silhouette_width"
"10m","10m_C2","0_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","807_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1913_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","0_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","808_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","808_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1914_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","808_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","809_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1915_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1915_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","809_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","601_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1916_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1002_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","602_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1917_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1003_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1917_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1917_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1918_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1004_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1004_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1004_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1005_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1005_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1005_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","500_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","501_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1815_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1816_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1006_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1007_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1007_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","502_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1007_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1008_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","607_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","607_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","608_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","504_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1009_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1009_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1610_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","100_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","100_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","100_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","902_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","101_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1309_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1010_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1010_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1011_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1011_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1613_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","200_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1614_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","200_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","200_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","201_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","201_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","201_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","201_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1109_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","202_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","202_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","202_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","908_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","908_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","203_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1513_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","204_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","204_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1409_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1410_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1410_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1723_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1017_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1724_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1724_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","305_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","305_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","901_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","902_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","207_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1308_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","609_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","600_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","704_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","101_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","101_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1310_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1310_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","904_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1310_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","1812_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","905_b",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","905_c",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","905_d",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","906_a",320,"FAGR+LIST2+LITU",0.0912236219752787
"10m","10m_C2","906_b",320,"FAGR+LIST2+LITU",0.0912236219752787
