"scale","composition_cluster","composition_type","cluster_size","mean_presence_richness","defining_species_codes","top_species_presence","mean_silhouette_width"
"10m","10m_C1","QUAL+FRAMCO+QURU",250,4.484,"QUAL;FRAMCO;QURU","FRAMCO=100.0%; QUAL=97.2%; CACA38=38.8%; ACSA3C=29.2%; CAGL8=28.0%; QUSH=27.6%; QURU=26.8%; QUMU=20.8%",0.159616851148507
"10m","10m_C2","FAGR+LIST2+LITU",320,4.471875,"FAGR;LIST2;LITU","FAGR=100.0%; LIST2=63.4%; LITU=55.3%; QUMU=21.9%; CATO6=18.1%; QUAL=16.9%; CAOV2=15.6%; ACSA3C=15.0%",0.0912236219752787
"10m","10m_C3","QUAL+ACSA3C+CACA38",339,4.10029498525074,"QUAL;ACSA3C;CACA38","QUAL=99.1%; ACSA3C=39.8%; CACA38=31.9%; QUMU=28.3%; QUSH=21.5%; CAOV2=18.3%; CAGL8=16.8%; QURU=16.5%",0.0492883851821143
"10m","10m_C4","FRAMCO+AEFL+QUMU",374,4.5855614973262,"FRAMCO;AEFL;QUMU","FRAMCO=62.8%; ACSA3C=48.1%; QUMU=47.1%; AEFL=39.0%; TIAM=26.5%; CAOV2=25.7%; MAAC=22.5%; CELA=19.5%",-0.00216191318988872
"10m","10m_C5","LITU+LIST2+ACNE2",431,3.21345707656613,"LITU;LIST2;ACNE2","LITU=64.3%; LIST2=51.7%; ACNE2=25.8%; CELA=19.5%; JUNI=18.1%; TIAM=10.0%; ULAM=10.0%; FRAMCO=9.3%",0.12926561435567
"10m","10m_C6","CACA38+FRAMCO+ACSA3C",286,4.31468531468532,"CACA38;FRAMCO;ACSA3C","CACA38=100.0%; FRAMCO=50.0%; ACSA3C=43.7%; QUMU=37.4%; QUSH=27.3%; CAOV2=26.9%; AEFL=21.7%; CAGL8=21.7%",0.0945840456963836
"20m","20m_C1","CACA38+CAOV2+ACSA3C",93,7.88172043010753,"CACA38;CAOV2;ACSA3C","CACA38=78.5%; ACSA3C=77.4%; CAOV2=71.0%; QUAL=69.9%; QUMU=69.9%; FRAMCO=52.7%; QUSH=52.7%; AEFL=51.6%",0.0208215100664341
"20m","20m_C2","MAAC+AEFL+CELA",76,9.02631578947368,"MAAC;AEFL;CELA","FRAMCO=82.9%; MAAC=80.3%; AEFL=73.7%; ACSA3C=69.7%; TIAM=60.5%; QUMU=55.3%; CELA=53.9%; LITU=50.0%",0.0333803098396311
"20m","20m_C3","CAOV2+FAGR+LIST2",68,9.33823529411765,"CAOV2;FAGR;LIST2","FAGR=85.3%; CAOV2=83.8%; LIST2=73.5%; QUMU=63.2%; QUAL=61.8%; ACSA3C=60.3%; FRAMCO=51.5%; LITU=39.7%",-0.00633572045487935
"20m","20m_C4","QUAL+CACA38+CAGL8",115,6.57391304347826,"QUAL;CACA38;CAGL8","QUAL=91.3%; FRAMCO=87.0%; CACA38=77.4%; CAGL8=60.9%; ACSA3C=55.7%; QURU=53.0%; QUSH=47.0%; QUMU=45.2%",0.165799918091537
"20m","20m_C5","LIST2+FAGR+LITU",90,6.83333333333333,"LIST2;FAGR;LITU","LIST2=94.4%; LITU=88.9%; FAGR=87.8%; OXAR=32.2%; ACSA3C=31.1%; QUMU=31.1%; CATO6=28.9%; PIEC2=28.9%",0.112065081021085
"20m","20m_C6","ACNE2+JUNI+CELA",58,5.20689655172414,"ACNE2;JUNI;CELA","LITU=72.4%; ACNE2=70.7%; JUNI=65.5%; LIST2=55.2%; CELA=53.4%; ULAM=32.8%; PLOC=31.0%; CACO15=19.0%",0.219891944212193
"50m","50m_C1","FAGR+CATO6+QUVE",26,17,"FAGR;CATO6;QUVE","FAGR=100.0%; LIST2=96.2%; ACSA3C=92.3%; QUMU=88.5%; CAOV2=84.6%; LITU=80.8%; CACA38=73.1%; QUAL=73.1%",0.054475412910208
"50m","50m_C2","QURU+CAGL8+CACA38",24,13.2916666666667,"QURU;CAGL8;CACA38","ACSA3C=100.0%; CACA38=100.0%; FRAMCO=100.0%; QUAL=100.0%; QUMU=100.0%; CAGL8=91.7%; QUSH=91.7%; QURU=87.5%",0.272328746055669
"50m","50m_C3","CELA+MAAC+ACNE2",30,15.9333333333333,"CELA;MAAC;ACNE2","FRAMCO=93.3%; LITU=86.7%; CELA=83.3%; LIST2=83.3%; QUMU=83.3%; ACSA3C=76.7%; AEFL=76.7%; TIAM=76.7%",0.107229459673085
