"scale","composition_cluster","species_code","presence_frequency","outside_presence_frequency","indicator_score"
"10m","10m_C1","ACNE2",0,0.0714285714285714,-0.0714285714285714
"10m","10m_C1","ACRU",0,0.00171428571428571,-0.00171428571428571
"10m","10m_C1","ACSA3C",0.292,0.298857142857143,-0.00685714285714289
"10m","10m_C1","AEFL",0.064,0.170285714285714,-0.106285714285714
"10m","10m_C1","ALJU",0,0.00228571428571429,-0.00228571428571429
"10m","10m_C1","CACA18",0.004,0.00857142857142857,-0.00457142857142857
"10m","10m_C1","CACA38",0.388,0.234857142857143,0.153142857142857
"10m","10m_C1","CACO15",0.028,0.06,-0.032
"10m","10m_C1","CAGL8",0.28,0.0954285714285714,0.184571428571429
"10m","10m_C1","CALA21",0,0.0342857142857143,-0.0342857142857143
"10m","10m_C1","CAOV2",0.104,0.172571428571429,-0.0685714285714286
"10m","10m_C1","CAOV3",0.028,0.016,0.012
"10m","10m_C1","CAPA24",0.004,0.00114285714285714,0.00285714285714286
"10m","10m_C1","CARYA",0,0.00628571428571429,-0.00628571428571429
"10m","10m_C1","CATO6",0.024,0.0845714285714286,-0.0605714285714286
"10m","10m_C1","CELA",0.012,0.0977142857142857,-0.0857142857142857
"10m","10m_C1","DIVI5",0.108,0.0748571428571429,0.0331428571428571
"10m","10m_C1","FAGR",0.02,0.224,-0.204
"10m","10m_C1","FRAMCO",1,0.258857142857143,0.741142857142857
"10m","10m_C1","FRQU",0.012,0.0148571428571429,-0.00285714285714286
"10m","10m_C1","GLTR",0,0.00285714285714286,-0.00285714285714286
"10m","10m_C1","JUNI",0.016,0.0868571428571429,-0.0708571428571429
"10m","10m_C1","JUVI",0.048,0.0731428571428571,-0.0251428571428571
"10m","10m_C1","LIBE3",0,0.00114285714285714,-0.00114285714285714
"10m","10m_C1","LIST2",0.024,0.292,-0.268
"10m","10m_C1","LITU",0.004,0.289142857142857,-0.285142857142857
"10m","10m_C1","MAAC",0.04,0.0845714285714286,-0.0445714285714286
"10m","10m_C1","NYSY",0,0.00457142857142857,-0.00457142857142857
"10m","10m_C1","OSVI",0,0.00571428571428571,-0.00571428571428571
"10m","10m_C1","OXAR",0,0.028,-0.028
"10m","10m_C1","PATO2",0,0.00228571428571429,-0.00228571428571429
"10m","10m_C1","PIEC2",0,0.04,-0.04
"10m","10m_C1","PIVI2",0,0.00114285714285714,-0.00114285714285714
"10m","10m_C1","PLOC",0,0.028,-0.028
"10m","10m_C1","PRSES",0.036,0.0457142857142857,-0.00971428571428572
"10m","10m_C1","QUAL",0.972,0.229714285714286,0.742285714285714
"10m","10m_C1","QUFA",0.032,0.0451428571428571,-0.0131428571428571
"10m","10m_C1","QUMO4",0.092,0.0165714285714286,0.0754285714285714
"10m","10m_C1","QUMU",0.208,0.273142857142857,-0.0651428571428571
"10m","10m_C1","QUNI",0,0.0228571428571429,-0.0228571428571429
"10m","10m_C1","QUPA5",0.004,0.0325714285714286,-0.0285714285714286
"10m","10m_C1","QURU",0.268,0.0828571428571429,0.185142857142857
"10m","10m_C1","QUSH",0.276,0.145714285714286,0.130285714285714
"10m","10m_C1","QUVE",0.016,0.0331428571428571,-0.0171428571428571
"10m","10m_C1","SAAL5",0,0.00342857142857143,-0.00342857142857143
"10m","10m_C1","TIAM",0.028,0.126857142857143,-0.0988571428571429
"10m","10m_C1","ULAL",0.012,0.068,-0.056
"10m","10m_C1","ULAM",0,0.0377142857142857,-0.0377142857142857
"10m","10m_C1","ULRU",0.012,0.0188571428571429,-0.00685714285714286
"10m","10m_C1","ULSE",0.028,0.0382857142857143,-0.0102857142857143
"10m","10m_C2","ACNE2",0,0.0744047619047619,-0.0744047619047619
"10m","10m_C2","ACRU",0.003125,0.00119047619047619,0.00193452380952381
"10m","10m_C2","ACSA3C",0.15,0.326190476190476,-0.176190476190476
"10m","10m_C2","AEFL",0.0875,0.170238095238095,-0.0827380952380952
"10m","10m_C2","ALJU",0.009375,0.000595238095238095,0.0087797619047619
"10m","10m_C2","CACA18",0.00625,0.00833333333333333,-0.00208333333333333
"10m","10m_C2","CACA38",0.05,0.292857142857143,-0.242857142857143
"10m","10m_C2","CACO15",0.040625,0.0589285714285714,-0.0183035714285714
"10m","10m_C2","CAGL8",0.06875,0.12797619047619,-0.0592261904761905
"10m","10m_C2","CALA21",0.009375,0.0339285714285714,-0.0245535714285714
"10m","10m_C2","CAOV2",0.15625,0.16547619047619,-0.00922619047619047
"10m","10m_C2","CAOV3",0.00625,0.0196428571428571,-0.0133928571428571
"10m","10m_C2","CAPA24",0,0.00178571428571429,-0.00178571428571429
"10m","10m_C2","CARYA",0,0.00654761904761905,-0.00654761904761905
"10m","10m_C2","CATO6",0.18125,0.0571428571428571,0.124107142857143
"10m","10m_C2","CELA",0.01875,0.1,-0.08125
"10m","10m_C2","DIVI5",0.05,0.0845238095238095,-0.0345238095238095
"10m","10m_C2","FAGR",1,0.0458333333333333,0.954166666666667
"10m","10m_C2","FRAMCO",0.109375,0.397619047619048,-0.288244047619048
"10m","10m_C2","FRQU",0,0.0172619047619048,-0.0172619047619048
"10m","10m_C2","GLTR",0,0.00297619047619048,-0.00297619047619048
"10m","10m_C2","JUNI",0.025,0.0880952380952381,-0.0630952380952381
"10m","10m_C2","JUVI",0.0625,0.0714285714285714,-0.00892857142857142
"10m","10m_C2","LIBE3",0,0.00119047619047619,-0.00119047619047619
