"scale","x_metric","x_label","y_metric","y_label","moderator","moderator_label","moderator_is_plotted_metric","n","base_r2","additive_r2","full_interaction_r2","moderator_incremental_r2_after_metric","interaction_incremental_r2_after_additive","full_incremental_r2_after_metric","moderator_main_slope","moderator_main_p_value","interaction_slope","interaction_f","interaction_p_value","full_partial_f","full_partial_p_value","interaction_q_value","full_partial_q_value","moderator_main_q_value"
"10m","sp_rich","Species richness","sp_shannon","Shannon diversity","present_species_count","Number of species",TRUE,2000,0.678881975832748,0.678881975832748,0.712866103840909,0,0.0339841280081609,0.0339841280081609,NA,NA,-0.127095658770339,236.357687267598,1.69912638176555e-50,236.357687267598,1.69912638176555e-50,2.67612405128074e-49,6.69031012820185e-50,NA
"10m","sp_rich","Species richness","sp_shannon","Shannon diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.678881975832748,0.689793019529434,0.699756123281538,0.0109110436966857,0.00996310375210385,0.0208741474487896,0.117818495842056,9.76174842717452e-17,-0.0843882963437972,66.2340071895844,6.96724426158361e-16,69.3849259527998,7.37661485722051e-30,3.99033080436152e-15,2.32363368002446e-29,2.7743916582496e-16
"10m","sp_rich","Species richness","sp_simpson","Simpson diversity","present_species_count","Number of species",TRUE,2000,0.516915465489525,0.516915465489525,0.600486246060433,0,0.0835707805709071,0.0835707805709071,NA,NA,-0.199305773876128,417.734926906537,1.83648198354556e-84,417.734926906537,1.83648198354556e-84,5.78491824816852e-83,1.28553738848189e-83,NA
"10m","sp_rich","Species richness","sp_simpson","Simpson diversity","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.516915465489525,0.531939756892195,0.568314339663825,0.0150242914026698,0.0363745827716293,0.0513988741742991,0.13825387911878,1.98604838236666e-15,-0.161244126194932,168.186423323934,5.49732983405428e-37,118.827380983662,1.74662394375582e-49,6.29694144628036e-36,6.66892778524949e-49,5.36233063238999e-15
"10m","sp_rich","Species richness","sp_even","Species evenness","present_species_count","Number of species",TRUE,2000,0.120207159597235,0.120207159597235,0.22415276567326,0,0.103945606076025,0.103945606076025,NA,NA,-0.222277610264688,267.551866075741,1.5544482283902e-56,267.551866075741,1.5544482283902e-56,3.26434127961941e-55,7.53309526066018e-56,NA
"10m","sp_rich","Species richness","sp_even","Species evenness","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.120207159597235,0.150352627657867,0.216862519566314,0.030145468060632,0.0665098919084472,0.0966553599690792,0.195835464351719,7.23372870875483e-17,-0.218035903514832,169.515248045266,2.96859622012236e-37,123.173838130851,3.61968593861179e-51,3.74043123735417e-36,1.47122718795189e-50,2.11146675823114e-16
"10m","sp_rich","Species richness","phy_faith","Faith's PD","present_species_count","Number of species",TRUE,2000,0.503837550645902,0.503837550645902,0.510221566065047,0,0.00638401541914468,0.00638401541914468,NA,NA,-0.0550857941303897,26.0298900660151,3.68004443204412e-07,26.0298900660151,3.68004443204412e-07,1.36378117187517e-06,6.26602160050755e-07,NA
"10m","sp_rich","Species richness","phy_faith","Faith's PD","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.503837550645902,0.512031204248002,0.514727837382851,0.00819365360209967,0.00269663313484902,0.0108902867369487,0.102098444655671,8.12236048726101e-09,-0.0439031646240098,11.0916721621331,0.00088295880246874,22.3967229128892,2.40305188126267e-10,0.00231776685648044,4.96368093506716e-10,1.59493624113489e-08
"10m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q","present_species_count","Number of species",TRUE,2000,0.251404203601262,0.251404203601262,0.29018478083094,0,0.0387805772296781,0.0387805772296781,NA,NA,-0.135768739385904,109.105596268177,6.65579032847925e-25,109.105596268177,6.65579032847925e-25,4.19314790694192e-24,1.90597632133724e-24,NA
"10m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q","crown_equivalent_individuals","Crown-equivalent individuals",FALSE,2000,0.251404203601262,0.282727782453341,0.299551984487299,0.0313235788520788,0.0168242020339588,0.0481477808860376,0.199625498884574,2.51486707847219e-20,-0.109660981924744,47.9423262198861,5.89623984093554e-12,68.6010728277869,1.53556448908107e-29,2.97170487983151e-11,4.71905184449305e-29,8.2304740749999e-20
