"scale","species_metric","species_label","phylo_metric","phylo_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","sp_rich","Species richness","phy_faith","Faith's PD",2000,0.709815152448792,0.503837550645902,2028.90691849209,2.13058113780634e-306,103.957861262223,25.9009576759285,0.754906095933113,0
"10m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",2000,0.501402237331727,0.251404203601262,670.997087095275,8.39255522635726e-128,22.820434947924,37.5841952288087,0.564417172297548,1.228642586058e-168
"10m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",2000,0.452469992294787,0.204729093927245,514.351432377453,1.62083312043391e-101,52.7787995857672,57.1720594906161,0.526642863873517,3.95332185979722e-143
"10m","sp_shannon","Shannon diversity","phy_faith","Faith's PD",2000,0.60671925128255,0.368108249876857,1163.93398570346,2.0430118336113e-201,335.711735425661,120.133014611708,0.634877847864927,3.94589226235817e-226
"10m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",2000,0.661399087289849,0.437448752667846,1553.67641966012,6.96266449669201e-252,113.728135431659,18.2078031148915,0.731250559150151,0
"10m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",2000,0.426245068762315,0.181684858644191,443.602139598265,4.25228596760747e-89,187.843326862822,87.5965644251283,0.495112737232798,3.5213182035939e-124
"10m","sp_simpson","Simpson diversity","phy_faith","Faith's PD",2000,0.546768429190398,0.298955715159335,852.033932526973,2.58812059791685e-156,623.150164328749,113.7342096349,0.573762818613838,1.80482639463613e-175
"10m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",2000,0.681283501040295,0.464147208789721,1730.63598505722,5.42577190208539e-273,241.29189561619,-0.545066611536696,0.742301445219006,0
"10m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",2000,0.397654532019775,0.158129126835866,375.285575839686,9.35776709445923e-77,360.954845454176,77.2704361860181,0.470108614711218,1.67252633943915e-110
"10m","sp_even","Species evenness","phy_faith","Faith's PD",2000,0.302735319781925,0.0916486738434646,201.58945670729,1.15877580177031e-43,299.034579983764,242.782184873104,0.124044164264513,2.61458475145904e-08
"10m","sp_even","Species evenness","phy_rao","Phylogenetic Rao's Q",2000,0.574816104739801,0.330413554268237,985.931369483548,2.96802268097967e-176,176.446410292324,6.1588591334436,0.521182892306496,1.05379931151787e-139
"10m","sp_even","Species evenness","phy_afaith","Abundance-weighted Faith's PD",2000,0.260756249187083,0.0679938214901164,145.762612383596,1.91336880657219e-32,205.140165379736,129.247657004522,0.196336908356362,7.90545377946819e-19
"20m","sp_rich","Species richness","phy_faith","Faith's PD",500,0.726617922078965,0.527973604686354,557.025746323137,3.22576726215358e-83,90.3665165288673,78.272083543824,0.71163445464016,2.21437256645172e-78
"20m","sp_rich","Species richness","phy_rao","Phylogenetic Rao's Q",500,0.412158384992238,0.16987453431941,101.90931562581,6.3195735852204e-22,10.2444208692523,102.446586899781,0.495969949931197,2.10123467862807e-32
"20m","sp_rich","Species richness","phy_afaith","Abundance-weighted Faith's PD",500,0.23646102293061,0.0559138153653903,29.494214093114,8.78308770009352e-08,43.4948312707512,518.929274346098,0.304679272785819,3.35505698404092e-12
"20m","sp_shannon","Shannon diversity","phy_faith","Faith's PD",500,0.583190322205333,0.34011095191396,256.672321725013,6.82161199269582e-47,433.172462280925,62.330307193059,0.578549325145711,5.2153091331182e-46
"20m","sp_shannon","Shannon diversity","phy_rao","Phylogenetic Rao's Q",500,0.470385279318557,0.221262310999597,141.496465927107,6.82426240346385e-29,69.8274351644882,67.6555985097506,0.531886671546686,7.31050097532953e-38
"20m","sp_shannon","Shannon diversity","phy_afaith","Abundance-weighted Faith's PD",500,0.152207284114096,0.0231670573373891,11.81081641511,0.000638156009877297,167.210143185876,576.970832660194,0.220343825375302,6.4914232213622e-07
"20m","sp_simpson","Simpson diversity","phy_faith","Faith's PD",500,0.479724898181526,0.230135977935275,148.867480135514,3.85787686758001e-30,1076.51667089591,-41.7630577824941,0.506841282589807,5.47343338088764e-34
"20m","sp_simpson","Simpson diversity","phy_rao","Phylogenetic Rao's Q",500,0.487617323463088,0.237770654141306,155.346663580599,3.17407714328848e-31,218.690271353131,17.586158883388,0.524173616694467,1.23488231230937e-36
"20m","sp_simpson","Simpson diversity","phy_afaith","Abundance-weighted Faith's PD",500,0.12058469785122,0.0145406693558701,7.34809962628308,0.00694513207913392,400.218675631168,548.091450853122,0.176679298717195,7.12504578712078e-05
"20m","sp_even","Species evenness","phy_faith","Faith's PD",500,0.169953096010536,0.0288840548435666,14.8120926073138,0.000134227661787302,419.557584024899,413.359905059836,0.0904691294119687,0.0431726264613626
