"scenario","scale","spectral_metric","spectral_label","spectral_transform","biodiversity_metric","biodiversity_label","biodiversity_transform","model_formula","x_axis","y_axis","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","spectral_group","biodiversity_group","abs_pearson_r"
"spectral_power2_biodiversity_identity","10m","spec_sa","Spectral angle entropy","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1903,0.0969670488798949,0.109949011784291,0.00940260856847598,18.0440197433211,2.26284200076416e-05,0.000265511739946432,7.9758475297823,"spectral_angle_entropy","phylogenetic",0.0969670488798949
"spectral_power2_biodiversity_identity","20m","spec_sa","Spectral angle entropy","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",485,0.167724136667498,0.218147084775239,0.0281313860208575,13.9807575351598,0.000206828072159045,0.000325432029542879,7.80162245033056,"spectral_angle_entropy","phylogenetic",0.167724136667498
"spectral_power2_biodiversity_identity","50m","spec_sa","Spectral angle entropy","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",80,0.163368207998973,0.244725738396624,0.0266891713847957,2.13883921437093,0.147628239154719,0.000200334786677058,7.84244557450407,"spectral_angle_entropy","phylogenetic",0.163368207998973
"spectral_power2_biodiversity_identity","10m","spec_sa","Spectral angle entropy","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1903,0.114520868324835,0.110663370336387,0.0131150292818742,25.262995591777,5.47155493701944e-07,0.00100912809156281,7.96331145543334,"spectral_angle_entropy","phylogenetic",0.114520868324835
"spectral_power2_biodiversity_identity","20m","spec_sa","Spectral angle entropy","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",485,0.202270304341308,0.192017225256838,0.0409132760183253,20.6040932719956,7.13785884238932e-06,0.00195879974528158,7.69631820627221,"spectral_angle_entropy","phylogenetic",0.202270304341308
"spectral_power2_biodiversity_identity","50m","spec_sa","Spectral angle entropy","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",80,0.332272748737597,0.424730426629161,0.110405179553638,9.68036662001114,0.00260203929078664,0.00324040482912811,7.43522400955311,"spectral_angle_entropy","phylogenetic",0.332272748737597
"spectral_power2_biodiversity_identity","10m","spec_sa","Spectral angle entropy","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1903,0.104587119389053,0.0829534479728978,0.0109384655421,21.0239932209366,4.83113903113946e-06,0.000357665298803389,7.99757531626907,"spectral_angle_entropy","phylogenetic",0.104587119389053
"spectral_power2_biodiversity_identity","20m","spec_sa","Spectral angle entropy","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",485,0.181296225190807,0.136392667695386,0.0328683212684359,16.4149303779148,5.92803135903776e-05,0.000237199156182248,7.84579744645241,"spectral_angle_entropy","phylogenetic",0.181296225190807
"spectral_power2_biodiversity_identity","50m","spec_sa","Spectral angle entropy","power_2","phy_afaith","Abundance-weighted Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",80,0.221531765212446,0.280661040787623,0.0490763229981421,4.02551044467011,0.048283205527254,5.95563291497829e-05,7.88562638090525,"spectral_angle_entropy","phylogenetic",0.221531765212446
"spectral_power2_biodiversity_identity","10m","spec_sa","Spectral angle entropy","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1903,-0.0282268141943577,0.0053549939214677,0.000796753039562791,1.51583527457136,0.218403124783954,-0.0436378804991828,8.14102218486279,"spectral_angle_entropy","shannon",0.0282268141943577
"spectral_power2_biodiversity_identity","20m","spec_sa","Spectral angle entropy","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",485,-0.025064761934778,0.0166422109252475,0.000628242290847092,0.303631780804692,0.581869317735217,-0.0363519659422838,8.10416037983463,"spectral_angle_entropy","shannon",0.025064761934778
"spectral_power2_biodiversity_identity","50m","spec_sa","Spectral angle entropy","power_2","sp_shannon","Shannon diversity","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",80,0.0421613906708894,0.139076418190342,0.00177758286330337,0.138898366694039,0.710389457758799,0.0546971857654635,7.98953183605291,"spectral_angle_entropy","shannon",0.0421613906708894
"spectral_power2_biodiversity_identity","10m","spec_alpha","Raw PCA alpha hull","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1741,0.0282390509109641,-0.00358404145363175,0.000797443996352028,1.38786185175763,0.238927699002832,24.1995932275647,298470.745349041,"raw_pca","phylogenetic",0.0282390509109641
"spectral_power2_biodiversity_identity","20m","spec_alpha","Raw PCA alpha hull","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,0.109916182888143,0.111886714152731,0.0120815672606996,5.30752339199172,0.0217051880567524,86.8772380281148,382203.459103902,"raw_pca","phylogenetic",0.109916182888143
"spectral_power2_biodiversity_identity","50m","spec_alpha","Raw PCA alpha hull","power_2","phy_faith","Faith's PD","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.153613190575811,0.110492410218438,0.0235970123188804,1.74004474422425,0.191313049241962,77.4558708644233,440367.626961237,"raw_pca","phylogenetic",0.153613190575811
"spectral_power2_biodiversity_identity","10m","spec_alpha","Raw PCA alpha hull","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",1741,0.0577663480785222,-0.00178992906540143,0.00333695097032897,5.82238675653895,0.0159263181928579,157.92164930636,288478.04407794,"raw_pca","phylogenetic",0.0577663480785222
"spectral_power2_biodiversity_identity","20m","spec_alpha","Raw PCA alpha hull","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",436,0.149324744962595,0.154596096447189,0.0222978794581441,9.89798373299144,0.0017684734897303,581.45755411398,342563.316820429,"raw_pca","phylogenetic",0.149324744962595
"spectral_power2_biodiversity_identity","50m","spec_alpha","Raw PCA alpha hull","power_2","phy_rao","Phylogenetic Rao's Q","identity","spectral_metric^2 ~ biodiversity_metric","biodiversity_identity","spectral_power_2",74,0.345597344085439,0.237497223250648,0.119437524238909,9.7659189233208,0.00256267771578835,1376.42430695601,256524.312697103,"raw_pca","phylogenetic",0.345597344085439
