"scale","spectral_metric","spectral_label","biodiversity_metric","biodiversity_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept"
"10m","spec_sa","Spectral angle entropy","phy_faith","Faith's PD",1903,0.0984630163355496,0.00969496558589483,18.610558301049,1.68556074363551e-05,4.71118184298528e-05,2.82195929357693
"20m","spec_sa","Spectral angle entropy","phy_faith","Faith's PD",485,0.169797814012205,0.0288312976433233,14.3389266230809,0.000171910148243026,5.80564424218147e-05,2.79126846063049
"50m","spec_sa","Spectral angle entropy","phy_faith","Faith's PD",80,0.170649203834405,0.0291211507693164,2.33958105257577,0.130169067142278,3.61602996975768e-05,2.79850110504972
"10m","spec_sa","Spectral angle entropy","phy_rao","Phylogenetic Rao's Q",1903,0.114930106581778,0.0132089293988989,25.4462930760116,4.98181405718525e-07,0.000176967149048412,2.82001219374461
"20m","spec_sa","Spectral angle entropy","phy_rao","Phylogenetic Rao's Q",485,0.202725653945516,0.0410976907676371,20.7009457059912,6.79990770260317e-06,0.00034595548155215,2.77310608643914
"50m","spec_sa","Spectral angle entropy","phy_rao","Phylogenetic Rao's Q",80,0.339670044773391,0.115375739316357,10.1730283315101,0.00205278699607648,0.000572401452586361,2.72760417917179
"10m","spec_sa","Spectral angle entropy","phy_afaith","Abundance-weighted Faith's PD",1903,0.10617909668071,0.0112740005719317,21.6762531779679,3.45093269139253e-06,6.34504654589336e-05,2.82581820996801
"20m","spec_sa","Spectral angle entropy","phy_afaith","Abundance-weighted Faith's PD",485,0.181424373062246,0.0329148031410289,16.4389342001637,5.85589040106418e-05,4.18286265166158e-05,2.79956109013171
"50m","spec_sa","Spectral angle entropy","phy_afaith","Abundance-weighted Faith's PD",80,0.227838204522037,0.0519102474398258,4.27069197760307,0.0420938278359521,1.05841843387123e-05,2.8069234291066
"10m","spec_sa","Spectral angle entropy","sp_rich","Species richness",1903,-0.0233392839271353,0.000544722174231354,1.03608122963389,0.30886415282513,-0.00165832629353976,2.85036359936038
"20m","spec_sa","Spectral angle entropy","sp_rich","Species richness",485,0.0089868388987992,8.07632733929699e-05,0.039011811770424,0.843508357246559,0.000385895255695438,2.83204109638046
"50m","spec_sa","Spectral angle entropy","sp_rich","Species richness",80,0.0716775852249167,0.00513767622367523,0.402808243783454,0.52749976684536,0.00153196450319237,2.82332611604475
"10m","spec_sa","Spectral angle entropy","sp_shannon","Shannon diversity",1903,-0.0274933393631774,0.000755883709338845,1.43802190878767,0.230609156430814,-0.00742722290753874,2.85095017551173
"20m","spec_sa","Spectral angle entropy","sp_shannon","Shannon diversity",485,-0.020837844875669,0.000434215779062445,0.209817327281387,0.647116623701876,-0.0053256266193269,2.84339563065015
"50m","spec_sa","Spectral angle entropy","sp_shannon","Shannon diversity",80,0.0471013094209912,0.00221853334917196,0.173430362277886,0.678224710717653,0.0105589800042941,2.82352088854447
"10m","spec_sa","Spectral angle entropy","sp_simpson","Simpson diversity",1903,-0.0255669427138978,0.000653668559735732,1.24343672755245,0.264950685641024,-0.0142915922448457,2.85137489218295
"20m","spec_sa","Spectral angle entropy","sp_simpson","Simpson diversity",485,-0.0460305998868879,0.00211881612594674,1.02556116436548,0.311710538515421,-0.0355482833190688,2.86111028717317
"50m","spec_sa","Spectral angle entropy","sp_simpson","Simpson diversity",80,0.000501177476405036,2.51178862855227e-07,1.9591956223793e-05,0.996479652021057,0.000564610153626654,2.84657451031782
"10m","spec_sa","Spectral angle entropy","sp_even","Species evenness",1903,-0.0268981528544264,0.00072351062698008,1.37638953434409,0.240864075318933,-0.0130133302719656,2.85280711613779
"20m","spec_sa","Spectral angle entropy","sp_even","Species evenness",485,-0.032510389183223,0.00105692540484463,0.511035096516231,0.475036487734065,-0.0276538170010089,2.8572042146769
"50m","spec_sa","Spectral angle entropy","sp_even","Species evenness",80,-0.0333408947923418,0.00111161526555398,0.0868024816769309,0.76906489440999,-0.0335418609262669,2.87453587645434
"10m","spec_alpha","Raw PCA alpha hull","phy_faith","Faith's PD",1741,0.0216571076011506,0.000469030309647819,0.816026449615902,0.366469617987335,0.0147918911475803,527.786485468402
"20m","spec_alpha","Raw PCA alpha hull","phy_faith","Faith's PD",436,0.116581265416051,0.0135911914460077,5.97985037888525,0.0148666880349928,0.0609210413685166,606.395755498412
"50m","spec_alpha","Raw PCA alpha hull","phy_faith","Faith's PD",74,0.148933630246046,0.0221812262182658,1.63327636013627,0.205355410936057,0.0467206559994537,666.3200854229
"10m","spec_alpha","Raw PCA alpha hull","phy_rao","Phylogenetic Rao's Q",1741,0.0481748699927916,0.00232081809882237,4.04529105855581,0.044448783169685,0.104966952347124,520.55184084803
"20m","spec_alpha","Raw PCA alpha hull","phy_rao","Phylogenetic Rao's Q",436,0.155617117607741,0.0242166872925414,10.7708772512222,0.00111438194624287,0.400624761475503,579.883451920306
"50m","spec_alpha","Raw PCA alpha hull","phy_rao","Phylogenetic Rao's Q",74,0.332476010826451,0.11054029777507,8.94801801576434,0.00380132293466773,0.823820466563553,556.775499503187
"10m","spec_alpha","Raw PCA alpha hull","phy_afaith","Abundance-weighted Faith's PD",1741,0.0573613355193954,0.00329032281256866,5.74076032571809,0.0166807281297006,0.0485616481190177,520.897127857845
"20m","spec_alpha","Raw PCA alpha hull","phy_afaith","Abundance-weighted Faith's PD",436,0.217047789473394,0.0471097429152866,21.4564355897457,4.79147154409325e-06,0.0758948013112461,587.723441396906
"50m","spec_alpha","Raw PCA alpha hull","phy_afaith","Abundance-weighted Faith's PD",74,0.412349720991812,0.170032292402025,14.7503631055437,0.000261595134354656,0.0282087588841585,620.645373088475
"10m","spec_alpha","Raw PCA alpha hull","sp_rich","Species richness",1741,-0.065746611298696,0.00432261689726178,7.54966509424328,0.00606408672191896,-6.81418826326755,562.958842629235
"20m","spec_alpha","Raw PCA alpha hull","sp_rich","Species richness",436,-0.128204816256347,0.0164364749113238,7.25263791260599,0.00735387286877455,-8.78740357892716,718.157044467605
"50m","spec_alpha","Raw PCA alpha hull","sp_rich","Species richness",74,-0.023224014936866,0.00053935486978777,0.0388545069922789,0.844292569543604,-0.76154208797595,741.469707939878
