"quad_id","scale","brightness_n_pixels","mean_pixel_brightness","median_pixel_brightness","sd_pixel_brightness","blue_brightness_n_pixels","mean_blue_pixel_brightness","green_brightness_n_pixels","mean_green_pixel_brightness","red_brightness_n_pixels","mean_red_pixel_brightness","nir_brightness_n_pixels","mean_nir_pixel_brightness"
"0_a","10m",4447,0.0524950272160513,0.0525491572916508,0.0133852343590283,4447,0.0177225202249265,4447,0.0424505839333869,4447,0.100285531096738,4447,0.437154806809534
"0_b","10m",3350,0.0502304372002385,0.0495001301169395,0.0125279118354219,3350,0.0175737793146514,3350,0.0407711656823425,3350,0.0964588226686124,3350,0.419864854968083
"0_c","10m",6145,0.0559994655189182,0.055648248642683,0.0144461159342466,6145,0.0167106545681817,6145,0.0449308141338687,6145,0.10576930644515,6145,0.457804371188468
"0_d","10m",7842,0.0600125745874211,0.0607486646622419,0.0133837058312741,7842,0.0201448218092525,7842,0.0484391449543354,7842,0.113456472831502,7842,0.485689203915293
"1_a","10m",9428,0.0777125718456519,0.0791711919009686,0.0145854570551329,9428,0.0238520257916365,9428,0.0620162163720429,9428,0.138547966227504,9428,0.566417652453736
"1_b","10m",9385,0.0777191851780287,0.0791550204157829,0.0155811083228808,9385,0.0253327382066117,9385,0.0628075498179924,9385,0.132208155879034,9385,0.521140200523315
"1_c","10m",4712,0.0578037983795599,0.0553578492254019,0.0187299706422001,4712,0.0192075823938032,4712,0.0470978759968871,4712,0.10823082488735,4712,0.47103364320358
"1_d","10m",7184,0.069654269442626,0.0720139741897583,0.0171751767907647,7184,0.0220715518751456,7184,0.0563324723834366,7184,0.122984845184515,7184,0.515353408063685
"10_a","10m",9159,0.0660964424187751,0.0670597925782204,0.0179816924073021,9159,0.0242085030819615,9159,0.0542432705666229,9159,0.119001145189425,9159,0.48760631957534
"10_b","10m",7511,0.0517039202253374,0.0513612665235996,0.011164879383508,7511,0.0199946308018379,7511,0.0421982575645383,7511,0.104337934975721,7511,0.449059267291045
"10_c","10m",7047,0.0473291185540846,0.0477327667176723,0.00849946980101882,7047,0.0182794916176845,7047,0.0391607115466644,7047,0.0942923589337469,7047,0.413331222883565
"10_d","10m",7086,0.0489387801311323,0.048752024769783,0.010144154371357,7086,0.0188511321232195,7086,0.0399347829455329,7086,0.103650811812838,7086,0.476309340627574
"100_a","10m",7809,0.0593347344585674,0.0588329397141933,0.0153950702277113,7809,0.0193797283281893,7809,0.0476435684887462,7809,0.118305721316859,7809,0.512287014097926
"100_b","10m",7035,0.0589186247631473,0.0586320236325264,0.01515877234822,7035,0.0177357339319558,7035,0.047549850940797,7035,0.107089475576454,7035,0.45744125410351
"100_c","10m",8911,0.0669636104120883,0.066836915910244,0.0158318747505417,8911,0.0211497641844832,8911,0.0532626645922069,8911,0.129885651564567,8911,0.554379639527775
"100_d","10m",7619,0.0597849195146615,0.0596313588321209,0.0147602481816486,7619,0.0201597334411497,7619,0.0482224198121898,7619,0.118842273304254,7619,0.505043058343303
"1000_a","10m",7586,0.0504098585407789,0.0497235618531704,0.0116031060409209,7586,0.0162810974825367,7586,0.0399649307388582,7586,0.0939705243643187,7586,0.406850557653285
"1000_b","10m",8134,0.0595924043217282,0.058834258466959,0.016546318331109,8134,0.020129527089499,8134,0.0473067129105558,8134,0.110939153137035,8134,0.467273577052064
"1000_c","10m",7126,0.0514964620351955,0.0504429452121258,0.0129370809327571,7126,0.0193755563055299,7126,0.0422221901306307,7126,0.0966616935081923,7126,0.416952347711822
"1000_d","10m",7424,0.0458906581943979,0.0442945752292871,0.0100211911886309,7424,0.0176947127558546,7424,0.0377951892047896,7424,0.0911006260984243,7424,0.410554528575158
"1001_a","10m",6928,0.0517198654681048,0.0515213664621115,0.0111849213920528,6928,0.0179374776740053,6928,0.0416832343563601,6928,0.0984724075749337,6928,0.441473082214912
"1001_b","10m",7555,0.0605999141423652,0.0597971677780151,0.0154927588813205,7555,0.0180214371800045,7555,0.0477263481309008,7555,0.108220531440684,7555,0.453482086243326
"1001_c","10m",8660,0.0656487381847158,0.0656689256429672,0.0169537923860715,8660,0.0235296483392451,8660,0.0531546355780298,8660,0.114037724784998,8660,0.470593842876993
"1001_d","10m",8740,0.0549033577498517,0.0551071129739285,0.01112582828621,8740,0.0179646180457517,8740,0.0438466717222972,8740,0.102065492090159,8740,0.448459749410419
"1002_a","10m",9024,0.0648965538235411,0.0628884322941303,0.0169040201583259,9024,0.0215917797689283,9024,0.0519549103743599,9024,0.120655335029535,9024,0.5160498538576
"1002_b","10m",8827,0.0804426365554032,0.0814315900206566,0.0195976007155638,8827,0.0258613489228965,8827,0.0638259070161745,8827,0.134001275747315,8827,0.53108462763463
