"scale","x_metric","x_label","y_metric","y_label","composition_cluster","composition_type","n","mean_spectral_scatterplot_silhouette_width","overall_spectral_scatterplot_silhouette_width"
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.0639327002062415,-0.0807328216903054
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull","10m_C2","FAGR+LIST2+LITU",296,-0.0142988950558793,-0.0807328216903054
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull","10m_C4","FRAMCO+AEFL+QUMU",299,-0.148045521845683,-0.0807328216903054
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull","10m_C5","LITU+LIST2+ACNE2",290,-0.172420929060501,-0.0807328216903054
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull","10m_C3","QUAL+ACSA3C+CACA38",336,-0.0190408984321163,-0.0807328216903054
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull","10m_C1","QUAL+FRAMCO+QURU",247,-0.0737017009610605,-0.0807328216903054
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.0699803653138412,-0.0878699598024686
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q","10m_C2","FAGR+LIST2+LITU",296,-0.0296032648369253,-0.0878699598024686
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q","10m_C4","FRAMCO+AEFL+QUMU",299,-0.154048479680084,-0.0878699598024686
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q","10m_C5","LITU+LIST2+ACNE2",291,-0.189612703625224,-0.0878699598024686
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q","10m_C3","QUAL+ACSA3C+CACA38",338,-0.000317721762543645,-0.0878699598024686
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q","10m_C1","QUAL+FRAMCO+QURU",247,-0.0972988730286303,-0.0878699598024686
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.0585463474661983,-0.0914939746710612
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance","10m_C2","FAGR+LIST2+LITU",296,-0.0111087563018142,-0.0914939746710612
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance","10m_C4","FRAMCO+AEFL+QUMU",299,-0.181006935218718,-0.0914939746710612
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance","10m_C5","LITU+LIST2+ACNE2",291,-0.192427249112678,-0.0914939746710612
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance","10m_C3","QUAL+ACSA3C+CACA38",338,-0.0188814069954767,-0.0914939746710612
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance","10m_C1","QUAL+FRAMCO+QURU",247,-0.09633533771686,-0.0914939746710612
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.0699506931033094,-0.0823618308622146
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull","10m_C2","FAGR+LIST2+LITU",296,-0.0468085463754093,-0.0823618308622146
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull","10m_C4","FRAMCO+AEFL+QUMU",299,-0.148911420057031,-0.0823618308622146
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull","10m_C5","LITU+LIST2+ACNE2",291,-0.163245529933887,-0.0823618308622146
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull","10m_C3","QUAL+ACSA3C+CACA38",338,-0.00987321057457363,-0.0823618308622146
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull","10m_C1","QUAL+FRAMCO+QURU",247,-0.0620285631471995,-0.0823618308622146
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.099171278923592,-0.101267059812363
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q","10m_C2","FAGR+LIST2+LITU",296,-0.0171645500320242,-0.101267059812363
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q","10m_C4","FRAMCO+AEFL+QUMU",299,-0.187986362451546,-0.101267059812363
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q","10m_C5","LITU+LIST2+ACNE2",291,-0.197599105489274,-0.101267059812363
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q","10m_C3","QUAL+ACSA3C+CACA38",338,-0.000192405991726569,-0.101267059812363
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q","10m_C1","QUAL+FRAMCO+QURU",247,-0.124214538710717,-0.101267059812363
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.0979832013193595,-0.0946734474744313
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance","10m_C2","FAGR+LIST2+LITU",296,-0.0303249337893144,-0.0946734474744313
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance","10m_C4","FRAMCO+AEFL+QUMU",299,-0.188678539726257,-0.0946734474744313
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance","10m_C5","LITU+LIST2+ACNE2",291,-0.168403686496912,-0.0946734474744313
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance","10m_C3","QUAL+ACSA3C+CACA38",338,0.000317311709739322,-0.0946734474744313
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance","10m_C1","QUAL+FRAMCO+QURU",247,-0.0974566528045585,-0.0946734474744313
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.135171915098823,-0.122508801434295
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q","10m_C2","FAGR+LIST2+LITU",296,-0.0885869155072455,-0.122508801434295
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q","10m_C4","FRAMCO+AEFL+QUMU",299,-0.23106324184204,-0.122508801434295
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q","10m_C5","LITU+LIST2+ACNE2",290,-0.268654471726123,-0.122508801434295
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q","10m_C3","QUAL+ACSA3C+CACA38",336,0.0285945931033378,-0.122508801434295
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q","10m_C1","QUAL+FRAMCO+QURU",247,-0.051717573507528,-0.122508801434295
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.113983907878751,-0.118709498563496
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance","10m_C2","FAGR+LIST2+LITU",296,-0.0579897460690875,-0.118709498563496
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance","10m_C4","FRAMCO+AEFL+QUMU",299,-0.241450881387258,-0.118709498563496
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance","10m_C5","LITU+LIST2+ACNE2",290,-0.254728785707634,-0.118709498563496
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance","10m_C3","QUAL+ACSA3C+CACA38",336,0.00640685607361585,-0.118709498563496
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance","10m_C1","QUAL+FRAMCO+QURU",247,-0.0586162249491019,-0.118709498563496
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.120561566411788,-0.111628458158938
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull","10m_C2","FAGR+LIST2+LITU",296,-0.0815521991924354,-0.111628458158938
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull","10m_C4","FRAMCO+AEFL+QUMU",299,-0.21150220039771,-0.111628458158938
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull","10m_C5","LITU+LIST2+ACNE2",290,-0.225063511297173,-0.111628458158938
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull","10m_C3","QUAL+ACSA3C+CACA38",336,-0.0158388306033131,-0.111628458158938
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull","10m_C1","QUAL+FRAMCO+QURU",247,-0.014020096297663,-0.111628458158938
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.147855166415221,-0.124524198329693
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","10m_C2","FAGR+LIST2+LITU",296,-0.0705850605251089,-0.124524198329693
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","10m_C4","FRAMCO+AEFL+QUMU",299,-0.247567741625572,-0.124524198329693
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","10m_C5","LITU+LIST2+ACNE2",290,-0.269984051967912,-0.124524198329693
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","10m_C3","QUAL+ACSA3C+CACA38",336,0.0332120967696582,-0.124524198329693
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q","10m_C1","QUAL+FRAMCO+QURU",247,-0.0582191321581873,-0.124524198329693
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.141436593731137,-0.116009391479828
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","10m_C2","FAGR+LIST2+LITU",296,-0.0558562693383753,-0.116009391479828
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","10m_C4","FRAMCO+AEFL+QUMU",299,-0.238215186081792,-0.116009391479828
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","10m_C5","LITU+LIST2+ACNE2",290,-0.231090429058403,-0.116009391479828
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","10m_C3","QUAL+ACSA3C+CACA38",336,0.00671709438003082,-0.116009391479828
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance","10m_C1","QUAL+FRAMCO+QURU",247,-0.0438910259105996,-0.116009391479828
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.136036493878088,-0.14543086252037
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","10m_C2","FAGR+LIST2+LITU",296,-0.0872503383462651,-0.14543086252037
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","10m_C4","FRAMCO+AEFL+QUMU",299,-0.287410049106438,-0.14543086252037
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","10m_C5","LITU+LIST2+ACNE2",291,-0.309160035928274,-0.14543086252037
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","10m_C3","QUAL+ACSA3C+CACA38",338,0.0286930516656903,-0.14543086252037
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance","10m_C1","QUAL+FRAMCO+QURU",247,-0.0990463059974219,-0.14543086252037
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.136232411874513,-0.123864998464579
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","10m_C2","FAGR+LIST2+LITU",296,-0.109445899894235,-0.123864998464579
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","10m_C4","FRAMCO+AEFL+QUMU",299,-0.225475833504724,-0.123864998464579
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","10m_C5","LITU+LIST2+ACNE2",291,-0.247334235169382,-0.123864998464579
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","10m_C3","QUAL+ACSA3C+CACA38",338,-0.00218367939320803,-0.123864998464579
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull","10m_C1","QUAL+FRAMCO+QURU",247,-0.0255202519217909,-0.123864998464579
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.182481816088594,-0.149741774443762
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","10m_C2","FAGR+LIST2+LITU",296,-0.115093244064876,-0.149741774443762
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","10m_C4","FRAMCO+AEFL+QUMU",299,-0.295106019915069,-0.149741774443762
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","10m_C5","LITU+LIST2+ACNE2",291,-0.311193083774162,-0.149741774443762
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","10m_C3","QUAL+ACSA3C+CACA38",338,0.0845837439951763,-0.149741774443762
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q","10m_C1","QUAL+FRAMCO+QURU",247,-0.109554399724756,-0.149741774443762
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.166119210669661,-0.132892126503852
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","10m_C2","FAGR+LIST2+LITU",296,-0.0862069541893948,-0.132892126503852
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","10m_C4","FRAMCO+AEFL+QUMU",299,-0.267695814286258,-0.132892126503852
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","10m_C5","LITU+LIST2+ACNE2",291,-0.250743284059489,-0.132892126503852
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","10m_C3","QUAL+ACSA3C+CACA38",338,0.0289159767090857,-0.132892126503852
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance","10m_C1","QUAL+FRAMCO+QURU",247,-0.0715073751603582,-0.132892126503852
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull","10m_C6","CACA38+FRAMCO+ACSA3C",273,-0.110253079157475,-0.115062679110107
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull","10m_C2","FAGR+LIST2+LITU",296,-0.0787875160481254,-0.115062679110107
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull","10m_C4","FRAMCO+AEFL+QUMU",299,-0.227499077572541,-0.115062679110107
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull","10m_C5","LITU+LIST2+ACNE2",291,-0.23350392609327,-0.115062679110107
