"scale","x_metric","x_label","y_metric","y_label","n","base_r2","elevation_adjusted_r2","elevation_incremental_r2_after_metric","elevation_partial_f","elevation_partial_p_value","elevation_slope"
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",1741,0.0070380131609738,0.00814660277302265,0.00110858961204885,1.94255396122841,0.163569677706484,0.296345711316312
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",1744,0.0411754160254309,0.0411853879214342,9.97189600323439e-06,0.0181068068037277,0.892974108901077,0.0162927492267232
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",1744,0.016687363512487,0.0167933687289825,0.000106005216495449,0.187707320159242,0.664885355023503,0.000920528795314244
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",1744,0.119487147249895,0.133322005331412,0.0138348580815166,27.791738186604,1.51954350971659e-07,-0.996039117203459
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",1744,0.133879558104379,0.134950353519281,0.00107079541490246,2.15508419075066,0.142279288589764,-0.27782909666431
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",1744,0.211207767862305,0.225829033148941,0.0146212652866368,32.8811386037578,1.15263006979746e-08,-0.012663833095122
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",1741,0.517661562461592,0.519798454968627,0.00213689250703453,7.73408418955358,0.00547727230813768,-0.234768075072048
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",1741,0.731412281384157,0.732194670250336,0.000782388866178652,5.07753841452424,0.0243619589532869,-0.00246120560750126
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",1741,0.650983302329011,0.687622289066973,0.0366389867379618,203.851160700228,8.1809266383896e-44,-1.59419049111647
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",1741,0.250586947650129,0.261961706900599,0.0113747592504703,26.7863222845743,2.53586289594215e-07,-0.891298129018591
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",1741,0.400582019612085,0.445550340939112,0.0449683213270272,140.959492334705,2.5719093143483e-31,-0.0218460044352088
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",1744,0.820921023772962,0.821215767989463,0.000294744216501552,2.87021777680584,0.0904115151381744,0.00151070976037207
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",1744,0.318324826915046,0.343660213024303,0.0253353861092562,67.2043781155819,4.69395841088909e-16,-1.32659218183736
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",1744,0.731791428939184,0.736623723203781,0.00483229426459664,31.9429844517559,1.85146977280528e-08,-0.580879154060768
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",1744,0.622660353891148,0.653430932573551,0.0307705786824036,154.576915602643,4.61791625722784e-34,-0.0180811130202812
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull",1744,0.41242871512095,0.441167514677649,0.0287387995566988,89.5335388374055,9.408232960276e-21,-1.41222069261108
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q",1744,0.42134736860823,0.429368203570157,0.00802083496192751,24.4716010500694,8.26860049652221e-07,-0.748020472451439
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance",1744,0.489764879271661,0.526830620380069,0.0370657411084074,136.381300331758,2.1659190127023e-30,-0.0198352766517989
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",1744,0.305948443485776,0.305948569399945,1.25914168702668e-07,0.000315850610294297,0.985822629656676,0.00301155392805722
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance",1744,0.641562292135394,0.645177847921866,0.00361555578647221,17.7403879306337,2.66137516053381e-05,-0.00629490384577632
"10m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance",1744,0.8226609390546,0.835495463886445,0.0128345248318451,135.8315597864,2.80002696303522e-30,-0.0117274403366952
"20m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",436,0.0638608714077513,0.0641520572718021,0.000291185864050747,0.13472645862365,0.713760268052301,-0.151545664900543
"20m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",436,0.075329011606584,0.0753331777111918,4.16610460787781e-06,0.00195089004136189,0.964790148564627,0.00831319458730024
"20m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",436,0.0321112646280257,0.0321617492904348,5.0484662409124e-05,0.0225862728685877,0.880607932784476,-0.00052005164789953
"20m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",436,0.405169284007727,0.423190700735664,0.0180214167279374,13.5283419548701,0.00026456181901932,-1.11390462176744
"20m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",436,0.275591470720549,0.275602743506702,1.12727861530382e-05,0.00673817627066878,0.934615942359249,-0.0213240298852967
"20m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",436,0.418291184651766,0.429761598031112,0.0114704133793466,8.70984657663946,0.00333686233595197,-0.00881062013730307
"20m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",436,0.662657559302239,0.662686866634666,2.93073324263426e-05,0.037621052029447,0.846297010506159,-0.0211263946754154
"20m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",436,0.787343852717161,0.787795271417583,0.000451418700421424,0.921111883736941,0.337718796843637,0.00149001590566015
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",436,0.560053360464538,0.623038204239227,0.062984843774689,72.3480142049937,2.96494410872567e-16,-1.99528966104153
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",436,0.40903222380758,0.419446868801099,0.0104146449935197,7.76766335388006,0.00555294417748246,-0.621026691453407
"20m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",436,0.553686873636106,0.605866929715542,0.0521800560794359,57.3257257151473,2.24889468184398e-13,-0.0180054340868422
"20m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",436,0.858108170187041,0.858302502114198,0.000194331927156788,0.593840580915958,0.44135807905846,0.000976634110286736
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",436,0.315382525817677,0.390757740903061,0.0753752150853839,53.5705914103018,1.22286867960689e-12,-2.18052406751098
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",436,0.694147514353186,0.702960083472098,0.00881256911891226,12.8462277834317,0.000376615773769401,-0.570686997328096
"20m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",436,0.57008111740831,0.625805645949986,0.0557245285416751,64.4817875988591,9.29008648896172e-15,-0.0185880231695446
"20m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull",436,0.339484430472675,0.420157111691538,0.0806726812188632,60.2426479173876,6.09714252072423e-14,-2.25269076071162
"20m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q",436,0.413044955555374,0.427883048544635,0.0148380929892608,11.2300365301292,0.000875413823506486,-0.739481789465773
"20m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance",436,0.452848719846426,0.518223263680988,0.0653745438345615,58.7557998267921,1.18464697900247e-13,-0.0201050922109265
"20m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",436,0.433616373109566,0.436337469032719,0.00272109592315356,2.09031906503279,0.148958493289599,0.333486393548385
"20m","spec_spca_alpha","Std PCA alpha hull","spec_spca_mean","Std PCA mean distance",436,0.817071471470524,0.817138994821496,6.7523350972154e-05,0.159889807793675,0.689455165372913,-0.000680450411429721
"20m","spec_spca_rao","Std PCA Rao's Q","spec_spca_mean","Std PCA mean distance",436,0.805686357035454,0.829365191118799,0.0236788340833455,60.08700818616,6.53545693990143e-14,-0.0122362882204299
"50m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",74,0.131754240470112,0.156606569968151,0.0248523294980386,2.09216165496346,0.152456835853029,-1.15320877925355
"50m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",74,0.164543349141286,0.169308975894364,0.00476562675307809,0.40732292711702,0.525384657636126,-0.193104373282047
"50m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",74,0.0906509257691681,0.102128671762941,0.0114777459937733,0.907613307084837,0.343980626830297,-0.00554812749666019
"50m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",74,0.459874844498032,0.503028080661506,0.0431532361634742,6.16509635330085,0.0153941841834075,-1.52059823410627
"50m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",74,0.409200621781188,0.410837124723434,0.00163650294224582,0.197214919295304,0.658328931999324,-0.17385647793756
