"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",1741,0.0838928671638646,0.0070380131609738,12.3258544125089,0.000458120909281722,125.627247583275,177.479980858956,0.0477591315374216,0.0463195723454156
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",1744,0.2029172639906,0.0411754160254309,74.8078177334293,1.15671531695434e-17,176.155069615945,-341.198398506396,0.0648209575129579,0.00677083977351745
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",1744,0.129179578542767,0.016687363512487,29.5627109426672,6.17955958016897e-08,1.94329292124441,2.08290458911417,0.0804387294603463,0.000773070672295485
"10m","spec_sa","Spectral angle entropy","spec_convex","Raw PCA convex hull",1744,0.0852085225749398,0.00726049231940403,12.7402783132422,0.000367562235195877,413.968728080439,-109.897342575502,0.0133758616541144,0.576696313868957
"10m","spec_sa","Spectral angle entropy","spec_hull3d_v","Raw PCA 3D hull volume",1744,0.124562142590036,0.0155157273666206,27.4543716176951,1.80403678119613e-07,6077.41460678925,-9533.97428380123,0.0328701490252771,0.170037203315349
"10m","spec_sa","Spectral angle entropy","spec_hull3d_a","Raw PCA 3D hull area",1744,0.0967086967471826,0.00935257202653853,16.4459928024631,5.22644417626687e-05,1123.30299407081,-559.674659953399,0.0219404975725756,0.359816206088612
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",1744,0.345669129732314,0.119487147249895,236.392472704076,4.0334009762194e-50,492.515930549949,-852.322109309724,0.342078451363804,4.67275648823412e-49
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",1744,0.365895556278535,0.133879558104379,269.267620225426,2.22376914288754e-56,522.69970650219,-1342.48463174405,0.454844245639307,8.81366732716975e-90
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",1744,0.45957346296572,0.211207767862305,466.439597939535,7.45624367645016e-92,8.0983825615094,-16.1780172771338,0.489429357427155,1.01824977720337e-105
"10m","spec_sa","Spectral angle entropy","spec_spca_convex","Std PCA convex hull",1744,0.193307976562643,0.0373679738027435,67.6219038977208,3.82680749521373e-16,2039.36904092865,-3910.80468567851,0.199636864763315,3.89699818935798e-17
"10m","spec_sa","Spectral angle entropy","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.227327805418298,0.0516779311162998,94.9286734522198,7.05988143298529e-22,51051.0355026135,-115974.526636682,0.267329153557076,6.36034874531771e-30
"10m","spec_sa","Spectral angle entropy","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.216326610069877,0.0467972022243246,85.5229616037681,6.4820903311496e-20,5999.33175393274,-11707.4964653924,0.238193832535337,6.3947776570503e-24
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",1741,0.719487013407186,0.517661562461592,1866.35231003962,1.25581495314337e-277,0.417259102173929,-63.5116346431015,0.850110877728331,0
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",1741,0.855226450353447,0.731412281384157,4735.60728644584,0,0.00859315901061248,3.01285260526,0.832447076319201,0
"10m","spec_alpha","Raw PCA alpha hull","spec_convex","Raw PCA convex hull",1741,0.746069311176687,0.556619417079656,2183.13837725145,1.91013811465875e-309,2.42124552269726,-227.45866587338,0.788551140909642,0
"10m","spec_alpha","Raw PCA alpha hull","spec_hull3d_v","Raw PCA 3D hull volume",1741,0.759679125433392,0.577112373619244,2373.20355365577,0,24.7622027513279,-5494.11871880153,0.824769740457272,0
"10m","spec_alpha","Raw PCA alpha hull","spec_hull3d_a","Raw PCA 3D hull area",1741,0.76301577083703,0.582193066546026,2423.20952970751,0,5.92072424047171,-531.542418852256,0.812484901111447,0
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",1741,0.806835362592029,0.650983302329011,3243.56963521934,0,0.767341294603284,137.275288917834,0.775788699265159,0
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",1741,0.500586603546408,0.250586947650129,581.482669133084,4.48368509556946e-111,0.477712131184353,-112.118277073453,0.651650552203355,5.36258619746147e-211
