"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","spec_sa","Spectral angle entropy","spec_alpha","Raw PCA alpha hull",1741,0.0838928671638646,0.0070380131609738,12.3258544125089,0.000458120909281722,125.627247583275,177.479980858956,0.0477591315374216,0.0463195723454156
"10m","spec_sa","Spectral angle entropy","spec_rao_q","Raw PCA Rao's Q",1744,0.2029172639906,0.0411754160254309,74.8078177334293,1.15671531695434e-17,176.155069615945,-341.198398506396,0.0648209575129579,0.00677083977351745
"10m","spec_sa","Spectral angle entropy","spec_pca_mean","Raw PCA mean distance",1744,0.129179578542767,0.016687363512487,29.5627109426672,6.17955958016897e-08,1.94329292124441,2.08290458911417,0.0804387294603463,0.000773070672295485
"10m","spec_sa","Spectral angle entropy","spec_spca_alpha","Std PCA alpha hull",1744,0.345669129732314,0.119487147249895,236.392472704076,4.0334009762194e-50,492.515930549949,-852.322109309724,0.342078451363804,4.67275648823412e-49
"10m","spec_sa","Spectral angle entropy","spec_spca_rao","Std PCA Rao's Q",1744,0.365895556278535,0.133879558104379,269.267620225426,2.22376914288754e-56,522.69970650219,-1342.48463174405,0.454844245639307,8.81366732716975e-90
"10m","spec_sa","Spectral angle entropy","spec_spca_mean","Std PCA mean distance",1744,0.45957346296572,0.211207767862305,466.439597939535,7.45624367645016e-92,8.0983825615094,-16.1780172771338,0.489429357427155,1.01824977720337e-105
"10m","spec_alpha","Raw PCA alpha hull","spec_rao_q","Raw PCA Rao's Q",1741,0.719487013407186,0.517661562461592,1866.35231003962,1.25581495314337e-277,0.417259102173929,-63.5116346431015,0.850110877728331,0
"10m","spec_alpha","Raw PCA alpha hull","spec_pca_mean","Raw PCA mean distance",1741,0.855226450353447,0.731412281384157,4735.60728644584,0,0.00859315901061248,3.01285260526,0.832447076319201,0
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_alpha","Std PCA alpha hull",1741,0.806835362592029,0.650983302329011,3243.56963521934,0,0.767341294603284,137.275288917834,0.775788699265159,0
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",1741,0.500586603546408,0.250586947650129,581.482669133084,4.48368509556946e-111,0.477712131184353,-112.118277073453,0.651650552203355,5.36258619746147e-211
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",1741,0.632915491682803,0.400582019612085,1162.14754127763,1.6445278934994e-195,0.0074455976606295,2.85937212618654,0.618688982940868,1.90474834679268e-184
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",1744,0.906046921396989,0.820921023772962,7985.55170205729,0,0.0157006974895253,5.10206690027268,0.98968572996768,0
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",1744,0.56420282427071,0.318324826915046,813.469333167138,3.76157134970992e-147,0.926016645866876,399.94808635265,0.578601683996988,2.09559297595013e-156
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",1744,0.855448086641839,0.731791428939184,4752.94530734069,0,1.40770817256374,-81.2599666451065,0.579446924305468,5.80315365597439e-157
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",1744,0.789088305509053,0.622660353891148,2874.53053943205,0,0.016017428864265,4.28672172806349,0.558391383225844,1.52344987819406e-143
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull",1744,0.642206131332417,0.41242871512095,1222.74665258461,2.11385786882049e-203,60.8260659338687,84.9838568618371,0.580914495687935,6.18804051883538e-158
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q",1744,0.649112754926468,0.42134736860823,1268.44168037421,3.42540012923792e-209,61.641167921877,-325.580310928569,0.572017805682165,4.07068601796113e-152
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance",1744,0.699832036471367,0.489764879271661,1672.1122969218,8.01815864689436e-257,0.819771393716843,0.606145481977129,0.568108670774232,1.28887223350947e-149
"10m","spec_spca_alpha","Std PCA alpha hull","spec_spca_rao","Std PCA Rao's Q",1744,0.55312606473188,0.305948443485776,767.899997557747,2.45564439479779e-140,0.554574069240307,-160.415014136488,0.864492231205745,0
